scope,metric,count,min,p05,p25,median,p75,p95,max
all,bbox_width,1584,20.0,45.0,120.0,220.5,373.25,751.0,1013.0
all,bbox_height,1584,23.0,51.0,126.0,254.0,429.0,858.8499999999999,1023.0
all,bbox_area_pixels,1584,638.0,5057.35,20952.0,56784.0,118759.25,299552.0,678219.0
all,bbox_area_fraction,1584,0.0006084442138671875,0.004823064804077149,0.01998138427734375,0.0541534423828125,0.11325764656066895,0.285675048828125,0.6468000411987305
all,bbox_aspect_ratio,1584,0.04282868525896414,0.1463478868058988,0.4333053325187642,0.9417005518443218,1.7456043956043956,5.228762541806019,22.85
craze,bbox_width,257,65.0,109.0,212.0,335.0,462.0,804.9999999999997,1013.0
craze,bbox_height,257,82.0,101.8,200.0,323.0,432.0,831.0,1015.0
craze,bbox_area_pixels,257,9576.0,22387.4,48760.0,109872.0,186116.0,389976.7999999999,533785.0
craze,bbox_area_fraction,257,0.00913238525390625,0.021350288391113283,0.04650115966796875,0.1047821044921875,0.17749404907226562,0.37191085815429675,0.5090570449829102
craze,bbox_aspect_ratio,257,0.08472906403940887,0.2531852205765249,0.709154113557358,1.0444444444444445,1.788501026694045,3.733632770391661,6.542857142857143
corrosion,bbox_width,257,37.0,66.8,150.0,271.0,429.0,1001.0,1013.0
corrosion,bbox_height,257,44.0,80.8,153.0,422.0,567.0,1006.0,1023.0
corrosion,bbox_area_pixels,257,4876.0,16842.2,42042.0,83793.0,181230.0,422850.59999999986,678219.0
corrosion,bbox_area_fraction,257,0.004650115966796875,0.016061973571777344,0.04009437561035156,0.0799112319946289,0.1728343963623047,0.4032617568969725,0.6468000411987305
corrosion,bbox_aspect_ratio,257,0.07407407407407407,0.1383719615602035,0.265625,0.6788008565310493,2.525,7.042857142857143,10.866666666666667
surface_injure,bbox_width,412,20.0,41.2,95.0,170.0,327.0,633.3499999999999,895.0
surface_injure,bbox_height,412,29.0,45.0,96.0,177.0,325.0,532.9,979.0
surface_injure,bbox_area_pixels,412,638.0,2045.7,10677.75,34833.0,81410.25,179722.39999999997,450819.0
surface_injure,bbox_area_fraction,412,0.0006084442138671875,0.0019509315490722657,0.010183095932006836,0.033219337463378906,0.07763886451721191,0.1713966369628906,0.4299345016479492
surface_injure,bbox_aspect_ratio,412,0.08307692307692308,0.2084233261339093,0.6565373134328358,1.0042372881355932,1.5073636441476155,3.8173624288425034,9.04040404040404
thunderstrike,bbox_width,92,54.0,86.6,147.0,291.5,374.75,563.3000000000001,777.0
thunderstrike,bbox_height,92,43.0,49.5,108.5,254.0,379.75,779.4000000000001,993.0
thunderstrike,bbox_area_pixels,92,3564.0,5490.3,18102.0,62113.0,132654.75,362587.85000000015,567003.0
thunderstrike,bbox_area_fraction,92,0.003398895263671875,0.0052359580993652345,0.017263412475585938,0.059235572814941406,0.126509428024292,0.34579071998596206,0.540736198425293
thunderstrike,bbox_aspect_ratio,92,0.3888888888888889,0.4364519264757865,0.5856164383561644,1.1443406022845275,1.8878626779599927,3.1635101010101017,4.660377358490566
crack,bbox_width,224,39.0,49.0,107.75,167.0,241.25,374.8999999999999,672.0
crack,bbox_height,224,55.0,88.80000000000001,209.5,298.0,504.0,775.25,980.0
crack,bbox_area_pixels,224,3245.0,8297.1,24345.0,49626.0,102200.0,192530.9999999999,418460.0
crack,bbox_area_fraction,224,0.0030946731567382812,0.007912731170654297,0.023217201232910156,0.04732704162597656,0.09746551513671875,0.18361186981201164,0.3990745544433594
crack,bbox_aspect_ratio,224,0.12658227848101267,0.17165834165834168,0.27564102564102566,0.521870286576169,0.9788347675061182,1.8160416666666666,5.793103448275862
hide_craze,bbox_width,342,21.0,32.0,93.0,230.0,416.0,778.6999999999997,968.0
hide_craze,bbox_height,342,23.0,40.0,96.0,197.0,343.0,649.0,1012.0
hide_craze,bbox_area_pixels,342,1426.0,5364.95,12613.5,31045.0,92093.75,261324.0,647686.0
hide_craze,bbox_area_fraction,342,0.0013599395751953125,0.005116415023803711,0.012029170989990234,0.02960681915283203,0.08782744407653809,0.24921798706054688,0.6176815032958984
hide_craze,bbox_aspect_ratio,342,0.04282868525896414,0.09910377358490567,0.3930885529157667,1.1415102211097206,3.1984160358844966,8.066128277153558,22.85
