instance_id,source_image_id,image_filename,object_index,raw_label,canonical_label_if_unambiguous,xmin,ymin,xmax,ymax,bbox_width,bbox_height,bbox_area_pixels,bbox_area_fraction,bbox_aspect_ratio,bbox_center_x,bbox_center_y,official_split,pose,truncated,difficult,bbox_issues
0_0,0,0.jpg,0,corrosion,corrosion,304,13,848,1020,545,1008,549360,0.5239105224609375,0.5406746031746031,576.0,516.5,validation,Unspecified,0,0,
1_0,1,1.jpg,0,craze,craze,781,430,931,763,151,334,50434,0.04809761047363281,0.45209580838323354,856.0,596.5,train,Unspecified,0,0,
2_0,2,2.jpg,0,surface_injure,surface_injure,500,144,594,220,95,77,7315,0.006976127624511719,1.2337662337662338,547.0,182.0,train,Unspecified,0,0,
3_0,3,3.jpg,0,corrosion,corrosion,767,27,887,1016,121,990,119790,0.11424064636230469,0.12222222222222222,827.0,521.5,validation,Unspecified,0,0,
4_0,4,4.jpg,0,crack,crack,336,6,642,708,307,703,215821,0.20582294464111328,0.4366998577524893,489.0,357.0,train,Unspecified,0,0,
5_0,5,5.jpg,0,corrosion,corrosion,5,222,361,306,357,85,30345,0.028939247131347656,4.2,183.0,264.0,train,Unspecified,0,0,
5_1,5,5.jpg,1,corrosion,corrosion,367,269,602,367,236,99,23364,0.022281646728515625,2.3838383838383836,484.5,318.0,train,Unspecified,0,0,
5_2,5,5.jpg,2,corrosion,corrosion,609,311,911,430,303,120,36360,0.03467559814453125,2.525,760.0,370.5,train,Unspecified,0,0,
6_0,6,6.jpg,0,craze,craze,456,613,714,706,259,94,24346,0.023218154907226562,2.75531914893617,585.0,659.5,train,Unspecified,0,0,
7_0,7,7.jpg,0,hide_craze,hide_craze,520,267,553,510,34,244,8296,0.00791168212890625,0.13934426229508196,536.5,388.5,validation,Unspecified,0,0,
8_0,8,8.jpg,0,crack,crack,484,60,617,658,134,599,80266,0.07654762268066406,0.22370617696160267,550.5,359.0,train,Unspecified,0,0,
