sample_id,curated_split
0,validation
1,train
2,train
3,validation
4,train
5,train
6,train
7,validation
8,train
9,train
10,train
11,validation
12,train
13,test
14,train
15,train
16,train
17,train
18,train
19,validation
20,train
21,validation
22,train
23,train
24,train
25,train
26,train
27,train
28,train
29,train
30,train
31,train
32,test
33,train
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,test
47,train
48,test
49,train
50,train
51,test
52,train
53,train
54,test
55,validation
56,train
57,test
58,train
59,validation
60,validation
61,test
62,validation
63,train
64,train
65,test
66,train
67,test
68,train
69,validation
70,validation
71,test
72,validation
73,test
74,train
75,train
76,train
77,validation
78,train
79,train
80,validation
81,test
82,train
83,train
84,train
85,train
86,train
87,validation
88,test
89,train
90,train
91,train
92,train
93,test
94,train
95,train
96,validation
97,train
98,train
99,validation
100,validation
101,train
102,train
103,test
104,train
105,train
106,train
107,train
108,validation
109,train
110,train
111,validation
112,test
113,train
114,validation
115,train
116,train
117,validation
118,train
119,train
120,train
121,train
122,train
123,validation
124,train
125,train
126,train
127,train
128,validation
129,train
130,train
131,validation
132,train
133,train
134,train
135,validation
136,train
137,train
138,train
139,train
140,train
141,test
142,test
143,validation
144,train
145,train
146,test
147,train
148,train
149,train
150,train
151,train
152,train
153,train
154,train
155,train
156,test
157,train
158,train
159,train
160,train
161,test
162,train
163,test
164,train
165,validation
166,test
167,test
168,train
169,validation
170,train
171,train
172,train
173,train
174,train
175,test
176,train
177,train
178,test
179,train
180,train
181,train
182,validation
183,train
184,train
185,train
186,train
187,validation
188,train
189,test
190,train
191,test
192,train
193,train
194,validation
195,train
196,test
197,train
198,test
199,train
200,train
201,train
202,train
203,validation
204,train
205,validation
206,train
207,train
208,train
209,test
210,train
211,train
212,train
213,train
214,test
215,train
216,test
217,test
218,train
219,validation
220,train
221,train
222,train
223,train
224,test
225,validation
226,train
227,train
228,test
229,train
230,validation
231,train
232,train
233,test
234,test
235,validation
236,train
237,train
238,test
239,train
240,train
241,train
242,train
243,validation
244,train
245,validation
246,validation
247,train
248,validation
249,train
250,test
251,train
252,test
253,validation
254,validation
255,test
256,train
257,test
258,train
259,train
260,train
261,train
262,train
263,train
264,train
265,train
266,train
267,train
268,train
269,test
270,train
271,test
272,train
273,test
274,test
275,train
276,test
277,train
278,train
279,train
280,train
281,train
282,train
283,train
284,test
285,test
286,train
287,train
288,train
289,train
290,train
291,train
292,train
293,train
294,train
295,train
296,test
297,train
298,train
299,train
300,validation
301,train
302,train
303,train
304,train
305,validation
306,train
307,train
308,train
309,train
310,train
311,train
312,train
313,train
314,validation
315,train
316,train
317,train
318,test
319,validation
320,train
321,train
322,test
323,test
324,train
325,train
326,test
327,train
328,train
329,train
330,train
331,validation
332,test
333,train
334,train
335,train
336,train
337,train
338,validation
339,train
340,train
341,train
342,train
343,train
344,train
345,train
346,validation
347,validation
348,validation
349,train
350,train
351,train
352,train
353,train
354,train
355,train
356,train
357,train
358,train
359,train
360,train
361,train
362,validation
363,test
364,train
365,train
366,train
367,train
368,train
369,train
370,test
371,validation
372,train
373,test
374,train
375,train
376,train
377,train
378,train
379,test
380,train
381,train
382,validation
383,train
384,train
385,train
386,train
387,train
388,test
389,test
390,test
391,train
392,train
393,train
394,test
395,train
396,train
397,train
398,train
399,train
400,train
401,train
402,train
403,train
404,train
405,test
406,train
407,test
408,test
409,train
410,test
411,train
412,validation
413,train
414,train
415,train
416,validation
417,train
418,train
419,train
420,validation
421,train
422,train
423,train
424,train
425,train
426,train
427,train
428,train
429,train
430,train
431,train
432,test
433,validation
434,train
435,train
436,train
437,train
438,test
439,train
440,test
441,validation
442,train
443,train
444,train
445,validation
446,train
447,test
448,validation
