image_a,image_b,exact_duplicate,pixel_duplicate,perceptual_distance,split_a,split_b,cross_split
547.jpg,640.jpg,True,True,0,train,validation,True
565.jpg,668.jpg,True,True,0,train,train,False
31.jpg,196.jpg,False,False,0,train,test,True
33.jpg,233.jpg,False,False,0,train,test,True
88.jpg,264.jpg,False,False,0,test,train,True
100.jpg,191.jpg,False,False,0,validation,test,True
100.jpg,744.jpg,False,False,0,validation,train,True
106.jpg,747.jpg,False,False,0,train,validation,True
111.jpg,570.jpg,False,False,0,validation,test,True
135.jpg,175.jpg,False,False,0,validation,test,True
135.jpg,856.jpg,False,False,0,validation,train,True
168.jpg,780.jpg,False,False,0,train,validation,True
172.jpg,189.jpg,False,False,0,train,test,True
175.jpg,319.jpg,False,False,0,test,validation,True
175.jpg,856.jpg,False,False,0,test,train,True
188.jpg,305.jpg,False,False,0,train,validation,True
191.jpg,744.jpg,False,False,0,test,train,True
196.jpg,249.jpg,False,False,0,test,train,True
238.jpg,263.jpg,False,False,0,test,train,True
276.jpg,320.jpg,False,False,0,test,train,True
276.jpg,341.jpg,False,False,0,test,train,True
276.jpg,361.jpg,False,False,0,test,train,True
319.jpg,856.jpg,False,False,0,validation,train,True
322.jpg,858.jpg,False,False,0,test,train,True
332.jpg,700.jpg,False,False,0,test,train,True
363.jpg,877.jpg,False,False,0,test,train,True
389.jpg,890.jpg,False,False,0,test,train,True
431.jpg,906.jpg,False,False,0,train,test,True
461.jpg,922.jpg,False,False,0,train,validation,True
529.jpg,947.jpg,False,False,0,validation,test,True
591.jpg,974.jpg,False,False,0,test,train,True
696.jpg,1026.jpg,False,False,0,test,validation,True
727.jpg,1045.jpg,False,False,0,train,test,True
954.jpg,999.jpg,False,False,0,validation,test,True
6.jpg,98.jpg,False,False,0,train,train,False
31.jpg,249.jpg,False,False,0,train,train,False
92.jpg,402.jpg,False,False,0,train,train,False
92.jpg,460.jpg,False,False,0,train,train,False
92.jpg,568.jpg,False,False,0,train,train,False
92.jpg,921.jpg,False,False,0,train,train,False
93.jpg,141.jpg,False,False,0,test,test,False
116.jpg,753.jpg,False,False,0,train,train,False
119.jpg,754.jpg,False,False,0,train,train,False
127.jpg,760.jpg,False,False,0,train,train,False
135.jpg,319.jpg,False,False,0,validation,validation,False
144.jpg,631.jpg,False,False,0,train,train,False
144.jpg,766.jpg,False,False,0,train,train,False
149.jpg,770.jpg,False,False,0,train,train,False
160.jpg,298.jpg,False,False,0,train,train,False
160.jpg,307.jpg,False,False,0,train,train,False
160.jpg,777.jpg,False,False,0,train,train,False
286.jpg,840.jpg,False,False,0,train,train,False
298.jpg,307.jpg,False,False,0,train,train,False
298.jpg,777.jpg,False,False,0,train,train,False
307.jpg,777.jpg,False,False,0,train,train,False
311.jpg,328.jpg,False,False,0,train,train,False
311.jpg,860.jpg,False,False,0,train,train,False
320.jpg,341.jpg,False,False,0,train,train,False
320.jpg,361.jpg,False,False,0,train,train,False
328.jpg,860.jpg,False,False,0,train,train,False
341.jpg,361.jpg,False,False,0,train,train,False
370.jpg,881.jpg,False,False,0,test,test,False
402.jpg,460.jpg,False,False,0,train,train,False
402.jpg,568.jpg,False,False,0,train,train,False
402.jpg,921.jpg,False,False,0,train,train,False
456.jpg,917.jpg,False,False,0,train,train,False
460.jpg,568.jpg,False,False,0,train,train,False
460.jpg,921.jpg,False,False,0,train,train,False
568.jpg,921.jpg,False,False,0,train,train,False
617.jpg,984.jpg,False,False,0,train,train,False
631.jpg,766.jpg,False,False,0,train,train,False
632.jpg,994.jpg,False,False,0,train,train,False
651.jpg,1003.jpg,False,False,0,train,train,False
712.jpg,1037.jpg,False,False,0,train,train,False
47.jpg,80.jpg,False,False,1,train,validation,True
67.jpg,1012.jpg,False,False,1,test,train,True
81.jpg,135.jpg,False,False,1,test,validation,True
81.jpg,319.jpg,False,False,1,test,validation,True
81.jpg,856.jpg,False,False,1,test,train,True
88.jpg,335.jpg,False,False,1,test,train,True
94.jpg,1062.jpg,False,False,1,train,validation,True
96.jpg,150.jpg,False,False,1,validation,train,True
100.jpg,794.jpg,False,False,1,validation,test,True
130.jpg,762.jpg,False,False,1,train,test,True
143.jpg,174.jpg,False,False,1,validation,train,True
205.jpg,801.jpg,False,False,1,validation,train,True
251.jpg,826.jpg,False,False,1,train,validation,True
301.jpg,846.jpg,False,False,1,train,validation,True
316.jpg,854.jpg,False,False,1,train,test,True
