priority_rank,pair_id,image_a,image_b,perceptual_distance,split_a,split_b,annotation_class_jaccard,annotation_object_count_agreement,thumbnail_intensity_correlation,thumbnail_normalized_mae,ann_mean_iou_cur,final_decision,canonical_sample_id
3,pair-0004,33.jpg,233.jpg,0,train,test,1.0,True,0.9999792988174958,0.0027270967373956,0.775774617088719,same_scene,33.0
4,pair-0016,188.jpg,305.jpg,0,train,validation,1.0,True,0.9999671723029248,0.0034267072346111,0.8099103375302663,same_scene,188.0
5,pair-0009,111.jpg,570.jpg,0,validation,test,1.0,True,0.99994844011948,0.0040094080227254,0.4761041263700838,same_scene,111.0
6,pair-0031,591.jpg,974.jpg,0,test,train,1.0,True,0.9999370725996208,0.0078523842651868,0.8843772508695412,same_scene,591.0
8,pair-0025,332.jpg,700.jpg,0,test,train,1.0,True,0.9998948815008416,0.0070764117240483,0.8439593689215474,same_scene,332.0
10,pair-0022,276.jpg,361.jpg,0,test,train,1.0,True,0.9998782223635584,0.0086883061449403,0.8998988895261957,same_scene,276.0
12,pair-0021,276.jpg,341.jpg,0,test,train,1.0,True,0.999867025790075,0.0093044710158856,0.8410500147192586,same_scene,276.0
14,pair-0020,276.jpg,320.jpg,0,test,train,1.0,True,0.999851226072964,0.0100693006878592,0.7864292680318477,same_scene,276.0
15,pair-0013,172.jpg,189.jpg,0,train,test,1.0,False,0.9998468482604712,0.0061115022500937,,same_scene,172.0
17,pair-0005,88.jpg,264.jpg,0,test,train,1.0,True,0.999816711719634,0.0109080804953658,0.5695471014492753,same_scene,88.0
19,pair-0003,31.jpg,196.jpg,0,train,test,1.0,True,0.9996677301616556,0.0185632412700599,0.5395809330808009,same_scene,31.0
21,pair-0019,238.jpg,263.jpg,0,test,train,1.0,True,0.9992039003283354,0.02597196690548,0.6958869616785206,same_scene,238.0
22,pair-0006,100.jpg,191.jpg,0,validation,test,1.0,True,0.9983729773881914,0.0296889353429441,0.8962640169536721,same_scene,100.0
29,pair-0014,175.jpg,319.jpg,0,test,validation,1.0,True,0.9903832101616478,0.0861281789150204,0.8644476376511405,same_scene,81.0
30,pair-0010,135.jpg,175.jpg,0,validation,test,1.0,True,0.990353393017278,0.0864494441773979,0.8140484840044838,same_scene,81.0
34,pair-0018,196.jpg,249.jpg,0,test,train,1.0,True,0.9779020679038588,0.1151371743929442,0.8871258219875892,same_scene,31.0
41,pair-0093,486.jpg,735.jpg,1,validation,test,1.0,True,0.9996819622990198,0.0124083751123071,0.7441587862665427,same_scene,486.0
45,pair-0090,318.jpg,355.jpg,1,test,train,1.0,True,0.9993941302375756,0.0186603110596732,0.8421227912079301,same_scene,318.0
46,pair-0085,143.jpg,174.jpg,1,validation,train,1.0,True,0.9985655890678586,0.0333681327507272,0.701062192808163,same_scene,143.0
49,pair-0082,96.jpg,150.jpg,1,validation,train,1.0,True,0.9972473340201964,0.0146290892690899,0.8969093079649615,same_scene,96.0
50,pair-0075,47.jpg,80.jpg,1,train,validation,1.0,True,0.9971837087154584,0.0272598342438626,0.7263387114043741,same_scene,47.0
53,pair-0094,543.jpg,551.jpg,1,validation,test,1.0,False,0.9870349561727906,0.0509084523865077,,same_scene,400.0
57,pair-0080,88.jpg,335.jpg,1,test,train,1.0,True,0.97687504961771,0.1561590419810979,0.773292994883904,same_scene,88.0
58,pair-0097,706.jpg,718.jpg,1,validation,test,1.0,True,0.967118946727146,0.0898910782992349,0.8932920536635707,same_scene,706.0
59,pair-0077,81.jpg,135.jpg,1,test,validation,1.0,True,0.9450254579427972,0.2365290541747788,0.838401600264164,same_scene,81.0
60,pair-0078,81.jpg,319.jpg,1,test,validation,1.0,True,0.944961319488581,0.2366877052183979,0.8678981484381431,same_scene,81.0
62,pair-0164,432.jpg,490.jpg,2,test,train,1.0,True,0.9999873960582406,0.0021261122361212,0.9268203343711572,same_scene,432.0
69,pair-0146,88.jpg,137.jpg,2,test,train,1.0,True,0.9985527758861856,0.0281405856292225,0.7477998192283907,same_scene,88.0
70,pair-0151,143.jpg,366.jpg,2,validation,train,1.0,True,0.9980716487050132,0.0429336135678704,0.688823533140224,same_scene,143.0
72,pair-0149,102.jpg,274.jpg,2,train,test,1.0,True,0.9967870850368216,0.0420788856695074,0.759399358092618,same_scene,102.0
73,pair-0159,258.jpg,296.jpg,2,train,test,1.0,True,0.9965272503383704,0.048428966631071,0.8439609505434496,same_scene,258.0
74,pair-0160,343.jpg,445.jpg,2,train,validation,1.0,True,0.996378321068776,0.0464723337519037,0.9283194781714731,same_scene,109.0
75,pair-0150,143.jpg,352.jpg,2,validation,train,1.0,True,0.9958962008387175,0.0474241373734531,0.8372262773722627,same_scene,143.0
76,pair-0165,445.jpg,466.jpg,2,validation,train,1.0,True,0.9916684666138368,0.0327792370051662,0.8522707388849121,same_scene,109.0
78,pair-0143,33.jpg,348.jpg,2,train,validation,1.0,True,0.9894341893868708,0.0977395808713578,0.751929605770092,same_scene,33.0
79,pair-0157,233.jpg,348.jpg,2,test,validation,1.0,True,0.9894301488839358,0.0976349556459417,0.9523404858109434,same_scene,33.0
83,pair-0163,400.jpg,956.jpg,2,train,validation,1.0,False,0.9770607950048552,0.10292701937084,,same_scene,400.0
85,pair-0158,234.jpg,256.jpg,2,test,train,1.0,False,0.9653336525724076,0.0892726691367798,,same_scene,234.0
87,pair-0170,551.jpg,956.jpg,2,test,validation,1.0,True,0.9244429524546052,0.309455295644396,0.7145180692911414,same_scene,400.0
90,pair-0155,174.jpg,567.jpg,2,train,validation,1.0,True,0.8784835020200592,0.1803956720434715,0.7008011653313911,same_scene,143.0
98,pair-0254,311.jpg,851.jpg,3,train,validation,1.0,False,0.9995931000020614,0.0206669521234136,,same_scene,311.0
99,pair-0255,328.jpg,851.jpg,3,train,validation,1.0,False,0.999574784556892,0.0211756363394877,,same_scene,311.0
101,pair-0237,96.jpg,210.jpg,3,validation,train,1.0,True,0.9985896046385871,0.0264301977106572,0.8802917173663256,same_scene,96.0
103,pair-0270,851.jpg,860.jpg,3,validation,train,1.0,True,0.9978853256323096,0.0317365537956971,0.6689364549080207,same_scene,311.0
106,pair-0234,80.jpg,139.jpg,3,validation,train,1.0,True,0.9939899961139984,0.0597342382017664,0.8115052733793443,same_scene,47.0
109,pair-0236,93.jpg,197.jpg,3,test,train,1.0,True,0.9867369518638692,0.1138664968707443,0.8591573224600747,same_scene,93.0
110,pair-0241,141.jpg,197.jpg,3,test,train,1.0,True,0.9867362201091988,0.1138371763051566,0.7816445707070707,same_scene,93.0
112,pair-0246,196.jpg,245.jpg,3,test,validation,1.0,True,0.9823916843555266,0.0386431277927984,0.8753548830113841,same_scene,31.0
113,pair-0232,31.jpg,245.jpg,3,train,validation,1.0,True,0.98030086311942,0.0444363266094051,0.5262793973834256,same_scene,31.0
114,pair-0231,13.jpg,472.jpg,3,test,train,1.0,False,0.9632330852660564,0.1970970240477212,,same_scene,13.0
115,pair-0249,245.jpg,249.jpg,3,validation,train,1.0,True,0.9604879067738348,0.1301289910287617,0.8322322960464589,same_scene,31.0
116,pair-0247,234.jpg,827.jpg,3,test,train,1.0,False,0.9594898492731898,0.1689215235482787,,same_scene,234.0
117,pair-0239,109.jpg,445.jpg,3,train,validation,1.0,True,0.9536598788776436,0.1123764302241354,0.8998276956561168,same_scene,109.0
121,pair-0252,269.jpg,349.jpg,3,test,train,1.0,True,0.9433740096592786,0.1543897701883125,0.8226185465768799,same_scene,269.0
122,pair-0259,400.jpg,543.jpg,3,train,validation,1.0,True,0.942291367003962,0.2611628101443309,0.6695256639138115,same_scene,400.0
126,pair-0257,352.jpg,567.jpg,3,train,validation,1.0,True,0.8936357236719961,0.1841980581195701,0.8912614364959297,same_scene,143.0
127,pair-0258,366.jpg,567.jpg,3,train,validation,1.0,True,0.883232372743351,0.1839648301116228,0.6873225818447769,same_scene,143.0
132,pair-0233,67.jpg,589.jpg,3,test,train,1.0,True,0.2079681557715842,1.0256130143192812,0.0,unrelated_false_positive,
135,pair-0242,144.jpg,863.jpg,3,train,test,0.0,False,0.072546497565419,0.7480078447508607,,unrelated_false_positive,
136,pair-0264,631.jpg,863.jpg,3,train,test,0.0,True,0.0172761689740463,0.8139747199034826,,unrelated_false_positive,
144,pair-0368,269.jpg,359.jpg,4,test,train,1.0,True,0.9901640605248482,0.0645353028517732,0.8576031060903327,same_scene,269.0
147,pair-0362,76.jpg,235.jpg,4,train,validation,1.0,True,0.9774437321590548,0.1804925698832413,0.8864367816091954,same_scene,76.0
148,pair-0364,96.jpg,202.jpg,4,validation,train,1.0,True,0.974216343405454,0.1072309018796869,0.91759365393666,same_scene,96.0
149,pair-0360,48.jpg,105.jpg,4,test,train,1.0,True,0.9458352086585888,0.206937431989874,0.642808564231738,same_scene,48.0
150,pair-0372,400.jpg,551.jpg,4,train,test,1.0,False,0.9297743415314706,0.2805797215683905,,same_scene,400.0
151,pair-0361,70.jpg,582.jpg,4,validation,train,1.0,True,0.9077192723550648,0.1743616246008262,0.6093380980384524,same_scene,70.0
158,pair-0374,495.jpg,661.jpg,4,train,validation,0.0,True,0.3704359263933421,0.8995500748693606,,unrelated_false_positive,
159,pair-0365,113.jpg,661.jpg,4,train,validation,0.0,False,0.131841632120662,1.034643220445136,,unrelated_false_positive,
160,pair-0369,301.jpg,863.jpg,4,train,test,0.0,True,0.0833019393525233,0.8319260293516135,,unrelated_false_positive,
162,pair-0376,617.jpg,863.jpg,4,train,test,0.0,True,0.0468799153827094,0.8832982468415591,,unrelated_false_positive,
165,pair-0387,863.jpg,984.jpg,4,test,train,0.0,True,-0.0143282186991268,0.2851115470437504,,unrelated_false_positive,
