scene_group_id,canonical_sample_id,canonical_image,member_sample_id,member_image,official_split,is_canonical
scene-001,6,6.jpg,6,6.jpg,train,True
scene-001,6,6.jpg,98,98.jpg,train,False
scene-002,13,13.jpg,13,13.jpg,test,True
scene-002,13,13.jpg,472,472.jpg,train,False
scene-003,31,31.jpg,31,31.jpg,train,True
scene-003,31,31.jpg,196,196.jpg,test,False
scene-003,31,31.jpg,245,245.jpg,validation,False
scene-003,31,31.jpg,249,249.jpg,train,False
scene-004,33,33.jpg,33,33.jpg,train,True
scene-004,33,33.jpg,233,233.jpg,test,False
scene-004,33,33.jpg,348,348.jpg,validation,False
scene-005,47,47.jpg,47,47.jpg,train,True
scene-005,47,47.jpg,80,80.jpg,validation,False
scene-005,47,47.jpg,139,139.jpg,train,False
scene-006,48,48.jpg,48,48.jpg,test,True
scene-006,48,48.jpg,105,105.jpg,train,False
scene-007,53,53.jpg,53,53.jpg,train,True
scene-007,53,53.jpg,179,179.jpg,train,False
scene-007,53,53.jpg,506,506.jpg,train,False
scene-008,70,70.jpg,70,70.jpg,validation,True
scene-008,70,70.jpg,582,582.jpg,train,False
scene-009,76,76.jpg,76,76.jpg,train,True
scene-009,76,76.jpg,235,235.jpg,validation,False
scene-010,81,81.jpg,81,81.jpg,test,True
scene-010,81,81.jpg,135,135.jpg,validation,False
scene-010,81,81.jpg,175,175.jpg,test,False
scene-010,81,81.jpg,319,319.jpg,validation,False
scene-011,88,88.jpg,88,88.jpg,test,True
scene-011,88,88.jpg,137,137.jpg,train,False
scene-011,88,88.jpg,264,264.jpg,train,False
scene-011,88,88.jpg,335,335.jpg,train,False
scene-012,92,92.jpg,92,92.jpg,train,True
scene-012,92,92.jpg,402,402.jpg,train,False
scene-012,92,92.jpg,460,460.jpg,train,False
scene-012,92,92.jpg,568,568.jpg,train,False
scene-012,92,92.jpg,593,593.jpg,train,False
scene-013,93,93.jpg,93,93.jpg,test,True
scene-013,93,93.jpg,141,141.jpg,test,False
scene-013,93,93.jpg,197,197.jpg,train,False
scene-014,96,96.jpg,96,96.jpg,validation,True
scene-014,96,96.jpg,150,150.jpg,train,False
scene-014,96,96.jpg,202,202.jpg,train,False
scene-014,96,96.jpg,210,210.jpg,train,False
scene-015,100,100.jpg,100,100.jpg,validation,True
scene-015,100,100.jpg,191,191.jpg,test,False
scene-016,102,102.jpg,102,102.jpg,train,True
scene-016,102,102.jpg,274,274.jpg,test,False
scene-017,104,104.jpg,104,104.jpg,train,True
scene-017,104,104.jpg,586,586.jpg,train,False
scene-017,104,104.jpg,594,594.jpg,train,False
scene-018,109,109.jpg,109,109.jpg,train,True
scene-018,109,109.jpg,343,343.jpg,train,False
scene-018,109,109.jpg,445,445.jpg,validation,False
scene-018,109,109.jpg,466,466.jpg,train,False
scene-019,111,111.jpg,111,111.jpg,validation,True
scene-019,111,111.jpg,570,570.jpg,test,False
scene-020,127,127.jpg,127,127.jpg,train,True
scene-020,127,127.jpg,760,760.jpg,train,False
scene-021,143,143.jpg,143,143.jpg,validation,True
scene-021,143,143.jpg,174,174.jpg,train,False
scene-021,143,143.jpg,352,352.jpg,train,False
scene-021,143,143.jpg,366,366.jpg,train,False
scene-021,143,143.jpg,567,567.jpg,validation,False
scene-022,160,160.jpg,160,160.jpg,train,True
scene-022,160,160.jpg,298,298.jpg,train,False
scene-022,160,160.jpg,307,307.jpg,train,False
scene-023,164,164.jpg,164,164.jpg,train,True
scene-023,164,164.jpg,275,275.jpg,train,False
scene-024,172,172.jpg,172,172.jpg,train,True
scene-024,172,172.jpg,189,189.jpg,test,False
scene-025,188,188.jpg,188,188.jpg,train,True
scene-025,188,188.jpg,305,305.jpg,validation,False
scene-026,208,208.jpg,208,208.jpg,train,True
scene-026,208,208.jpg,353,353.jpg,train,False
scene-027,216,216.jpg,216,216.jpg,test,True
scene-027,216,216.jpg,271,271.jpg,test,False
scene-028,218,218.jpg,218,218.jpg,train,True
scene-028,218,218.jpg,399,399.jpg,train,False
scene-029,234,234.jpg,234,234.jpg,test,True
scene-029,234,234.jpg,256,256.jpg,train,False
scene-029,234,234.jpg,827,827.jpg,train,False
scene-030,236,236.jpg,236,236.jpg,train,True
scene-030,236,236.jpg,396,396.jpg,train,False
scene-031,238,238.jpg,238,238.jpg,test,True
scene-031,238,238.jpg,263,263.jpg,train,False
scene-032,243,243.jpg,243,243.jpg,validation,True
scene-032,243,243.jpg,253,253.jpg,validation,False
scene-033,258,258.jpg,258,258.jpg,train,True
scene-033,258,258.jpg,296,296.jpg,test,False
scene-034,265,265.jpg,265,265.jpg,train,True
scene-034,265,265.jpg,605,605.jpg,train,False
scene-035,269,269.jpg,269,269.jpg,test,True
scene-035,269,269.jpg,349,349.jpg,train,False
scene-035,269,269.jpg,359,359.jpg,train,False
scene-035,269,269.jpg,378,378.jpg,train,False
scene-036,276,276.jpg,276,276.jpg,test,True
scene-036,276,276.jpg,320,320.jpg,train,False
scene-036,276,276.jpg,341,341.jpg,train,False
scene-036,276,276.jpg,361,361.jpg,train,False
scene-037,311,311.jpg,311,311.jpg,train,True
scene-037,311,311.jpg,328,328.jpg,train,False
scene-037,311,311.jpg,851,851.jpg,validation,False
scene-037,311,311.jpg,860,860.jpg,train,False
scene-038,318,318.jpg,318,318.jpg,test,True
scene-038,318,318.jpg,355,355.jpg,train,False
scene-039,332,332.jpg,332,332.jpg,test,True
scene-039,332,332.jpg,700,700.jpg,train,False
scene-040,368,368.jpg,368,368.jpg,train,True
scene-040,368,368.jpg,878,878.jpg,train,False
scene-041,383,383.jpg,383,383.jpg,train,True
scene-041,383,383.jpg,886,886.jpg,train,False
scene-042,400,400.jpg,400,400.jpg,train,True
scene-042,400,400.jpg,543,543.jpg,validation,False
scene-042,400,400.jpg,551,551.jpg,test,False
scene-042,400,400.jpg,956,956.jpg,validation,False
scene-043,403,403.jpg,403,403.jpg,train,True
scene-043,403,403.jpg,898,898.jpg,train,False
scene-044,432,432.jpg,432,432.jpg,test,True
scene-044,432,432.jpg,490,490.jpg,train,False
scene-045,465,465.jpg,465,465.jpg,train,True
scene-045,465,465.jpg,923,923.jpg,train,False
scene-046,486,486.jpg,486,486.jpg,validation,True
scene-046,486,486.jpg,735,735.jpg,test,False
scene-047,579,579.jpg,579,579.jpg,train,True
scene-047,579,579.jpg,968,968.jpg,train,False
scene-048,591,591.jpg,591,591.jpg,test,True
scene-048,591,591.jpg,974,974.jpg,train,False
scene-049,706,706.jpg,706,706.jpg,validation,True
scene-049,706,706.jpg,718,718.jpg,test,False
scene-050,765,765.jpg,765,765.jpg,validation,True
scene-050,765,765.jpg,797,797.jpg,validation,False
