sample_id,xml_named_image,embedded_filename_image,primary_declared_filename,secondary_declared_filename,declared_image_exists,primary_object_count,secondary_object_count,primary_classes,secondary_classes,primary_boxes,secondary_boxes,primary_declared_dimensions,secondary_declared_dimensions,xml_named_image_dimensions,embedded_filename_image_dimensions,annotator_agreement_category,annotator_mean_iou,declared_primary_object_count,primary_vs_declared_exact_signature,primary_vs_declared_mean_iou,secondary_vs_declared_exact_signature,secondary_vs_declared_mean_iou,thumbnail_raw_mae,thumbnail_intensity_correlation,thumbnail_normalized_mae,recommended_identity_status,recommendation_confidence,automatic_resolution_applied,evidence_flags,review_required
743,743.jpg,10.jpg,10.jpg,10.jpg,True,2,2,thunderstrike;surface_injure,thunderstrike;surface_injure,"thunderstrike[517,336,733,424];surface_injure[383,931,470,975]","thunderstrike[518,335,732,426];surface_injure[383,931,470,975]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.979381701573304,2,False,0.6991113035589096,False,0.6887752998887011,0.25185546875000003,0.8360990721240859,0.4250070989786695,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_classes_match_declared_sample,True
744,744.jpg,100.jpg,100.jpg,100.jpg,True,1,1,thunderstrike,thunderstrike,"thunderstrike[494,142,842,961]","thunderstrike[494,142,842,961]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.19738242953431373,0.9936327659693364,0.06077614059214482,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
745,745.jpg,101.jpg,101.jpg,101.jpg,True,1,1,surface_injure,surface_injure,"surface_injure[314,114,659,542]","surface_injure[314,114,659,542]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.2175896139705883,0.99910810256657,0.02959029838637081,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
746,746.jpg,105.jpg,105.jpg,105.jpg,True,1,1,surface_injure,surface_injure,"surface_injure[364,456,564,853]","surface_injure[364,456,564,853]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,False,0.9455548391718605,0.24991861979166669,0.9200155333548994,0.30801436859695275,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
747,747.jpg,106.jpg,106.jpg,106.jpg,True,7,6,surface_injure;surface_injure;surface_injure;surface_injure;surface_injure;surface_injure;surface_injure,surface_injure;surface_injure;surface_injure;surface_injure;surface_injure;surface_injure,"surface_injure[337,805,372,860];surface_injure[616,792,653,1002];surface_injure[619,627,753,705];surface_injure[623,520,661,614];surface_injure[631,80,698,316];surface_injure[700,92,752,142];surface_injure[789,11,831,49]","surface_injure[338,806,374,864];surface_injure[616,792,653,1002];surface_injure[619,627,753,705];surface_injure[623,520,661,614];surface_injure[631,80,698,316];surface_injure[700,92,752,142]",1024x1024,1024x1024,1024x1024,1024x1024,object_count_disagreement,0.974420990911756,7,True,1.0,False,0.7752530525351845,0.08153913909313726,0.9998928228877022,0.01098897373123194,ambiguous,low,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;primary_annotation_exactly_repeats_declared_sample,True
748,748.jpg,108.jpg,108.jpg,108.jpg,True,3,3,thunderstrike;surface_injure;surface_injure,thunderstrike;surface_injure;surface_injure,"thunderstrike[542,313,911,800];surface_injure[928,2,1014,781];surface_injure[342,10,534,935]","thunderstrike[542,313,911,800];surface_injure[928,2,1014,781];surface_injure[342,10,534,935]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,3,True,1.0,False,0.9745190150348221,0.38596335018382355,0.7587598717033185,0.5942804980228533,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
749,749.jpg,11.jpg,11.jpg,11.jpg,True,1,1,surface_injure,corrosion,"surface_injure[741,106,825,177]","corrosion[736,102,821,181]",1024x1024,1024x1024,1024x1024,1024x1024,class_disagreement,,1,True,1.0,False,,0.45806334252450986,0.9828388813456285,0.12629914761517297,ambiguous,low,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;primary_annotation_exactly_repeats_declared_sample,True
750,750.jpg,110.jpg,110.jpg,110.jpg,True,1,1,surface_injure,surface_injure,"surface_injure[41,128,616,213]","surface_injure[36,125,620,216]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9204013377926421,1,True,1.0,False,,0.2709520526960784,0.5573906685719939,0.7424792821781909,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
751,751.jpg,111.jpg,111.jpg,111.jpg,True,1,1,crack,crack,"crack[416,263,586,402]","crack[419,262,581,400]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9332448242957309,1,True,1.0,False,0.9137729380923574,0.44185240502450984,0.9986299853348071,0.0362936049778303,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
752,752.jpg,115.jpg,115.jpg,115.jpg,True,2,2,corrosion;corrosion,corrosion;corrosion,"corrosion[302,438,447,977];corrosion[406,24,555,427]","corrosion[302,438,447,977];corrosion[402,25,557,428]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9784404976730934,2,True,1.0,False,0.9784404976730934,0.37775448069852946,0.7911099214551093,0.5451606392085142,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
753,753.jpg,116.jpg,116.jpg,116.jpg,True,3,3,surface_injure;hide_craze;hide_craze,surface_injure;hide_craze;hide_craze,"surface_injure[491,670,536,714];hide_craze[456,450,481,516];hide_craze[437,86,486,439]","surface_injure[491,670,536,714];hide_craze[456,450,481,516];hide_craze[437,86,486,439]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,3,True,1.0,False,0.9370572872630255,0.26995251225490197,0.9673089564204586,0.1643807798823507,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
755,755.jpg,120.jpg,120.jpg,120.jpg,True,1,1,corrosion,corrosion,"corrosion[512,13,647,988]","corrosion[512,13,647,988]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,False,0.9579547980733605,0.2788210401348039,0.6732878062426739,0.7332242236787772,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
758,758.jpg,123.jpg,123.jpg,123.jpg,True,3,3,craze;craze;craze,craze;craze;craze,"craze[459,20,561,208];craze[481,222,595,581];craze[492,606,620,944]","craze[459,20,561,208];craze[481,222,595,581];craze[492,606,620,944]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,3,True,1.0,False,0.9684757698694547,0.10040307138480392,0.9375603125154881,0.27831261816991343,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
759,759.jpg,126.jpg,126.jpg,126.jpg,True,4,4,craze;craze;craze;surface_injure,craze;craze;craze;surface_injure,"craze[56,664,164,872];craze[594,110,702,706];craze[336,339,572,681];surface_injure[694,3,1000,156]","craze[54,659,167,869];craze[594,110,702,706];craze[336,339,572,681];surface_injure[694,3,1000,156]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9802407612485132,4,True,1.0,False,0.9680055310705945,0.28807540594362746,0.9995771457392139,0.02385380538901178,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
761,761.jpg,13.jpg,13.jpg,13.jpg,True,2,2,hide_craze;hide_craze,hide_craze;hide_craze,"hide_craze[11,649,162,808];hide_craze[483,611,514,775]","hide_craze[7,653,167,813];hide_craze[483,611,514,775]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9469071582042293,2,True,1.0,False,0.9365259383917466,0.0857565487132353,0.9721460792685575,0.20754465710457115,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
762,762.jpg,130.jpg,130.jpg,130.jpg,True,2,2,crack;crack,crack;crack,"crack[100,233,170,583];crack[420,8,697,469]","crack[95,234,172,583];crack[420,8,697,469]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9539476087830185,2,True,1.0,False,0.9730684169223086,0.21416877297794118,0.9996021938378268,0.01729210077092358,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
763,763.jpg,137.jpg,137.jpg,137.jpg,True,1,1,crack,crack,"crack[567,42,798,406]","crack[567,42,798,406]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.2488999310661765,0.9986792418439514,0.039294403395034726,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
764,764.jpg,14.jpg,14.jpg,14.jpg,True,2,2,hide_craze;surface_injure,hide_craze;corrosion,"hide_craze[170,910,272,972];surface_injure[261,94,327,153]","hide_craze[170,910,272,972];corrosion[261,94,327,153]",1024x1024,1024x1024,1024x1024,1024x1024,class_disagreement,1.0,2,True,1.0,False,1.0,0.2725116804534313,0.9960534814636489,0.06273478391070675,ambiguous,low,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;primary_annotation_exactly_repeats_declared_sample,True
766,766.jpg,144.jpg,144.jpg,144.jpg,True,4,4,hide_craze;hide_craze;hide_craze;hide_craze,hide_craze;hide_craze;hide_craze;hide_craze,"hide_craze[83,281,125,478];hide_craze[8,411,917,524];hide_craze[198,472,230,764];hide_craze[808,252,853,413]","hide_craze[78,279,121,476];hide_craze[8,411,917,524];hide_craze[198,472,230,764];hide_craze[810,247,858,413]",1024x1024,1024x1024,1024x1024,1024x1024,box_disagreement,0.9089109937015294,4,True,1.0,False,0.8484981665252338,0.3231608072916667,0.834067330997649,0.47234391987482804,ambiguous,low,False,annotators_agree_on_embedded_filename;primary_annotation_exactly_repeats_declared_sample,True
767,767.jpg,145.jpg,145.jpg,145.jpg,True,1,1,surface_injure,surface_injure,"surface_injure[748,475,958,803]","surface_injure[748,475,958,803]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.2050857843137255,0.9812728151196207,0.157238924906692,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
768,768.jpg,146.jpg,146.jpg,146.jpg,True,1,1,hide_craze,hide_craze,"hide_craze[306,266,512,750]","hide_craze[305,269,517,750]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9659879752534201,1,False,0.9209621993127147,False,0.8894924904860123,0.3015797334558823,0.960457007344895,0.203934163744384,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_classes_match_declared_sample,True
769,769.jpg,147.jpg,147.jpg,147.jpg,True,1,1,hide_craze,hide_craze,"hide_craze[339,505,402,847]","hide_craze[339,505,402,847]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,False,0.9191266912669127,0.30647307751225494,0.9519383940985405,0.24841712456490883,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
770,770.jpg,149.jpg,149.jpg,149.jpg,True,1,1,surface_injure,surface_injure,"surface_injure[95,700,381,758]","surface_injure[95,700,381,758]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,1.0,1,True,1.0,True,1.0,0.45199237898284306,0.4551194305589593,0.8556847053960402,ambiguous,low,False,annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
771,771.jpg,15.jpg,15.jpg,15.jpg,True,1,1,craze,craze,"craze[280,166,703,280]","craze[275,165,704,281]",1024x1024,1024x1024,1024x1024,1024x1024,strong_agreement,0.9691910157026437,1,True,1.0,False,0.9691910157026437,0.22260167738970593,0.9958430336896523,0.06022269394222712,xml_name_correct,high,False,xml_and_embedded_images_highly_correlated;annotators_agree_on_embedded_filename;annotators_agree_strongly_on_current_xml;primary_annotation_exactly_repeats_declared_sample,True
