source_image_id,filename,extension,file_size_bytes,sha256,decoded_width,decoded_height,image_mode,decoding_succeeded,decoding_error,number_of_annotated_objects,official_split,xml_width,xml_height,xml_dimensions_match,pixel_sha256,dhash64
0,0.jpg,.jpg,155029,362547ff383c509ca25a782c5a168fe6153eb3642980ff1e7b6eec2ab022105b,1024,1024,RGB,True,,1,validation,1024,1024,True,c6c564351a05cdf55c05af19534b9ab226767353114575317a18c0fb657cb9d8,6060e06060606060
1,1.jpg,.jpg,62503,9caf2d6b0ee4b215fc1e614916d8e89738621b52c6b23b15682b4cf2736b9b87,1024,1024,RGB,True,,1,train,1024,1024,True,fb13fd870c46d921ece6735ed9af94754f8e429ec6289e57c21801d9ebda579b,0321411186060042
2,2.jpg,.jpg,87783,f26299242481246c605cb64d6fe573fb94c32932de4927c750d491f04caf767f,1024,1024,RGB,True,,1,train,1024,1024,True,704bab395199a916ac38f0cead0ffcf5802dcc95b0c864aba07fdf62ffaa255a,001000000c0c8ecf
3,3.jpg,.jpg,83751,77f92d5aa52ecd64e00c308d321552bf6ed600d9c74187f7498e63b460a6c86c,1024,1024,RGB,True,,1,validation,1024,1024,True,3d0b8a40127277c506471645a166ba7b5d0c234eefce7eacb4e19039533db31c,c6c6c6c686868687
4,4.jpg,.jpg,41084,09de11f671f5cadf81721e2368400356968df5100a90962893f7acd3b6eccb93,1024,1024,RGB,True,,1,train,1024,1024,True,8b865f26ffc458faae112cd0a0c748a3a57462018e5dbab097dfbe6c0b6c063f,13101e1c2c3c0d0d
5,5.jpg,.jpg,109595,6f728a07947e0e63d088229918d9029db9bbc0959f0d927983b3436b16d3565a,1024,1024,RGB,True,,3,train,1024,1024,True,51e6f89199ae25a7deb4c5468a68ef0fc0b4c73cc2c31f064cb9408efde02379,7c3d191f1f3f1f3d
6,6.jpg,.jpg,37746,fcc96028ed4dbaa2f02935c0eebc6f914582ceefc2e6b46e7b8f31c4914be51b,1024,1024,RGB,True,,1,train,1024,1024,True,94ebb78f4a4d5aaa0de2c64b0fb729db2cabbd5e3756d5ae3af1a2e587738ff0,078fff1f19100007
7,7.jpg,.jpg,53725,a6f31a5b9c830a697fb2d2a60fed63c698d23d386a7d7fa765fc1dc91d3c02d2,1024,1024,RGB,True,,1,validation,1024,1024,True,b49d89c19fe278a4ca549236bcef5d099da6b350ef6947bd601b6986cb9a7e14,0f1f3f33f7c7c7e7
8,8.jpg,.jpg,40734,6287575d33c0af33cf6bc4d9cae2634543ba7c866419943fb3383899c104a20a,1024,1024,RGB,True,,1,train,1024,1024,True,ee1b9d2397ebefb78b4d9c755678ff01afaf8636b6b2f08a206ff1b35443840b,98f0d096f7e47c38
9,9.jpg,.jpg,74049,0dfb269a508c3696d7eba9fbc960d355bf376d67300752870b99f93745f0ff1e,1024,1024,RGB,True,,1,train,1024,1024,True,7ba42387ea9a99ffd5590a92122bfd325d78ec0a5ff754448e91445128fba49d,38391283c3830140
10,10.jpg,.jpg,79755,91c8443f67d652e341707508f75ca6a91a7555a7428646e1ee3480892cf326e7,1024,1024,RGB,True,,2,train,1024,1024,True,46eac51f49707742b8c7fcfd9288ce48e812dcaac41eacf970dbf4ecac2158bf,fcfcf8fdffdffee0
11,11.jpg,.jpg,47051,a6eeaecbb5ec2600788b2e4fbef9a5b056e15f67f128fef4f7f10501559e26c7,1024,1024,RGB,True,,1,validation,1024,1024,True,0c37aeedfd797809618b39b9ea9019dce17097ee96522505508449c1d44400a0,141507530307060e
12,12.jpg,.jpg,39006,807b2ed999e9ddecd066d28b26426dba716556fd94fd64bc3fc7d208b55e9fc9,1024,1024,RGB,True,,1,train,1024,1024,True,73da3eb5de5433ba1ed2e3b1b103e1d6e6e6f0bdf9936326e813db94f9125c47,70d7316220301010
13,13.jpg,.jpg,63375,358329e3df591068ae6a387fa71adeb896afe3bebee86fac645857aedc048cc3,1024,1024,RGB,True,,2,test,1024,1024,True,92e1d615c4fd13b4208fcb8cf7f51405868af3d1f38e1a354b0ce5c45988bedf,1fffff7fff7f3f3f
14,14.jpg,.jpg,25768,2b0e626ca952b0cc524057f50dba8818d052782ea4ec862e1556d6aef1e03586,1024,1024,RGB,True,,2,train,1024,1024,True,419ffa80e7caed629c01b1676b309c1f7a3d070d4104eb2be7f831f599b171e4,8080000000000404
15,15.jpg,.jpg,26951,082cface59da24cd88b0045a38343b8c5d04245cb9ca5412521edd36fc62b858,1024,1024,RGB,True,,1,train,1024,1024,True,8912ad02e921f01eb999af4f72fc19323da962a67df96ed959585d362bba075a,f1f3710600000303
16,16.jpg,.jpg,83542,ce0672e3d2f3db47b1bd8ce200cebb92fae13b8038d02b3905c4f8fd8b50fcf2,1024,1024,RGB,True,,1,train,1024,1024,True,fde7408e520019ed84e3485deacdac56b00d7deb2fa9bd8ddfc009fee305b088,3c0f07278301030b
17,17.jpg,.jpg,68468,b2fa427df6a79f2843894e5394eb5d965f2b3b79a04a950389ac0a9111fc4516,1024,1024,RGB,True,,1,train,1024,1024,True,c16e7ec39e4a63aa0c4eba5bf42d46d20d0c7114e4fe194bde6b22829b8d5fef,3c7c717131030303
18,18.jpg,.jpg,50187,f48241f15506c239c9d590a2cef8a5c04ed1a4574e2eabb384e47c9c3c86ed65,1024,1024,RGB,True,,1,train,1024,1024,True,dafe4fadb204fd8a09ee7aa442263ae40f5f3b10971b2ac786aae7f578b88cd2,000080e4e4f4b9ba
19,19.jpg,.jpg,79953,20f73bda4c65c841583ceb0fe84fb7da635363157780d831d77f043981b053f4,1024,1024,RGB,True,,2,validation,1024,1024,True,8b5f03d18bd4896b3ffcf82484b391c1ec06d987f315c61b3c25515bf95601ce,0f4b1f1e1f7cece8
20,20.jpg,.jpg,62233,07cbc349d4b7eb5fdedfa8e56b5ba7e0da385757c48cfe0e8d67c4337e58ce16,1024,1024,RGB,True,,1,train,1024,1024,True,3ca61750e07bcedc0261a42134e537fb91805aa3e6c3a70bea6c00be8212a373,0302608219f0e080
21,21.jpg,.jpg,50280,0b3bec5329f4ed16238826c386461beb3b01b2974068a17d41a49426b91c45ad,1024,1024,RGB,True,,1,validation,1024,1024,True,26f0d2543afb5c2b664d6f1915b11c3639aa1ad7c46614ee086171ca7d2799ca,0f4d050418985141
22,22.jpg,.jpg,34601,29107b9d185279fdf216c5fe3ae01d20252fc4d6898037b02ebc86ecf571fb83,1024,1024,RGB,True,,1,train,1024,1024,True,8f61d0a867f4ae14e5cd13dfba3fec57e268ff5e8bdaa963374cd8ea86601bd1,1c1e7e7d3f0e1218
23,23.jpg,.jpg,47997,a9e5548d3d6b0210fc1abe88cb6233a0f474d6160f029c3533340f269cc104fb,1024,1024,RGB,True,,1,train,1024,1024,True,ec6b92a16ef9d4f9c34621b7c3a8ba350ec63aebaf6081f1965140d8e7a08f74,0f001090d1153733
24,24.jpg,.jpg,64159,33accffbeb08d3b4b3ab64357715e1d86b7342f3bed200405dbf787313ed460a,1024,1024,RGB,True,,1,train,1024,1024,True,ece10836528ecc54a0b03a484244df7f5706721e98028c372e38fe1060898f01,70f1871e3edcc060
25,25.jpg,.jpg,44577,e311e45fe9e5fe531f942b8cb338222a88a69266a9c284c8024bf26a41480d51,1024,1024,RGB,True,,1,train,1024,1024,True,5060750115a3817dce827c831d2e487ba11cba3c867d8c6695b9188cc757b356,2f27272723232321
26,26.jpg,.jpg,49931,091d06e7a0c9a4a3e2b9d8cdd84fe1043404c1462e1f30d3add5102d860148af,1024,1024,RGB,True,,1,train,1024,1024,True,bd09d158f1be6ac2d4bdb4921886b2af416fa3e8f773b8f4ea436db58f9ee1f5,2020606068696c6c
27,27.jpg,.jpg,60364,b4d95721b46f1071080136bdcc0af991d0ed084d54c35ff4f3c24e503643c169,1024,1024,RGB,True,,3,train,1024,1024,True,0e11aee014c1105d8dccb2d49300fd35cd8667129832da56b6025affac05a37b,7f3e0f4f47c3cd8c
28,28.jpg,.jpg,43062,6b906dcf479a3acdecef686198086648d7b95dabb780eeeb1c543e72bc33fcb2,1024,1024,RGB,True,,1,train,1024,1024,True,2020ca844043a54c392a8abf52b5001ea205d37b8c124da1d0321382131f99fb,00050f0f1b7171f3
29,29.jpg,.jpg,57612,96dddb2d514547799dd9fc2bb1e44282dcf8574ca774c95c3c368b8b06ce6838,1024,1024,RGB,True,,1,train,1024,1024,True,d8d8f1480689ec05066bf1385b19f81351ec93f152299cb8cb49847d663383cc,070f080307303834
30,30.jpg,.jpg,177330,8a2681e935865f27d568aefee2bb4424a1880a83637d15c638d88d02acb7a731,1024,1024,RGB,True,,2,train,1024,1024,True,59161b207b469aead84b0cf622dffae8a2c0e2ab7e3970b107ff9ef22dc37dec,e1f1fdfd7bbf3f27
31,31.jpg,.jpg,45792,9f5b2c8c8f7ce6a7d68f1a4b1782c80b3010c5a1416be6aaa0746e8891dac935,1024,1024,RGB,True,,2,train,1024,1024,True,5867844659026e604a0fcc04e860dfe3fc538788b23eb94e2c1a4f446ac324f3,07073c70c3070707
32,32.jpg,.jpg,68146,77abf41eafe2a8e6759d50a55d6ce206e7bc1d4583d2aea1735f49c0f0fc6a10,1024,1024,RGB,True,,2,test,1024,1024,True,84f9d76f14a97946644292106cae7bbf89bea2c2d14cbee6b714484b7a2c09d6,7fffff3f8fe6263f
33,33.jpg,.jpg,64517,d570bc62c3682ba82e5cf7177383b38f1bb82cee16fd44ea5c625eed22002aa3,1024,1024,RGB,True,,2,train,1024,1024,True,8cc4d7c117dc2747d3cea03008f53e8d3014b70aef3a48f013f472a7058c1eac,fff7f77b2d2f2360
34,34.jpg,.jpg,139191,7a52f0b680b59bf9d0f968088d5df7a12308b95430eb708e2748bb8eb50e8d30,1024,1024,RGB,True,,2,train,1024,1024,True,89281ed652cedb833915209b0f33aee7bfd560f095bd00037cf4eded5f071e74,0001614041e13871
35,35.jpg,.jpg,70801,67d0169a1654a8ad9c7ee8d12788f01e0b84f70ee9ff60bed8fbe61d8385499f,1024,1024,RGB,True,,2,train,1024,1024,True,87f0f05176825f13ddc3d0686317f3402f112e1defe7fc5eb0a67cf299bf20a5,1d0f2e0713130908
36,36.jpg,.jpg,105353,0214247382840dedea5009e041468fd13faba1102cc0495d9a5823d7367f9896,1024,1024,RGB,True,,2,train,1024,1024,True,d5bf165f48472cbc1f1196045df80fae327bc1daaba2e762d25fd0f70867ad44,737367464e0f3f3b
