source_image_id,instance_a,instance_b,label_a,label_b,official_split,iou
660,660_0,660_1,surface_injure,craze,train,0.23465412041461442
37,37_0,37_1,thunderstrike,surface_injure,train,0.22414554446701404
472,472_1,472_2,hide_craze,hide_craze,train,0.15655012181241829
818,818_1,818_2,hide_craze,hide_craze,train,0.07675273579429406
1017,1017_0,1017_1,hide_craze,hide_craze,test,0.06303030303030303
682,682_0,682_1,hide_craze,hide_craze,train,0.04992427520553873
256,256_1,256_5,hide_craze,hide_craze,train,0.04701553556827474
827,827_1,827_5,hide_craze,hide_craze,train,0.04701553556827474
256,256_2,256_3,hide_craze,hide_craze,train,0.03967291696038348
256,256_0,256_4,surface_injure,hide_craze,train,0.03839945947974926
234,234_2,234_4,hide_craze,hide_craze,test,0.03592436237765018
494,494_0,494_1,surface_injure,surface_injure,train,0.03439039622510582
178,178_1,178_2,surface_injure,surface_injure,test,0.032501009717041646
827,827_0,827_4,surface_injure,hide_craze,train,0.029984672847130252
299,299_3,299_4,hide_craze,hide_craze,train,0.029972211194918618
144,144_0,144_1,hide_craze,hide_craze,train,0.02674471782676301
766,766_0,766_1,hide_craze,hide_craze,train,0.02674471782676301
234,234_0,234_4,surface_injure,hide_craze,test,0.026148754173054605
595,595_0,595_1,surface_injure,hide_craze,train,0.025459512055775256
975,975_0,975_1,surface_injure,hide_craze,train,0.025459512055775256
299,299_1,299_2,hide_craze,hide_craze,train,0.022299350724290776
281,281_0,281_1,hide_craze,hide_craze,train,0.017712649281013893
144,144_1,144_2,hide_craze,hide_craze,train,0.01566362170875873
766,766_1,766_2,hide_craze,hide_craze,train,0.01566362170875873
956,956_0,956_3,thunderstrike,surface_injure,validation,0.015147996641717726
827,827_2,827_3,hide_craze,hide_craze,train,0.014246924888772572
472,472_2,472_3,hide_craze,hide_craze,train,0.01381296498760033
178,178_0,178_1,surface_injure,surface_injure,test,0.006009305839328331
31,31_0,31_1,surface_injure,surface_injure,train,0.004084736172018673
126,126_1,126_3,craze,surface_injure,train,0.003779215209777714
759,759_1,759_3,craze,surface_injure,train,0.003779215209777714
240,240_2,240_3,hide_craze,hide_craze,train,0.0034336167429692608
818,818_0,818_1,surface_injure,hide_craze,train,0.002073348053206958
234,234_0,234_1,surface_injure,hide_craze,test,0.00155023643543119
144,144_1,144_3,hide_craze,hide_craze,train,0.0012426387163001784
766,766_1,766_3,hide_craze,hide_craze,train,0.0012426387163001784
671,671_0,671_1,hide_craze,surface_injure,test,0.0010688836104513063
171,171_0,171_1,hide_craze,hide_craze,train,0.0008326142573837746
