scope,metric,count,min,p05,p25,median,p75,p95,max
all,bbox_width,1065,20,43.4,117,220,376,754,1013
all,bbox_height,1065,23,50,126,249,431,878.8,1023
all,bbox_area,1065,800,4890.6,20400,55550,121660,320978,678219
all,crop_side,1065,64,138,330,537,801,1024,1024
all,bbox_area_source_fraction,1065,0.000762939453125,0.00466403961182,0.0194549560547,0.0529766082764,0.116024017334,0.306108474731,0.646800041199
all,defect_occupancy,1065,0.0284505959246,0.0598171295517,0.128937103379,0.23950918473,0.355987055016,0.42691682911,0.646800041199
all,resize_scale_factor,1065,0.21875,0.21875,0.279650436954,0.417132216015,0.678787878788,1.6231884058,3.5
craze,bbox_width,169,65,109,206,332,479,874,1013
craze,bbox_height,169,82,110.4,200,323,451,842.4,1015
craze,bbox_area,169,9576,22324.2,48760,106267,202306,403243.6,533785
craze,crop_side,169,171,272.6,435,620,980,1024,1024
craze,bbox_area_source_fraction,169,0.00913238525391,0.0212900161743,0.046501159668,0.101344108582,0.19514465332,0.384563064575,0.509057044983
craze,defect_occupancy,169,0.059379217274,0.111463834501,0.21027479092,0.313546423135,0.388326644897,0.437511528445,0.509057044983
craze,resize_scale_factor,169,0.21875,0.21875,0.228571428571,0.361290322581,0.514942528736,0.821930411061,1.30994152047
corrosion,bbox_width,178,37,65.85,140.5,266,407.75,1001,1013
corrosion,bbox_height,178,44,86.7,198,424,569.25,1006.3,1023
corrosion,bbox_area,178,4876,16858.9,40382.25,82501,179996,422117.7,678219
corrosion,crop_side,178,138,309.65,551.25,741.5,1024,1024,1024
corrosion,bbox_area_source_fraction,178,0.0046501159668,0.0160778999329,0.0385115146637,0.0786790847778,0.171657562256,0.40256280899,0.646800041199
corrosion,defect_occupancy,178,0.0328831360354,0.0670801406368,0.112504381985,0.172769855186,0.33449159728,0.426375690384,0.646800041199
corrosion,resize_scale_factor,178,0.21875,0.21875,0.21875,0.302091593612,0.406349456851,0.723476927664,1.6231884058
surface_injure,bbox_width,264,20,45.15,88,165.5,328.25,608.75,895
surface_injure,bbox_height,264,32,45,93.75,182,325,542,979
surface_injure,bbox_area,264,800,2254.05,8882.75,34044,85123.5,222569.5,450819
surface_injure,crop_side,264,64,81,188.75,382,642.5,1024,1024
surface_injure,bbox_area_source_fraction,264,0.000762939453125,0.0021496295929,0.00847125053406,0.0324668884277,0.0811800956726,0.212258815765,0.429934501648
surface_injure,defect_occupancy,264,0.0368474536415,0.0847605892675,0.194373592991,0.29187943213,0.37116156684,0.430182924338,0.444444444444
surface_injure,resize_scale_factor,264,0.21875,0.21875,0.34863876473,0.586391453026,1.18676122932,2.76543209877,3.5
thunderstrike,bbox_width,60,54,75.85,135.5,242,390,557.7,777
thunderstrike,bbox_height,60,43,53.5,104.75,219,347,798.15,993
thunderstrike,bbox_area,60,3564,5424.25,14153,49356,131347.5,391271.45,567003
thunderstrike,crop_side,60,99,151.3,278,442.5,682.5,1024,1024
thunderstrike,bbox_area_source_fraction,60,0.00339889526367,0.00517296791077,0.0134973526001,0.0470695495605,0.125262737274,0.373145532608,0.540736198425
thunderstrike,defect_occupancy,60,0.0953666216824,0.144337593056,0.211666579978,0.259946407373,0.354378722118,0.423472097072,0.540736198425
thunderstrike,resize_scale_factor,60,0.21875,0.21875,0.328321513003,0.506267046673,0.809139784946,1.48115942029,2.26262626263
crack,bbox_width,131,39,46.5,104,167,250.5,460.5,672
crack,bbox_height,131,55,93,204.5,295,501.5,773.5,980
crack,bbox_area,131,3245,8547,24818.5,49149,102480,213365,418460
crack,crop_side,131,89,199.5,337,483,790.5,1024,1024
crack,bbox_area_source_fraction,131,0.00309467315674,0.00815105438232,0.0236687660217,0.0468721389771,0.0977325439453,0.20348072052,0.399074554443
crack,defect_occupancy,131,0.056258790436,0.0826307301096,0.123135176599,0.208735043374,0.319481705621,0.407103186961,0.441683919945
crack,resize_scale_factor,131,0.21875,0.21875,0.283537493395,0.463768115942,0.664711839035,1.122870496,2.51685393258
hide_craze,bbox_width,263,21,30.1,92,229,399.5,777.4,968
hide_craze,bbox_height,263,23,37.3,89,203,344,699.8,1012
hide_craze,bbox_area,263,1426,5287.8,12432,30800,92416.5,258085.1,647686
hide_craze,crop_side,263,93,155.1,326,519,787,1024,1024
hide_craze,bbox_area_source_fraction,263,0.0013599395752,0.00504283905029,0.0118560791016,0.0293731689453,0.0881352424622,0.246129131317,0.617681503296
hide_craze,defect_occupancy,263,0.0284505959246,0.0402147438758,0.0831383429747,0.1443001443,0.294223150501,0.411868803269,0.617681503296
hide_craze,resize_scale_factor,263,0.21875,0.21875,0.284632511669,0.431599229287,0.687116564417,1.44423490488,2.40860215054
