split,canonical_label,class_id,source_image_count,instance_count
train,craze,0,99,123
train,corrosion,1,81,126
train,surface_injure,2,119,185
train,thunderstrike,3,42,42
train,crack,4,75,93
train,hide_craze,5,138,188
validation,craze,0,14,19
validation,corrosion,1,17,22
validation,surface_injure,2,28,46
validation,thunderstrike,3,8,9
validation,crack,4,18,24
validation,hide_craze,5,24,26
test,craze,0,21,27
test,corrosion,1,21,30
test,surface_injure,2,24,33
test,thunderstrike,3,8,9
test,crack,4,12,14
test,hide_craze,5,35,49
