instance_id,source_image_id,split,canonical_label,class_id
0_0,0,validation,corrosion,1
1_0,1,train,craze,0
2_0,2,train,surface_injure,2
3_0,3,validation,corrosion,1
4_0,4,train,crack,4
5_0,5,train,corrosion,1
5_1,5,train,corrosion,1
5_2,5,train,corrosion,1
6_0,6,train,craze,0
7_0,7,validation,hide_craze,5
8_0,8,train,crack,4
9_0,9,train,hide_craze,5
10_0,10,train,thunderstrike,3
10_1,10,train,surface_injure,2
11_0,11,validation,surface_injure,2
12_0,12,train,crack,4
13_0,13,test,hide_craze,5
13_1,13,test,hide_craze,5
14_0,14,train,hide_craze,5
14_1,14,train,surface_injure,2
15_0,15,train,craze,0
16_0,16,train,craze,0
17_0,17,train,thunderstrike,3
18_0,18,train,craze,0
19_0,19,validation,surface_injure,2
19_1,19,validation,surface_injure,2
20_0,20,train,craze,0
21_0,21,validation,craze,0
22_0,22,train,surface_injure,2
23_0,23,train,crack,4
24_0,24,train,craze,0
25_0,25,train,hide_craze,5
26_0,26,train,crack,4
27_0,27,train,surface_injure,2
27_1,27,train,surface_injure,2
27_2,27,train,surface_injure,2
28_0,28,train,hide_craze,5
29_0,29,train,hide_craze,5
30_0,30,train,craze,0
30_1,30,train,craze,0
31_0,31,train,surface_injure,2
31_1,31,train,surface_injure,2
32_0,32,test,thunderstrike,3
32_1,32,test,thunderstrike,3
33_0,33,train,crack,4
33_1,33,train,crack,4
34_0,34,train,surface_injure,2
34_1,34,train,hide_craze,5
35_0,35,train,corrosion,1
35_1,35,train,corrosion,1
36_0,36,train,hide_craze,5
36_1,36,train,hide_craze,5
37_0,37,train,thunderstrike,3
37_1,37,train,surface_injure,2
38_0,38,train,hide_craze,5
39_0,39,train,corrosion,1
40_0,40,train,thunderstrike,3
41_0,41,train,hide_craze,5
42_0,42,train,craze,0
42_1,42,train,craze,0
42_2,42,train,craze,0
43_0,43,train,surface_injure,2
43_1,43,train,surface_injure,2
44_0,44,train,hide_craze,5
45_0,45,train,surface_injure,2
45_1,45,train,surface_injure,2
46_0,46,test,corrosion,1
46_1,46,test,corrosion,1
