source_image_id,instance_id,canonical_label,class_id
1,1_0,craze,0
5,5_0,corrosion,1
5,5_1,corrosion,1
5,5_2,corrosion,1
9,9_0,hide_craze,5
10,10_0,thunderstrike,3
10,10_1,surface_injure,2
16,16_0,craze,0
25,25_0,hide_craze,5
27,27_0,surface_injure,2
27,27_1,surface_injure,2
27,27_2,surface_injure,2
37,37_0,thunderstrike,3
37,37_1,surface_injure,2
38,38_0,hide_craze,5
42,42_0,craze,0
42,42_1,craze,0
42,42_2,craze,0
47,47_0,craze,0
47,47_1,craze,0
47,47_2,craze,0
50,50_0,craze,0
50,50_1,craze,0
50,50_2,craze,0
56,56_0,hide_craze,5
56,56_1,hide_craze,5
56,56_2,hide_craze,5
56,56_3,hide_craze,5
76,76_0,craze,0
89,89_0,crack,4
89,89_1,crack,4
95,95_0,corrosion,1
95,95_1,corrosion,1
95,95_2,thunderstrike,3
106,106_0,surface_injure,2
106,106_1,surface_injure,2
106,106_2,surface_injure,2
106,106_3,surface_injure,2
106,106_4,surface_injure,2
106,106_5,surface_injure,2
106,106_6,surface_injure,2
107,107_0,crack,4
107,107_1,crack,4
109,109_0,surface_injure,2
116,116_0,surface_injure,2
116,116_1,hide_craze,5
116,116_2,hide_craze,5
126,126_0,craze,0
126,126_1,craze,0
126,126_2,craze,0
126,126_3,surface_injure,2
130,130_0,crack,4
130,130_1,crack,4
133,133_0,crack,4
144,144_0,hide_craze,5
144,144_1,hide_craze,5
144,144_2,hide_craze,5
144,144_3,hide_craze,5
145,145_0,surface_injure,2
149,149_0,surface_injure,2
151,151_0,hide_craze,5
155,155_0,thunderstrike,3
155,155_1,surface_injure,2
155,155_2,surface_injure,2
155,155_3,surface_injure,2
155,155_4,surface_injure,2
157,157_0,crack,4
158,158_0,thunderstrike,3
158,158_1,corrosion,1
164,164_0,crack,4
170,170_0,corrosion,1
170,170_1,corrosion,1
170,170_2,corrosion,1
176,176_0,crack,4
176,176_1,crack,4
183,183_0,crack,4
183,183_1,crack,4
188,188_0,crack,4
188,188_1,crack,4
190,190_0,surface_injure,2
192,192_0,surface_injure,2
192,192_1,hide_craze,5
192,192_2,hide_craze,5
193,193_0,craze,0
201,201_0,crack,4
201,201_1,crack,4
211,211_0,crack,4
211,211_1,crack,4
227,227_0,corrosion,1
240,240_0,hide_craze,5
240,240_1,hide_craze,5
240,240_2,hide_craze,5
240,240_3,hide_craze,5
244,244_0,hide_craze,5
247,247_0,surface_injure,2
251,251_0,craze,0
251,251_1,craze,0
251,251_2,craze,0
259,259_0,surface_injure,2
260,260_0,craze,0
262,262_0,hide_craze,5
268,268_0,hide_craze,5
268,268_1,hide_craze,5
277,277_0,crack,4
277,277_1,crack,4
279,279_0,hide_craze,5
282,282_0,corrosion,1
282,282_1,corrosion,1
282,282_2,corrosion,1
286,286_0,hide_craze,5
289,289_0,craze,0
289,289_1,craze,0
289,289_2,craze,0
299,299_0,surface_injure,2
299,299_1,hide_craze,5
299,299_2,hide_craze,5
299,299_3,hide_craze,5
299,299_4,hide_craze,5
301,301_0,surface_injure,2
309,309_0,hide_craze,5
310,310_0,crack,4
311,311_0,surface_injure,2
311,311_1,surface_injure,2
311,311_2,surface_injure,2
311,311_3,surface_injure,2
311,311_4,surface_injure,2
311,311_5,surface_injure,2
327,327_0,surface_injure,2
334,334_0,surface_injure,2
337,337_0,surface_injure,2
339,339_0,corrosion,1
342,342_0,surface_injure,2
351,351_0,hide_craze,5
351,351_1,hide_craze,5
351,351_2,craze,0
357,357_0,surface_injure,2
364,364_0,hide_craze,5
375,375_0,corrosion,1
376,376_0,hide_craze,5
376,376_1,hide_craze,5
376,376_2,craze,0
383,383_0,craze,0
385,385_0,corrosion,1
385,385_1,thunderstrike,3
391,391_0,crack,4
397,397_0,crack,4
398,398_0,hide_craze,5
398,398_1,hide_craze,5
398,398_2,craze,0
400,400_0,thunderstrike,3
400,400_1,surface_injure,2
400,400_2,surface_injure,2
400,400_3,surface_injure,2
400,400_4,surface_injure,2
403,403_0,crack,4
403,403_1,crack,4
409,409_0,hide_craze,5
422,422_0,hide_craze,5
422,422_1,hide_craze,5
423,423_0,corrosion,1
423,423_1,hide_craze,5
424,424_0,surface_injure,2
424,424_1,hide_craze,5
424,424_2,hide_craze,5
426,426_0,hide_craze,5
427,427_0,surface_injure,2
427,427_1,surface_injure,2
427,427_2,surface_injure,2
430,430_0,corrosion,1
430,430_1,corrosion,1
430,430_2,corrosion,1
442,442_0,corrosion,1
442,442_1,corrosion,1
442,442_2,corrosion,1
458,458_0,surface_injure,2
467,467_0,corrosion,1
467,467_1,corrosion,1
467,467_2,thunderstrike,3
481,481_0,corrosion,1
481,481_1,corrosion,1
481,481_2,corrosion,1
489,489_0,corrosion,1
489,489_1,corrosion,1
489,489_2,corrosion,1
509,509_0,corrosion,1
514,514_0,surface_injure,2
515,515_0,corrosion,1
527,527_0,corrosion,1
527,527_1,corrosion,1
527,527_2,corrosion,1
548,548_0,crack,4
548,548_1,crack,4
555,555_0,surface_injure,2
557,557_0,hide_craze,5
559,559_0,craze,0
559,559_1,craze,0
559,559_2,craze,0
575,575_0,craze,0
576,576_0,surface_injure,2
576,576_1,surface_injure,2
576,576_2,surface_injure,2
578,578_0,hide_craze,5
603,603_0,thunderstrike,3
603,603_1,surface_injure,2
603,603_2,surface_injure,2
606,606_0,surface_injure,2
616,616_0,hide_craze,5
618,618_0,hide_craze,5
631,631_0,surface_injure,2
635,635_0,surface_injure,2
638,638_0,hide_craze,5
641,641_0,hide_craze,5
641,641_1,hide_craze,5
641,641_2,craze,0
644,644_0,hide_craze,5
645,645_0,surface_injure,2
652,652_0,hide_craze,5
652,652_1,craze,0
672,672_0,surface_injure,2
672,672_1,surface_injure,2
672,672_2,corrosion,1
702,702_0,surface_injure,2
702,702_1,surface_injure,2
711,711_0,surface_injure,2
713,713_0,craze,0
717,717_0,craze,0
717,717_1,hide_craze,5
720,720_0,hide_craze,5
728,728_0,craze,0
728,728_1,hide_craze,5
729,729_0,corrosion,1
754,754_0,thunderstrike,3
754,754_1,hide_craze,5
754,754_2,hide_craze,5
818,818_0,surface_injure,2
818,818_1,hide_craze,5
818,818_2,hide_craze,5
818,818_3,hide_craze,5
818,818_4,hide_craze,5
871,871_0,hide_craze,5
871,871_1,craze,0
885,885_0,hide_craze,5
