method,method_name,class_id,class,support,cnn_seed_count,seed_sd_definition,precision,precision_seed_sd,precision_bootstrap_ci_low,precision_bootstrap_ci_high,recall,recall_seed_sd,recall_bootstrap_ci_low,recall_bootstrap_ci_high,f1,f1_seed_sd,f1_bootstrap_ci_low,f1_bootstrap_ci_high
hog,HOG + SVM,0,craze,27,0,N/A,0.5666666666666667,,0.42857142857142855,0.72,0.6296296296296297,,0.4444444444444444,0.8148148148148148,0.5964912280701754,,0.44897959183673464,0.7333333333333333
hog,HOG + SVM,1,corrosion,30,0,N/A,0.5217391304347826,,0.34615384615384615,0.7083333333333334,0.4,,0.23333333333333334,0.5666666666666667,0.4528301886792453,,0.28,0.6037735849056605
hog,HOG + SVM,2,surface_injure,33,0,N/A,0.4857142857142857,,0.3611111111111111,0.6296296296296297,0.5151515151515151,,0.3333333333333333,0.696969696969697,0.5,,0.360655737704918,0.6301369863013698
hog,HOG + SVM,3,thunderstrike,9,0,N/A,1.0,,0.0,1.0,0.2222222222222222,,0.0,0.5555555555555556,0.36363636363636365,,0.0,0.7142857142857143
hog,HOG + SVM,4,crack,14,0,N/A,0.4444444444444444,,0.14285714285714285,0.8,0.2857142857142857,,0.07142857142857142,0.5,0.34782608695652173,,0.09523809523809523,0.5833333333333334
hog,HOG + SVM,5,hide_craze,49,0,N/A,0.5396825396825397,,0.4520547945205479,0.6349206349206349,0.6938775510204082,,0.5714285714285714,0.8163265306122449,0.6071428571428571,,0.5132743362831858,0.6981132075471698
lbp,LBP + SVM,0,craze,27,0,N/A,0.625,,0.5,0.7777777777777778,0.7407407407407407,,0.5555555555555556,0.8888888888888888,0.6779661016949152,,0.5483870967741936,0.7938095238095214
lbp,LBP + SVM,1,corrosion,30,0,N/A,0.5555555555555556,,0.4074074074074074,0.7368421052631579,0.5,,0.3333333333333333,0.6666666666666666,0.5263157894736842,,0.37499999999999994,0.6666666666666667
lbp,LBP + SVM,2,surface_injure,33,0,N/A,0.45714285714285713,,0.325,0.6,0.48484848484848486,,0.30303030303030304,0.6666666666666666,0.47058823529411764,,0.324304451510334,0.6060606060606061
lbp,LBP + SVM,3,thunderstrike,9,0,N/A,1.0,,1.0,1.0,0.3333333333333333,,0.1111111111111111,0.6666666666666666,0.5,,0.19999999999999998,0.8
lbp,LBP + SVM,4,crack,14,0,N/A,0.6923076923076923,,0.5,0.9166666666666666,0.6428571428571429,,0.35714285714285715,0.8571428571428571,0.6666666666666666,,0.45454545454545453,0.8461538461538461
lbp,LBP + SVM,5,hide_craze,49,0,N/A,0.6923076923076923,,0.5964912280701754,0.7959183673469388,0.7346938775510204,,0.6122448979591837,0.8571428571428571,0.7128712871287128,,0.6185567010309279,0.8
resnet18,ResNet-18,0,craze,27,3,sample SD (ddof=1),0.897815130666447,0.027500866239521308,0.8062379496031061,0.9770114942528735,0.9629629629629629,0.037037037037037035,0.9012345679012346,1.0,0.9285106124186583,0.0025548213600066713,0.8699918275394264,0.981118881118881
resnet18,ResNet-18,1,corrosion,30,3,sample SD (ddof=1),0.9039484887186037,0.0680878739389055,0.8138838916459883,0.9848484848484849,0.7999999999999999,0.033333333333333326,0.66638888888889,0.9111111111111111,0.8475347187806301,0.032035744304593224,0.7494809214155107,0.922230019929657
resnet18,ResNet-18,2,surface_injure,33,3,sample SD (ddof=1),0.8877314814814815,0.061756118388676395,0.8057433714202007,0.9657738095238096,0.8181818181818182,0.12121212121212122,0.7070707070707071,0.9191919191919192,0.8454458330888537,0.047498766168946376,0.7627609327144187,0.9151273624215492
resnet18,ResNet-18,3,thunderstrike,9,3,sample SD (ddof=1),0.9333333333333332,0.11547005383792512,0.8666666666666667,1.0,0.9629629629629629,0.06415002990995845,0.8888888888888888,1.0,0.9473684210526315,0.09116056881941462,0.8888888888888888,1.0
resnet18,ResNet-18,4,crack,14,3,sample SD (ddof=1),0.8522875816993464,0.024905305729748604,0.750329730576441,0.9583333333333334,0.9523809523809524,0.041239304942116105,0.8571428571428571,1.0,0.8987764182424917,0.0038532832203979238,0.8163335738335739,0.967741935483871
resnet18,ResNet-18,5,hide_craze,49,3,sample SD (ddof=1),0.8933643892339544,0.07987828988958341,0.8383602993793146,0.9462669726981702,0.9183673469387755,0.020408163265306145,0.8571428571428571,0.9659863945578232,0.9042505253031567,0.040823585584824906,0.8595921470685579,0.94366607713267
mobilenet_v3_small,MobileNetV3-Small,0,craze,27,3,sample SD (ddof=1),0.9168877099911583,0.07733737027606395,0.8544877057808092,0.9753086419753086,0.9135802469135802,0.021383343303319504,0.8024691358024691,1.0,0.9146451033243487,0.049798405967838376,0.844288155453569,0.9707602339181287
mobilenet_v3_small,MobileNetV3-Small,1,corrosion,30,3,sample SD (ddof=1),0.8324786324786325,0.06015175490568511,0.7239224245253658,0.9361288244766506,0.7555555555555555,0.019245008972987587,0.6,0.888888888888889,0.7912698412698412,0.027800444266884078,0.675680766240644,0.8853590513640422
mobilenet_v3_small,MobileNetV3-Small,2,surface_injure,33,3,sample SD (ddof=1),0.8726478494623656,0.02977347744627494,0.781069041743384,0.9654322409967572,0.8282828282828283,0.017495462702715917,0.7070707070707071,0.929545454545451,0.8498397435897437,0.022735522193871135,0.75983682790838,0.9240159442273413
mobilenet_v3_small,MobileNetV3-Small,3,thunderstrike,9,3,sample SD (ddof=1),0.9333333333333332,0.05773502691896257,0.8333333333333334,1.0,1.0,0.0,1.0,1.0,0.9649122807017543,0.030386856273138228,0.9047619047619048,1.0
mobilenet_v3_small,MobileNetV3-Small,4,crack,14,3,sample SD (ddof=1),0.8967320261437909,0.06339532367572365,0.8101851851851851,0.9777777777777779,1.0,0.0,1.0,1.0,0.9447534297367445,0.03596397672371421,0.8916666666666667,0.9885057471264368
mobilenet_v3_small,MobileNetV3-Small,5,hide_craze,49,3,sample SD (ddof=1),0.8890147253870101,0.028600432553738994,0.8198213872025814,0.9575067554799698,0.9251700680272109,0.042482979580941486,0.8639455782312925,0.9727891156462585,0.9065039349072963,0.031471398539027556,0.8571404719178038,0.952069516820103
