artifact,fingerprint_or_commit,scope
phase9_freeze_commit,89e18d48ef2dd7c2cef35e9b7a4fa6fe72c92ea9,Git
phase3_processed_dataset,4bd754a1015be2ec99c88a57a23586e286b03cc178ee148b298850e5ca848991,Phase 3 manifest and crops
phase8_corruption_config,a6a9e40c9c3de7130892df3cf49698f95718ce9241c8a963849016ce7adc1d57,Phase 8
phase8_robustness_dataset,da0eda8956adfef63e001d0d1614279a907c46feffc5e2f180c5acdbe89987db,Phase 8
phase9a_input,dbedb680481e6477b94ff623858e1db4c1981f2b8f5491d0e04a99b5672173b1,Phase 9A
phase9a_output,14e500fd94fa871bbe1e6bee6494d3158fe003c3799e0ccfbcab8e549adf80fa,Phase 9A
phase9b_config,ac60d00ffb9b0b729c334a9b5b76bf0f3630c09fd7e5b78b7f304f3048263830,Phase 9B
phase9b_output,dc940fe0a802d285b236224b04197f7fb7d6b0ef73062a5bdddbb1238de286d3,Phase 9B
pass_a_form,3b6548d8e6a1240c224f156f9266c5025cc099816d73a8c81960173fe9c8423e,human review
pass_b_form,0f5258e06a4e854d338705bcf1d38ced048f0652a99ccc4639b18c3baae1cd96,human review
review_id_mapping,46b19248797997e8aa7236b9c3fbf17f972977f2cdb2c3a958bd12513f25210b,human review
phase10_config,0691d82dc6addc200806c26a42382db3ebd70cc5ef1cd6065c306a30a7ed2951,Phase 10
complete_upstream_inventory,20d917d5cbe08f579382575218a62aa8f0162841197a5d5d98d4eec7e4d0f9a2,3008 frozen files
