method,condition_id,corruption_family,severity,parameter,replicate_count,standard_deviation,macro_f1,macro_f1_sample_sd,balanced_accuracy,balanced_accuracy_sample_sd,accuracy,accuracy_sample_sd,macro_precision,macro_recall,absolute_drop,retention_percent,relative_loss_percent,prediction_flip_rate,harmful_flip_count,beneficial_flip_count,method_name,condition_design,inference
hog,clean,clean,clean,original_phase3_png,1,N/A,0.47798778741419395,,0.4577658672896768,,0.5308641975308642,,0.5930411778237864,0.4577658672896768,0.0,100.0,0.0,0.0,0.0,0.0,HOG + SVM,fixed synthetic grid point,descriptive only
hog,gaussian_blur_mild,gaussian_blur,mild,0.75,1,N/A,0.45435120435120435,,0.4494388327721661,,0.5370370370370371,,0.58920705887919,0.4494388327721661,-0.023636583062989602,95.05498180385356,4.9450181961464335,0.04938271604938271,2.0,3.0,HOG + SVM,fixed synthetic grid point,descriptive only
hog,gaussian_blur_moderate,gaussian_blur,moderate,1.5,1,N/A,0.4506642474521607,,0.4667605762843858,,0.5370370370370371,,0.6221720488961868,0.4667605762843858,-0.02732353996203324,94.28363220118082,5.716367798819178,0.22839506172839505,13.0,14.0,HOG + SVM,fixed synthetic grid point,descriptive only
hog,gaussian_blur_severe,gaussian_blur,severe,3.0,1,N/A,0.3514353569034922,,0.4129801415515701,,0.49382716049382713,,0.4718289856587729,0.4129801415515701,-0.12655243051070175,73.52391968101908,26.47608031898092,0.41358024691358025,24.0,18.0,HOG + SVM,fixed synthetic grid point,descriptive only
hog,resolution_mild,resolution,mild,168,1,N/A,0.467346191828921,,0.47097849240706385,,0.5679012345679012,,0.6168916523755233,0.47097849240706385,-0.010641595585272945,97.77366789163348,2.2263321083665244,0.12962962962962962,4.0,10.0,HOG + SVM,fixed synthetic grid point,descriptive only
hog,resolution_moderate,resolution,moderate,112,1,N/A,0.46516418026855466,,0.4813337456194599,,0.5679012345679012,,0.6532560032560032,0.4813337456194599,-0.012823607145639293,97.31716845423769,2.6828315457623098,0.21604938271604937,10.0,16.0,HOG + SVM,fixed synthetic grid point,descriptive only
hog,resolution_severe,resolution,severe,56,1,N/A,0.3958850931677018,,0.42876497400306923,,0.5308641975308642,,0.4544283253842078,0.42876497400306923,-0.08210269424649214,82.82326527825131,17.176734721748687,0.29012345679012347,16.0,16.0,HOG + SVM,fixed synthetic grid point,descriptive only
hog,brightness_mild,brightness,mild,0.75,1,N/A,0.4259212836423297,,0.42082846606656127,,0.5308641975308642,,0.5878968253968254,0.42082846606656127,-0.05206650377186428,89.10714768393304,10.89285231606697,0.10493827160493827,6.0,6.0,HOG + SVM,fixed synthetic grid point,descriptive only
hog,brightness_moderate,brightness,moderate,0.5,1,N/A,0.39917409917409913,,0.3979889598937218,,0.5061728395061729,,0.5861577446943301,0.3979889598937218,-0.07881368824009483,83.51135942898058,16.48864057101942,0.19135802469135801,12.0,8.0,HOG + SVM,fixed synthetic grid point,descriptive only
hog,brightness_severe,brightness,severe,0.25,1,N/A,0.31818616409133654,,0.35109713919237723,,0.4691358024691358,,0.4070658970658971,0.35109713919237723,-0.1598016233228574,66.56784387999784,33.43215612000216,0.29012345679012347,22.0,12.0,HOG + SVM,fixed synthetic grid point,descriptive only
hog,jpeg_mild,jpeg,mild,75,1,N/A,0.43993944556380055,,0.432012872489063,,0.5308641975308642,,0.5889832246421394,0.432012872489063,-0.03804834185039341,92.03989247168293,7.960107528317062,0.13580246913580246,7.0,7.0,HOG + SVM,fixed synthetic grid point,descriptive only
hog,jpeg_moderate,jpeg,moderate,50,1,N/A,0.4544844047620853,,0.4391809248952106,,0.5370370370370371,,0.6291767310789048,0.4391809248952106,-0.023503382652108662,95.0828487105797,4.917151289420307,0.21604938271604937,12.0,13.0,HOG + SVM,fixed synthetic grid point,descriptive only
hog,jpeg_severe,jpeg,severe,25,1,N/A,0.2983252726410621,,0.31808218236789665,,0.41975308641975306,,0.3567156527682844,0.31808218236789665,-0.17966251477313183,62.41273950845785,37.58726049154215,0.3333333333333333,28.0,10.0,HOG + SVM,fixed synthetic grid point,descriptive only
lbp,clean,clean,clean,original_phase3_png,1,N/A,0.5924013467096828,,0.5727455965551204,,0.6111111111111112,,0.6703856328856329,0.5727455965551204,0.0,100.0,0.0,0.0,0.0,0.0,LBP + SVM,fixed synthetic grid point,descriptive only
lbp,gaussian_blur_mild,gaussian_blur,mild,0.75,1,N/A,0.5550302282030849,,0.5480931766646052,,0.5802469135802469,,0.6491412226706345,0.5480931766646052,-0.03737111850659791,93.6915878543888,6.3084121456111975,0.11728395061728394,9.0,4.0,LBP + SVM,fixed synthetic grid point,descriptive only
lbp,gaussian_blur_moderate,gaussian_blur,moderate,1.5,1,N/A,0.3719848528183329,,0.36883345930964984,,0.43209876543209874,,0.4729731379731379,0.36883345930964984,-0.22041649389134993,62.792708842478525,37.207291157521475,0.43209876543209874,39.0,10.0,LBP + SVM,fixed synthetic grid point,descriptive only
lbp,gaussian_blur_severe,gaussian_blur,severe,3.0,1,N/A,0.20307877536979704,,0.23915458439267964,,0.3148148148148148,,0.2856714037803105,0.23915458439267964,-0.3893225713398858,34.28060663564283,65.71939336435717,0.5740740740740741,58.0,10.0,LBP + SVM,fixed synthetic grid point,descriptive only
lbp,resolution_mild,resolution,mild,168,1,N/A,0.5308851139021916,,0.5192285668476145,,0.5555555555555556,,0.5615471946354299,0.5192285668476145,-0.06151623280749119,89.61578444256334,10.38421555743666,0.2654320987654321,17.0,8.0,LBP + SVM,fixed synthetic grid point,descriptive only
lbp,resolution_moderate,resolution,moderate,112,1,N/A,0.36442449681578054,,0.35591859639478685,,0.42592592592592593,,0.5930320150659134,0.35591859639478685,-0.22797684989390227,61.51648689522198,38.48351310477802,0.43209876543209874,41.0,11.0,LBP + SVM,fixed synthetic grid point,descriptive only
lbp,resolution_severe,resolution,severe,56,1,N/A,0.17510002500625155,,0.22314986600700884,,0.2962962962962963,,0.2922758824398169,0.22314986600700884,-0.41730132170343126,29.55766829005244,70.44233170994755,0.6172839506172839,64.0,13.0,LBP + SVM,fixed synthetic grid point,descriptive only
lbp,brightness_mild,brightness,mild,0.75,1,N/A,0.5612983267824824,,0.5432064408254885,,0.5802469135802469,,0.6472057272722146,0.5432064408254885,-0.031103019927200437,94.74967096210148,5.250329037898527,0.12962962962962962,8.0,3.0,LBP + SVM,fixed synthetic grid point,descriptive only
lbp,brightness_moderate,brightness,moderate,0.5,1,N/A,0.44433765759710764,,0.4377001305572734,,0.5308641975308642,,0.6227348371813927,0.4377001305572734,-0.14806368911257517,75.00618627304767,24.99381372695233,0.3271604938271605,25.0,12.0,LBP + SVM,fixed synthetic grid point,descriptive only
lbp,brightness_severe,brightness,severe,0.25,1,N/A,0.26204716336295286,,0.28754323278132804,,0.4012345679012346,,0.45486453201970445,0.28754323278132804,-0.33035418334672995,44.23473457959135,55.76526542040865,0.5123456790123457,44.0,10.0,LBP + SVM,fixed synthetic grid point,descriptive only
lbp,jpeg_mild,jpeg,mild,75,1,N/A,0.5122829443323156,,0.47943379371950795,,0.5370370370370371,,0.6353244556369556,0.47943379371950795,-0.08011840237736723,86.47565492172477,13.524345078275235,0.24074074074074073,18.0,6.0,LBP + SVM,fixed synthetic grid point,descriptive only
lbp,jpeg_moderate,jpeg,moderate,50,1,N/A,0.38464767938351846,,0.3883449002496622,,0.4691358024691358,,0.5166305916305917,0.3883449002496622,-0.20775366732616435,64.93025066872816,35.06974933127184,0.3950617283950617,35.0,12.0,LBP + SVM,fixed synthetic grid point,descriptive only
lbp,jpeg_severe,jpeg,severe,25,1,N/A,0.21838624338624343,,0.2693362193362194,,0.3888888888888889,,0.22151147626499737,0.2693362193362194,-0.37401510332343935,36.864575781133,63.135424218867,0.5061728395061729,48.0,12.0,LBP + SVM,fixed synthetic grid point,descriptive only
resnet18,clean,clean,clean,original_phase3_png,3,sample (ddof=1),0.8953144214810704,0.014117652330935615,0.9024760072379121,0.01747160939387869,0.8888888888888888,0.021383343303319504,0.894746734188861,0.9024760072379121,0.0,100.0,0.0,0.0,0.0,0.0,ResNet-18,fixed synthetic grid point,descriptive only
resnet18,gaussian_blur_mild,gaussian_blur,mild,0.75,3,sample (ddof=1),0.8910840544411789,0.02069348652867759,0.8971117066355162,0.012051708076474614,0.8868312757201645,0.01284979012016131,0.8926132660144135,0.8971117066355162,-0.004230367039891436,99.55739773293506,0.44260226706494726,0.04938271604938271,3.6666666666666665,3.3333333333333335,ResNet-18,fixed synthetic grid point,descriptive only
resnet18,gaussian_blur_moderate,gaussian_blur,moderate,1.5,3,sample (ddof=1),0.8220245679047246,0.018043618647158827,0.8189048458889728,0.009361130792794676,0.8209876543209877,0.012345679012345678,0.8578703612247005,0.8189048458889728,-0.07328985357634576,91.85004530976714,8.149954690232867,0.15020576131687244,17.0,6.0,ResNet-18,fixed synthetic grid point,descriptive only
resnet18,gaussian_blur_severe,gaussian_blur,severe,3.0,3,sample (ddof=1),0.633787728991378,0.032867828989711585,0.6301579666659033,0.015801482083666055,0.6769547325102879,0.030449894211828695,0.7938524525802987,0.6301579666659033,-0.26152669248969235,70.83347409312107,29.16652590687893,0.33127572016460904,42.333333333333336,8.0,ResNet-18,fixed synthetic grid point,descriptive only
resnet18,resolution_mild,resolution,mild,168,3,sample (ddof=1),0.8765565016970891,0.021513311646187205,0.8745153729280714,0.01500824696012165,0.8765432098765432,0.01851851851851849,0.8879968532975467,0.8745153729280714,-0.018757919783981336,97.94079207256432,2.0592079274356876,0.06584362139917695,6.0,4.0,ResNet-18,fixed synthetic grid point,descriptive only
resnet18,resolution_moderate,resolution,moderate,112,3,sample (ddof=1),0.8536107358743834,0.0278082293061349,0.8525115096543668,0.02063632032429889,0.8477366255144032,0.024947233853872722,0.8760986196793845,0.8525115096543668,-0.04170368560668699,95.3884383831188,4.611561616881196,0.11316872427983538,12.0,5.333333333333333,ResNet-18,fixed synthetic grid point,descriptive only
