split,class_id,class_name,box_count
train,0,craze,123
train,1,corrosion,126
train,2,surface_injure,185
train,3,thunderstrike,42
train,4,crack,93
train,5,hide_craze,188
validation,0,craze,19
validation,1,corrosion,22
validation,2,surface_injure,46
validation,3,thunderstrike,9
validation,4,crack,24
validation,5,hide_craze,26
test,0,craze,27
test,1,corrosion,30
test,2,surface_injure,33
test,3,thunderstrike,9
test,4,crack,14
test,5,hide_craze,49
all,0,craze,169
all,1,corrosion,178
all,2,surface_injure,264
all,3,thunderstrike,60
all,4,crack,131
all,5,hide_craze,263
