source_image_id,filename,split,width,height,sha256,pixel_sha256,annotation_source,number_of_boxes,number_of_classes
0,0.jpg,validation,1024,1024,362547ff383c509ca25a782c5a168fe6153eb3642980ff1e7b6eec2ab022105b,c6c564351a05cdf55c05af19534b9ab226767353114575317a18c0fb657cb9d8,primary,1,1
1,1.jpg,train,1024,1024,9caf2d6b0ee4b215fc1e614916d8e89738621b52c6b23b15682b4cf2736b9b87,fb13fd870c46d921ece6735ed9af94754f8e429ec6289e57c21801d9ebda579b,primary,1,1
2,2.jpg,train,1024,1024,f26299242481246c605cb64d6fe573fb94c32932de4927c750d491f04caf767f,704bab395199a916ac38f0cead0ffcf5802dcc95b0c864aba07fdf62ffaa255a,primary,1,1
3,3.jpg,validation,1024,1024,77f92d5aa52ecd64e00c308d321552bf6ed600d9c74187f7498e63b460a6c86c,3d0b8a40127277c506471645a166ba7b5d0c234eefce7eacb4e19039533db31c,primary,1,1
4,4.jpg,train,1024,1024,09de11f671f5cadf81721e2368400356968df5100a90962893f7acd3b6eccb93,8b865f26ffc458faae112cd0a0c748a3a57462018e5dbab097dfbe6c0b6c063f,primary,1,1
5,5.jpg,train,1024,1024,6f728a07947e0e63d088229918d9029db9bbc0959f0d927983b3436b16d3565a,51e6f89199ae25a7deb4c5468a68ef0fc0b4c73cc2c31f064cb9408efde02379,primary,3,1
6,6.jpg,train,1024,1024,fcc96028ed4dbaa2f02935c0eebc6f914582ceefc2e6b46e7b8f31c4914be51b,94ebb78f4a4d5aaa0de2c64b0fb729db2cabbd5e3756d5ae3af1a2e587738ff0,primary,1,1
7,7.jpg,validation,1024,1024,a6f31a5b9c830a697fb2d2a60fed63c698d23d386a7d7fa765fc1dc91d3c02d2,b49d89c19fe278a4ca549236bcef5d099da6b350ef6947bd601b6986cb9a7e14,primary,1,1
8,8.jpg,train,1024,1024,6287575d33c0af33cf6bc4d9cae2634543ba7c866419943fb3383899c104a20a,ee1b9d2397ebefb78b4d9c755678ff01afaf8636b6b2f08a206ff1b35443840b,primary,1,1
9,9.jpg,train,1024,1024,0dfb269a508c3696d7eba9fbc960d355bf376d67300752870b99f93745f0ff1e,7ba42387ea9a99ffd5590a92122bfd325d78ec0a5ff754448e91445128fba49d,primary,1,1
10,10.jpg,train,1024,1024,91c8443f67d652e341707508f75ca6a91a7555a7428646e1ee3480892cf326e7,46eac51f49707742b8c7fcfd9288ce48e812dcaac41eacf970dbf4ecac2158bf,primary,2,2
11,11.jpg,validation,1024,1024,a6eeaecbb5ec2600788b2e4fbef9a5b056e15f67f128fef4f7f10501559e26c7,0c37aeedfd797809618b39b9ea9019dce17097ee96522505508449c1d44400a0,primary,1,1
12,12.jpg,train,1024,1024,807b2ed999e9ddecd066d28b26426dba716556fd94fd64bc3fc7d208b55e9fc9,73da3eb5de5433ba1ed2e3b1b103e1d6e6e6f0bdf9936326e813db94f9125c47,primary,1,1
13,13.jpg,test,1024,1024,358329e3df591068ae6a387fa71adeb896afe3bebee86fac645857aedc048cc3,92e1d615c4fd13b4208fcb8cf7f51405868af3d1f38e1a354b0ce5c45988bedf,primary,2,1
14,14.jpg,train,1024,1024,2b0e626ca952b0cc524057f50dba8818d052782ea4ec862e1556d6aef1e03586,419ffa80e7caed629c01b1676b309c1f7a3d070d4104eb2be7f831f599b171e4,primary,2,2
15,15.jpg,train,1024,1024,082cface59da24cd88b0045a38343b8c5d04245cb9ca5412521edd36fc62b858,8912ad02e921f01eb999af4f72fc19323da962a67df96ed959585d362bba075a,primary,1,1
16,16.jpg,train,1024,1024,ce0672e3d2f3db47b1bd8ce200cebb92fae13b8038d02b3905c4f8fd8b50fcf2,fde7408e520019ed84e3485deacdac56b00d7deb2fa9bd8ddfc009fee305b088,primary,1,1
17,17.jpg,train,1024,1024,b2fa427df6a79f2843894e5394eb5d965f2b3b79a04a950389ac0a9111fc4516,c16e7ec39e4a63aa0c4eba5bf42d46d20d0c7114e4fe194bde6b22829b8d5fef,primary,1,1
18,18.jpg,train,1024,1024,f48241f15506c239c9d590a2cef8a5c04ed1a4574e2eabb384e47c9c3c86ed65,dafe4fadb204fd8a09ee7aa442263ae40f5f3b10971b2ac786aae7f578b88cd2,primary,1,1
19,19.jpg,validation,1024,1024,20f73bda4c65c841583ceb0fe84fb7da635363157780d831d77f043981b053f4,8b5f03d18bd4896b3ffcf82484b391c1ec06d987f315c61b3c25515bf95601ce,primary,2,1
20,20.jpg,train,1024,1024,07cbc349d4b7eb5fdedfa8e56b5ba7e0da385757c48cfe0e8d67c4337e58ce16,3ca61750e07bcedc0261a42134e537fb91805aa3e6c3a70bea6c00be8212a373,primary,1,1
21,21.jpg,validation,1024,1024,0b3bec5329f4ed16238826c386461beb3b01b2974068a17d41a49426b91c45ad,26f0d2543afb5c2b664d6f1915b11c3639aa1ad7c46614ee086171ca7d2799ca,primary,1,1
22,22.jpg,train,1024,1024,29107b9d185279fdf216c5fe3ae01d20252fc4d6898037b02ebc86ecf571fb83,8f61d0a867f4ae14e5cd13dfba3fec57e268ff5e8bdaa963374cd8ea86601bd1,primary,1,1
23,23.jpg,train,1024,1024,a9e5548d3d6b0210fc1abe88cb6233a0f474d6160f029c3533340f269cc104fb,ec6b92a16ef9d4f9c34621b7c3a8ba350ec63aebaf6081f1965140d8e7a08f74,primary,1,1
24,24.jpg,train,1024,1024,33accffbeb08d3b4b3ab64357715e1d86b7342f3bed200405dbf787313ed460a,ece10836528ecc54a0b03a484244df7f5706721e98028c372e38fe1060898f01,primary,1,1
25,25.jpg,train,1024,1024,e311e45fe9e5fe531f942b8cb338222a88a69266a9c284c8024bf26a41480d51,5060750115a3817dce827c831d2e487ba11cba3c867d8c6695b9188cc757b356,primary,1,1
26,26.jpg,train,1024,1024,091d06e7a0c9a4a3e2b9d8cdd84fe1043404c1462e1f30d3add5102d860148af,bd09d158f1be6ac2d4bdb4921886b2af416fa3e8f773b8f4ea436db58f9ee1f5,primary,1,1
27,27.jpg,train,1024,1024,b4d95721b46f1071080136bdcc0af991d0ed084d54c35ff4f3c24e503643c169,0e11aee014c1105d8dccb2d49300fd35cd8667129832da56b6025affac05a37b,primary,3,1
28,28.jpg,train,1024,1024,6b906dcf479a3acdecef686198086648d7b95dabb780eeeb1c543e72bc33fcb2,2020ca844043a54c392a8abf52b5001ea205d37b8c124da1d0321382131f99fb,primary,1,1
29,29.jpg,train,1024,1024,96dddb2d514547799dd9fc2bb1e44282dcf8574ca774c95c3c368b8b06ce6838,d8d8f1480689ec05066bf1385b19f81351ec93f152299cb8cb49847d663383cc,primary,1,1
30,30.jpg,train,1024,1024,8a2681e935865f27d568aefee2bb4424a1880a83637d15c638d88d02acb7a731,59161b207b469aead84b0cf622dffae8a2c0e2ab7e3970b107ff9ef22dc37dec,primary,2,1
31,31.jpg,train,1024,1024,9f5b2c8c8f7ce6a7d68f1a4b1782c80b3010c5a1416be6aaa0746e8891dac935,5867844659026e604a0fcc04e860dfe3fc538788b23eb94e2c1a4f446ac324f3,primary,2,1
32,32.jpg,test,1024,1024,77abf41eafe2a8e6759d50a55d6ce206e7bc1d4583d2aea1735f49c0f0fc6a10,84f9d76f14a97946644292106cae7bbf89bea2c2d14cbee6b714484b7a2c09d6,primary,2,1
33,33.jpg,train,1024,1024,d570bc62c3682ba82e5cf7177383b38f1bb82cee16fd44ea5c625eed22002aa3,8cc4d7c117dc2747d3cea03008f53e8d3014b70aef3a48f013f472a7058c1eac,primary,2,1
34,34.jpg,train,1024,1024,7a52f0b680b59bf9d0f968088d5df7a12308b95430eb708e2748bb8eb50e8d30,89281ed652cedb833915209b0f33aee7bfd560f095bd00037cf4eded5f071e74,primary,2,2
35,35.jpg,train,1024,1024,67d0169a1654a8ad9c7ee8d12788f01e0b84f70ee9ff60bed8fbe61d8385499f,87f0f05176825f13ddc3d0686317f3402f112e1defe7fc5eb0a67cf299bf20a5,primary,2,1
36,36.jpg,train,1024,1024,0214247382840dedea5009e041468fd13faba1102cc0495d9a5823d7367f9896,d5bf165f48472cbc1f1196045df80fae327bc1daaba2e762d25fd0f70867ad44,primary,2,1
37,37.jpg,train,1024,1024,60990b80560fc21f045f41403b928c81bc88468aec6e1e3024c1539bd44ca0c8,348eb1af125f7ea2a9ec1610381fe5fb8f41ea0272afc6672c05dbbee80ec1a2,primary,2,2
38,38.jpg,train,1024,1024,11f9553a678091f719e96cb57f5dca2d5681be23fbd539cec8c5dbf2731add3e,dbcc7f0ea1225c8fd9bf06f12df355420813282ecc5c9d784ecdeaf9d2084d0f,primary,1,1
39,39.jpg,train,1024,1024,a6d8b79c2f81c45f6364dc660e79d07f09dff6c7ab2be42986900c9c6b2bf87f,ba4c3145613e4062957a671618e2c6d6b1f065615398185b7edec793d5d0479a,primary,1,1
40,40.jpg,train,1024,1024,191fc8b7f81a1517a9e28e0e3ef9f25e436d5074bfa3e007828703627fbd826f,02700c66779a5b99a4b6a1ff7179453c3f31e8eb66fd6368871bcd6fa9be53d1,primary,1,1
41,41.jpg,train,1024,1024,680221bfdd02ec8208d76e0f5bd7d6253cadc611ea11e228449075a0215f82ad,c018df4d7aef2d4bdf60cfcdd05ceab79d8ff52dc93902549bd9eb727b33edbc,primary,1,1
42,42.jpg,train,1024,1024,33ead05e0aa5c7b258ae8ed0c1d8ea234dc2ee14de452da2698d06c5a3739001,0f8dc3d5d8e85a9fe7e01acf9eca084b1432f76cf5291b25c32f5cbd46858f2c,primary,3,1
43,43.jpg,train,1024,1024,4b175d68fb1ebe6ab81e76220e4f2b9d059911154c795b0fc7f4047287ce99f8,dd9ffab6fddeb5f163921f06616b12445c3b94075fa6e91d09c10e9f5109aaaf,primary,2,1
44,44.jpg,train,1024,1024,04dece1cda54af3b9873a788cb1c2d9dc41b95a71f2047b29cca5c9a68cc5755,1707a022794e3426dd0e25424db92ff2d8ed124f51d6bf510052768c6c4f08d1,primary,1,1
45,45.jpg,train,1024,1024,8206223b5b212be6bd3b380c31aadea9d64fdb60d0a1e024c95c42ec1d668503,163d12d057c9806324d3893facd508064ea2338e39351ead4201ec7bcd55f1cf,primary,2,1
46,46.jpg,test,1024,1024,d543951cbf574ec2ee58facd129d6c1f27b874f7810a9b2a2e4d1603541646f4,4a28c076ed49a1168a86edb0894e06abd49c08c9a464913bf2ab92412ffc6e68,primary,2,1
47,47.jpg,train,1024,1024,06910a6c6ed2e47d26d9190f02d22b7038140b91edee6017e78b95570e061c4a,d7178a7363ed0a7c4e62e5bdf7ac3700d4d1990d54207a5c14c3010d5a6eb403,primary,3,1
48,48.jpg,test,1024,1024,f97a28e29b915b4e6c2ab8888d4e4e740c7c2f64ebcf9fe703ad3deae44f79a7,b14188ac5292ef764d8b191870267232c2c98d946a8401f32e4771610f7795dd,primary,1,1
49,49.jpg,train,1024,1024,a4e898bb773b14ece1e4db2b2f67328f4cfd033ba8450d4833d4d601e8cb91b9,142c6aba97b036f1982d1c4d526ce59cffd061516562975ac13c790effe694e1,primary,1,1
50,50.jpg,train,1024,1024,60717bb7b5b1d5d336b0d5f188e783e2ad887f488250b416d7c11be9b2b971b2,99edffd0ef51081bbe52aff392642945c55d9e90a93b90718e6cd12a3587b40f,primary,3,1
51,51.jpg,test,1024,1024,93e90d2521db86ae1781cdcde46071c573d31ba3e6dce7a481e44b1cdab20f75,355eca97e0e23f6f0424d3890c3f15efd843ad94e4f1387a3278d7a24358ebd2,primary,2,1
