source_image_id,split,group_unit
0,validation,source_image_after_curated_duplicate_group_exclusion
1,train,source_image_after_curated_duplicate_group_exclusion
2,train,source_image_after_curated_duplicate_group_exclusion
3,validation,source_image_after_curated_duplicate_group_exclusion
4,train,source_image_after_curated_duplicate_group_exclusion
5,train,source_image_after_curated_duplicate_group_exclusion
6,train,source_image_after_curated_duplicate_group_exclusion
7,validation,source_image_after_curated_duplicate_group_exclusion
8,train,source_image_after_curated_duplicate_group_exclusion
9,train,source_image_after_curated_duplicate_group_exclusion
10,train,source_image_after_curated_duplicate_group_exclusion
11,validation,source_image_after_curated_duplicate_group_exclusion
12,train,source_image_after_curated_duplicate_group_exclusion
13,test,source_image_after_curated_duplicate_group_exclusion
14,train,source_image_after_curated_duplicate_group_exclusion
15,train,source_image_after_curated_duplicate_group_exclusion
16,train,source_image_after_curated_duplicate_group_exclusion
17,train,source_image_after_curated_duplicate_group_exclusion
18,train,source_image_after_curated_duplicate_group_exclusion
19,validation,source_image_after_curated_duplicate_group_exclusion
20,train,source_image_after_curated_duplicate_group_exclusion
21,validation,source_image_after_curated_duplicate_group_exclusion
22,train,source_image_after_curated_duplicate_group_exclusion
23,train,source_image_after_curated_duplicate_group_exclusion
24,train,source_image_after_curated_duplicate_group_exclusion
25,train,source_image_after_curated_duplicate_group_exclusion
26,train,source_image_after_curated_duplicate_group_exclusion
27,train,source_image_after_curated_duplicate_group_exclusion
28,train,source_image_after_curated_duplicate_group_exclusion
29,train,source_image_after_curated_duplicate_group_exclusion
30,train,source_image_after_curated_duplicate_group_exclusion
31,train,source_image_after_curated_duplicate_group_exclusion
32,test,source_image_after_curated_duplicate_group_exclusion
33,train,source_image_after_curated_duplicate_group_exclusion
34,train,source_image_after_curated_duplicate_group_exclusion
35,train,source_image_after_curated_duplicate_group_exclusion
36,train,source_image_after_curated_duplicate_group_exclusion
37,train,source_image_after_curated_duplicate_group_exclusion
38,train,source_image_after_curated_duplicate_group_exclusion
39,train,source_image_after_curated_duplicate_group_exclusion
40,train,source_image_after_curated_duplicate_group_exclusion
41,train,source_image_after_curated_duplicate_group_exclusion
42,train,source_image_after_curated_duplicate_group_exclusion
43,train,source_image_after_curated_duplicate_group_exclusion
44,train,source_image_after_curated_duplicate_group_exclusion
