qc_index,source_image_id,filename,split,box_count,selection_reasons,qc_asset,sha256
1,31,31.jpg,train,2,overlapping_boxes:iou_gt_0,qc_packet/images/qc_01_source_31.jpg,1f910d72c497c9f22e51ace7722a0c99fe7861df6e563789b3a5249fe3dfabbf
2,37,37.jpg,train,2,overlapping_boxes:iou_gt_0,qc_packet/images/qc_02_source_37.jpg,f93551e02a0ac2f7ceea0140646e513da05747c6e570efd781090c9eba33f0c1
3,41,41.jpg,train,1,unusual_aspect_ratio:41_0,qc_packet/images/qc_03_source_41.jpg,ade39ce30adc7f1b7a37a282b354704aee6b774075ef02d5a85c940c6bae2ddf
4,46,46.jpg,test,2,phase9_crop_or_background_concern:single_reviewer_yes_or_uncertain,qc_packet/images/qc_04_source_46.jpg,3ed7034dd725a84a029090286ac18d8e276eaabe37096273b2f215d41682bb0d
5,51,51.jpg,test,2,phase9_crop_or_background_concern:single_reviewer_yes_or_uncertain,qc_packet/images/qc_05_source_51.jpg,6f70e25fa0752f784c2233c2b4f5de2b8599f79b50d423857113d228ee037314
6,71,71.jpg,test,1,phase9_crop_or_background_concern:single_reviewer_yes_or_uncertain,qc_packet/images/qc_06_source_71.jpg,30470d116411e9407c0e74aba518f521a9b2d574770a435391a35ff4b82749b2
7,85,85.jpg,train,1,class_representative:crack,qc_packet/images/qc_07_source_85.jpg,da2a42d4fbd584b0e105121f4ebca51877998ab1b366193c41bc01fa181eb4d6
8,103,103.jpg,test,1,phase9_crop_or_background_concern:single_reviewer_yes_or_uncertain,qc_packet/images/qc_08_source_103.jpg,14b7d67de107ff358cef54bac1c26f5aef22dbd4031e51590a010257c49337f9
9,106,106.jpg,train,7,multiple_box_image:7,qc_packet/images/qc_09_source_106.jpg,2b64c31ebde4004f82ecf780cb8655a7383bd635032c4cf2994e0290da17844e
10,126,126.jpg,train,4,overlapping_boxes:iou_gt_0,qc_packet/images/qc_10_source_126.jpg,837bd26356f0d5db6fcc1a1c9b464229d5a16ed46b3c87a4437725f0c425d188
11,144,144.jpg,train,4,overlapping_boxes:iou_gt_0,qc_packet/images/qc_11_source_144.jpg,973e08aa7853d5d0061afea5f07d6e233eb5e0ac7241df3b027ff91b95da7ba3
12,155,155.jpg,train,5,multiple_box_image:5,qc_packet/images/qc_12_source_155.jpg,d1f884920615370952e5061f4b2710a311b35208926ca9723960e270999d6577
13,192,192.jpg,train,3,class_representative:hide_craze,qc_packet/images/qc_13_source_192.jpg,b6519a6bfbcb032fc7cdceefa0ef6af1da2c40fa94172b23d4bd2b67ad631166
14,194,194.jpg,validation,2,class_representative:thunderstrike,qc_packet/images/qc_14_source_194.jpg,ce3a7cbfaf29cd8789530f7686d67046d45e06353efd755b63c251f0ed2100fc
15,234,234.jpg,test,5,multiple_box_image:5,qc_packet/images/qc_15_source_234.jpg,afda00d31e4a488c61b8903a062ff1b0ac2e78ecf27390645b685045b1a26178
16,262,262.jpg,train,1,unusual_aspect_ratio:262_0,qc_packet/images/qc_16_source_262.jpg,1ee8a6446fa232c09e5fd898744cec36af6e142b416b68124278886888ce3f4c
17,311,311.jpg,train,6,smallest_box:311_2|smallest_box:311_3|multiple_box_image:6,qc_packet/images/qc_17_source_311.jpg,f867c2a51894cf756fcac41babe629d06e27d5867e14b8ba495927cb346a4f61
18,434,434.jpg,train,2,class_representative:surface_injure|smallest_box:434_0|smallest_box:434_1,qc_packet/images/qc_18_source_434.jpg,3e19b81a2362fbf83f0568f328f03b72847370622672ff533d3e0b846424ecd1
19,468,468.jpg,train,2,unusual_aspect_ratio:468_0,qc_packet/images/qc_19_source_468.jpg,591b2d98b711995328fa2c1aee164e91b547c9f8eeb8f6315301fddcf8755e7d
20,491,491.jpg,train,1,largest_box:491_0,qc_packet/images/qc_20_source_491.jpg,2d581e93080d3418a01f3ba033b7f4efc83a7f8ecd80deef6cdb7a50cc85b4d2
21,501,501.jpg,test,1,largest_box:501_0,qc_packet/images/qc_21_source_501.jpg,c06c89535cbca320527bad0a6e825ed93ebe34ee53028a492c5ef1b755d35dd3
22,530,530.jpg,train,1,largest_box:530_0,qc_packet/images/qc_22_source_530.jpg,67b32ca90cca1fbb8bfff79dbe0f06facbcd4ac930e9b0405353dc89179d5cdf
23,546,546.jpg,test,3,class_representative:corrosion,qc_packet/images/qc_23_source_546.jpg,655412a57c2f5f01513d2be0d888c5ee197b8c7b1bd39471777da28171674dc1
24,613,613.jpg,validation,1,largest_box:613_0,qc_packet/images/qc_24_source_613.jpg,735e3a817939c74ecab807ab653d2fee83eac54291aaf4102b0613ffa3993e4b
25,660,660.jpg,train,2,class_representative:craze,qc_packet/images/qc_25_source_660.jpg,b6db0c3cebbe7993cf2ec1138679a1706ababa888e1f51327182c3b42b9dda0d
26,721,721.jpg,test,1,unusual_aspect_ratio:721_0,qc_packet/images/qc_26_source_721.jpg,e5efae649e71bbfc4303cb9942ff55f697435e4dc21898f33b79f74fff560d90
