epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,learning_rate,elapsed_seconds,is_best_epoch
1,1.0526836797732815,0.5997357992073976,0.5837590684478798,0.669890919776812,0.7876712328767124,0.7797953646065775,0.8199561403508772,0.7797953646065775,0.7842868756074736,0.0001,152.56021410005633,False
2,0.2333978377134986,0.9313077939233818,0.9306741796719971,0.501523206087008,0.8356164383561644,0.7968737868623452,0.8332914362326126,0.7968737868623452,0.8066526870874696,0.0001,152.4454293999588,False
3,0.08500386703675773,0.988110964332893,0.988207454350778,0.40587270953883864,0.8767123287671232,0.840247884584269,0.8643596017835368,0.840247884584269,0.846990617131282,0.0001,147.94724689994473,False
4,0.03196680355113359,0.9986789960369881,0.9988895672882947,0.41579326823966145,0.8972602739726028,0.8446921171463506,0.884704415954416,0.8446921171463506,0.8574325201984777,0.0001,146.78368160000537,True
5,0.016808678398506725,1.0,1.0,0.44754592523182907,0.8835616438356164,0.8283444297460315,0.8986704653371321,0.8283444297460315,0.8493594860202673,0.0001,148.4834348000586,False
6,0.01292089367952183,1.0,1.0,0.4392113011993774,0.8767123287671232,0.8183763276726662,0.8924845269672858,0.8183763276726662,0.8376923191535207,0.0001,140.44000980001874,False
7,0.009391526739596532,1.0,1.0,0.4295260473473431,0.863013698630137,0.8071773816911118,0.854456856015917,0.8071773816911118,0.8192153679006364,0.0001,140.85121720004827,False
8,0.00844527042964215,1.0,1.0,0.44831176204224155,0.8835616438356164,0.8322969989159921,0.8986811081638667,0.8322969989159921,0.8503383350066706,0.0001,140.7424584000837,False
9,0.0065622284579062475,1.0,1.0,0.45590430334822774,0.8835616438356164,0.8322969989159921,0.8986811081638667,0.8322969989159921,0.8503383350066706,0.0001,144.23585370008368,False
10,0.006388725736270729,1.0,1.0,0.4236105333452355,0.8904109589041096,0.8371163595705928,0.9024083280035661,0.8371163595705928,0.8569392335381476,0.0001,302.5164256999269,False
