method,training_fraction,macro_f1_mean,full_data_macro_f1,delta_to_full
hog,0.25,0.3349612244870484,0.47798778741419395,-0.14302656292714555
hog,0.5,0.41071160105390714,0.47798778741419395,-0.06727618636028682
hog,0.75,0.45052308235691685,0.47798778741419395,-0.027464705057277106
hog,1.0,0.47798778741419395,0.47798778741419395,0.0
lbp,0.25,0.39624797473754864,0.5924013467096828,-0.19615337197213417
lbp,0.5,0.5225888089236682,0.5924013467096828,-0.0698125377860146
lbp,0.75,0.5484154869070726,0.5924013467096828,-0.04398585980261016
lbp,1.0,0.5924013467096828,0.5924013467096828,0.0
resnet18,0.25,0.741755937282682,0.8953144214810704,-0.15355848419838847
resnet18,0.5,0.8551513805651078,0.8953144214810704,-0.04016304091596268
resnet18,0.75,0.8904701925916396,0.8953144214810704,-0.004844228889430813
resnet18,1.0,0.8953144214810704,0.8953144214810704,0.0
mobilenet_v3_small,0.25,0.7233339888763531,0.8953207222549548,-0.1719867333786017
mobilenet_v3_small,0.5,0.8132937707790067,0.8953207222549548,-0.08202695147594818
mobilenet_v3_small,0.75,0.8542721007976725,0.8953207222549548,-0.041048621457282386
mobilenet_v3_small,1.0,0.8953207222549548,0.8953207222549548,0.0
