method,training_fraction,seed,source_images,training_instances,epochs_executed,best_epoch,best_validation_macro_f1,total_training_seconds,checkpoint_fingerprint,checkpoint_bytes
resnet18,0.25,17,128,252,11,5,0.7141827697262481,665.5933125000447,a2a62e33eb0b0ae330e563868a27177d70140d09976834580a0d1356801ce446,44794379
resnet18,0.25,29,128,252,10,4,0.7248482008233782,715.5947828999488,7d81a793a6844f137e9ef66215d47934a2c5c4939658774c893c6a221badd0d2,44794379
resnet18,0.25,43,128,252,18,12,0.7394751222956928,1218.0718766000355,deac2c7c2c1db64c1f3807910627337e969de9c0d2f6ef16322866f734de47f9,44794379
resnet18,0.5,17,255,440,15,9,0.8071424117011684,1489.9342491000425,1a8e91a291889267e9f78dcf3effcc94415de3ce3bbbff82163ad70bf68190cf,44794379
resnet18,0.5,29,255,440,17,11,0.7949351783724241,1857.2077543999767,d171b9b959d5cb884f5908808ea78704db462521db4d007e67a37d9e7aea10ae,44794379
resnet18,0.5,43,255,440,15,9,0.8338953611747729,1655.4218265999807,74a612b6899bbcc2254eae9797e0f5581b1af6f90c2da14a4bb315a847c87327,44794379
resnet18,0.75,17,383,608,13,7,0.8172595110463273,2022.8695104999933,ad614b13e1ada5766178fd40db8bceea1084ef13042edb48202ef7fe84814e21,44794379
resnet18,0.75,29,383,608,13,7,0.8581590228318451,1912.271491099964,94daa0b31ac5719a258fef9a5535703384ee32f39bde69e7c45b7636c7e0303e,44794379
resnet18,0.75,43,383,608,18,12,0.872101443244555,2359.546223900048,8ff0fbb8d4da49880528906fd13e3c0ff5204915098203969218d0eaf555edad,44794379
mobilenet_v3_small,0.25,17,128,252,26,20,0.7378957086274159,345.7604563999921,e51773897ecc5a92d0df18d930813b561dc0b3f57f3d9a439a06c7502c8c9de3,6219239
mobilenet_v3_small,0.25,29,128,252,26,20,0.7067142010390154,329.23643669998273,8c498e7d0d32fb2f84131c901ac4c1cc965b6213b05409b4bc7669b7b93687dc,6219239
mobilenet_v3_small,0.25,43,128,252,25,19,0.6777392834920488,318.9868806001032,73c8853dac190d09662ca21409d4890a7d10f035c2e425979dc2593894e80de1,6219239
mobilenet_v3_small,0.5,17,255,440,23,17,0.7657996027078465,478.6205501999939,d4401eec1076b22bff4149c9a0d094257fc9ac63716e033cf204289434adf047,6219239
mobilenet_v3_small,0.5,29,255,440,23,17,0.8264279406116276,473.41182829998434,6429f69c6d891036d80f21fe8cee0c119acfd95681202f31f57e2baacd483aed,6219239
mobilenet_v3_small,0.5,43,255,440,17,11,0.8231815104363598,352.655509000062,bb0a2def4a3e79395fbc3a38713a6540f45ed7ff8f40607ea2595cb7a1384f7c,6219239
mobilenet_v3_small,0.75,17,383,608,30,30,0.8726821078461048,829.8724138999823,6f1e69b795f0deac75cc6edaa2edeaa15d9501cac9c9deab1f88fee8dd839521,6219239
mobilenet_v3_small,0.75,29,383,608,21,15,0.8549753873604161,577.9746924000792,d2744f233c48485ea10299290f6c6071d249dc30c9bf53eb216edfe23f435b20,6219239
mobilenet_v3_small,0.75,43,383,608,17,11,0.8591328485417155,474.54203119990416,56c083214cccc4eeec52c4f7b3815ad72d19a270d6dfd7ad0601ee4463f0d47f,6219239
