method,training_fraction,source_images,training_instances,macro_f1_mean,macro_f1_sample_sd,balanced_accuracy_mean,balanced_accuracy_sample_sd,accuracy_mean,accuracy_sample_sd,replicate_count,standard_deviation
hog,0.25,128,252,0.3349612244870484,0.004790968604257943,0.3370958259847148,0.010913998092201753,0.41358024691358025,0.018518518518518517,3,sample (ddof=1)
hog,0.5,255,440,0.41071160105390714,0.02128756038702036,0.3934393061377188,0.015481745293609099,0.47119341563786005,0.009429168096616942,3,sample (ddof=1)
hog,0.75,383,608,0.45052308235691685,0.011041187205653771,0.44152026691709234,0.01016406828526684,0.5411522633744856,0.007127781101106459,3,sample (ddof=1)
hog,1.0,510,757,0.47798778741419395,,0.4577658672896768,,0.5308641975308642,,1,N/A (single deterministic canonical result)
lbp,0.25,128,252,0.39624797473754864,0.014417407969804313,0.3823079624666926,0.014790480820729921,0.46090534979423864,0.018858336193233908,3,sample (ddof=1)
lbp,0.5,255,440,0.5225888089236682,0.012073040593988879,0.501939653526955,0.008477136696379867,0.565843621399177,0.01553463875570114,3,sample (ddof=1)
lbp,0.75,383,608,0.5484154869070726,0.013632502409385216,0.5327813280194232,0.006602595342098632,0.565843621399177,0.012849790120161308,3,sample (ddof=1)
lbp,1.0,510,757,0.5924013467096828,,0.5727455965551204,,0.6111111111111112,,1,N/A (single deterministic canonical result)
resnet18,0.25,128,252,0.741755937282682,0.021155529998589842,0.7411385205036,0.021850873904839644,0.7551440329218106,0.019842902800397053,3,sample (ddof=1)
resnet18,0.5,255,440,0.8551513805651078,0.030379561587083184,0.8499507547126596,0.044085084188767984,0.8436213991769547,0.02167829990298916,3,sample (ddof=1)
resnet18,0.75,383,608,0.8904701925916396,0.006729133214943188,0.897391526756606,0.007886119183944246,0.8786008230452675,0.0035638905505532615,3,sample (ddof=1)
resnet18,1.0,510,757,0.8953144214810704,0.014117652330935615,0.9024760072379121,0.01747160939387869,0.8888888888888888,0.021383343303319504,3,sample (ddof=1)
mobilenet_v3_small,0.25,128,252,0.7233339888763531,0.017073627136812593,0.7296506256823716,0.022758780582197324,0.7366255144032922,0.012849790120161308,3,sample (ddof=1)
mobilenet_v3_small,0.5,255,440,0.8132937707790067,0.017598429796412515,0.8236014720141703,0.025018278535229845,0.808641975308642,0.012345679012345678,3,sample (ddof=1)
mobilenet_v3_small,0.75,383,608,0.8542721007976725,0.004630005378135972,0.8625216641089657,0.006558889947995867,0.8456790123456791,0.006172839506172867,3,sample (ddof=1)
mobilenet_v3_small,1.0,510,757,0.8953207222549548,0.005977178505597876,0.9037647831298625,0.004202572440609018,0.882716049382716,0.006172839506172811,3,sample (ddof=1)
