method,from_fraction,to_fraction,macro_f1_gain
hog,0.25,0.5,0.07575037656685873
hog,0.5,0.75,0.03981148130300971
hog,0.75,1.0,0.027464705057277106
lbp,0.25,0.5,0.12634083418611958
lbp,0.5,0.75,0.025826677983404434
lbp,0.75,1.0,0.04398585980261016
resnet18,0.25,0.5,0.11339544328242579
resnet18,0.5,0.75,0.035318812026531865
resnet18,0.75,1.0,0.004844228889430813
mobilenet_v3_small,0.25,0.5,0.08995978190265352
mobilenet_v3_small,0.5,0.75,0.0409783300186658
mobilenet_v3_small,0.75,1.0,0.041048621457282386
