method,training_fraction,class,training_class_count,f1_mean,f1_sample_sd,precision_mean,precision_sample_sd,recall_mean,recall_sample_sd
hog,0.25,craze,39,0.5982426303854874,0.05571806833625991,0.6661647531212749,0.055452468088859286,0.5432098765432098,0.056575008579701734
hog,0.25,corrosion,40,0.25229648400380106,0.030111441871933025,0.43722943722943725,0.07298578051985873,0.17777777777777778,0.01924500897298754
hog,0.25,surface_injure,66,0.4192047084653669,0.03327184973368925,0.3058850177085907,0.025974862471718898,0.6666666666666666,0.05248638810814781
hog,0.25,thunderstrike,12,0.20000000000000004,3.3993498887762956e-17,1.0,0.0,0.1111111111111111,0.0
hog,0.25,crack,28,0.08366013071895424,0.07287508426021623,0.4444444444444444,0.5091750772173156,0.047619047619047616,0.041239304942116126
hog,0.25,hide_craze,67,0.45636339334868065,0.025505009831711483,0.4389566755083996,0.03584638323061916,0.4761904761904762,0.023565317109780635
hog,0.5,craze,70,0.6103569632981398,0.020085454354387296,0.6438888888888888,0.021103799903580623,0.5802469135802469,0.021383343303319438
hog,0.5,corrosion,72,0.35636327817178887,0.03939205471355887,0.49869281045751634,0.031392967211824385,0.27777777777777773,0.03849001794597504
hog,0.5,surface_injure,111,0.43368370182433247,0.02919120000153302,0.34097744360902255,0.022103856535472338,0.5959595959595959,0.04628864338339234
hog,0.5,thunderstrike,22,0.2545454545454546,0.09447549859466603,1.0,0.0,0.14814814814814814,0.06415002990995841
hog,0.5,crack,51,0.272875816993464,0.0528715349260243,0.8055555555555555,0.17347216662217774,0.16666666666666666,0.041239304942116126
hog,0.5,hide_craze,114,0.536444391490263,0.03628886523553487,0.49082747853239655,0.02334835105653812,0.5918367346938777,0.05399492471560389
hog,0.75,craze,98,0.658939014202172,0.0244307343701077,0.6406130268199233,0.035638363078110295,0.6790123456790123,0.021383343303319504
hog,0.75,corrosion,100,0.49748595090209996,0.04200773919569592,0.6929824561403509,0.09875728288769912,0.3888888888888889,0.019245008972987553
hog,0.75,surface_injure,151,0.4981067794007316,0.019587762527403258,0.42808519982433024,0.022986750172350596,0.595959595959596,0.017495462702715917
hog,0.75,thunderstrike,32,0.20000000000000004,3.3993498887762956e-17,1.0,0.0,0.1111111111111111,0.0
hog,0.75,crack,73,0.2312060344096957,0.026346581406422168,0.41111111111111115,0.08388704928078611,0.16666666666666666,0.041239304942116126
hog,0.75,hide_craze,154,0.6174007152268022,0.016440713994029042,0.5479186872629495,0.02287423545265748,0.7074829931972789,0.011782658554890335
hog,1.0,craze,123,0.5964912280701754,,0.5666666666666667,,0.6296296296296297,
hog,1.0,corrosion,126,0.4528301886792453,,0.5217391304347826,,0.4,
hog,1.0,surface_injure,185,0.5,,0.4857142857142857,,0.5151515151515151,
hog,1.0,thunderstrike,42,0.36363636363636365,,1.0,,0.2222222222222222,
hog,1.0,crack,93,0.34782608695652173,,0.4444444444444444,,0.2857142857142857,
hog,1.0,hide_craze,188,0.6071428571428571,,0.5396825396825397,,0.6938775510204082,
