method,training_fraction,seed,macro_f1,balanced_accuracy,accuracy,macro_precision,macro_recall
hog,0.25,17,0.3350138329978207,0.33624224100414574,0.41358024691358025,0.5315929976456292,0.33624224100414574
hog,0.25,29,0.3397256722003443,0.34841155317345796,0.43209876543209874,0.4957331940090561,0.34841155317345796
hog,0.25,43,0.33014416826298015,0.32663368377654095,0.3950617283950617,0.6190139723513882,0.32663368377654095
hog,0.5,17,0.41510233926560786,0.3974942165418356,0.4691358024691358,0.6267273576097105,0.3974942165418356
hog,0.5,29,0.3875710346298582,0.37633363109553586,0.46296296296296297,0.5995532547215031,0.37633363109553586
hog,0.5,43,0.4294614292662553,0.40649007077578503,0.48148148148148145,0.6636904761904762,0.40649007077578503
hog,0.75,17,0.4630927364691811,0.4531906365239699,0.5493827160493827,0.6208866195317643,0.4531906365239699
hog,0.75,29,0.446085052943685,0.43676217961932245,0.5370370370370371,0.6343915343915344,0.43676217961932245
hog,0.75,43,0.4423914576578845,0.4346079846079846,0.5370370370370371,0.605077086656034,0.4346079846079846
hog,1.0,canonical,0.47798778741419395,0.4577658672896768,0.5308641975308642,0.5930411778237864,0.4577658672896768
lbp,0.25,17,0.3973035764013207,0.38679768203577725,0.4567901234567901,0.5646271475790926,0.38679768203577725
lbp,0.25,29,0.3813317781850356,0.36579284912618243,0.4444444444444444,0.6282512626262626,0.36579284912618243
lbp,0.25,43,0.41010856962628967,0.39433335623811816,0.48148148148148145,0.614358684976437,0.39433335623811816
lbp,0.5,17,0.5238651522537882,0.5110137657756705,0.5493827160493827,0.6260923242082662,0.5110137657756705
lbp,0.5,29,0.5099283030442451,0.4942234132710323,0.5679012345679012,0.6548144756478089,0.4942234132710323
lbp,0.5,43,0.5339729714729714,0.5005817815341626,0.5802469135802469,0.6940536315536315,0.5005817815341626
lbp,0.75,17,0.5508917139301468,0.5380265237408094,0.5617283950617284,0.598218384343704,0.5380265237408094
lbp,0.75,29,0.5337145970570703,0.525367049176573,0.5555555555555556,0.6291217405187993,0.525367049176573
lbp,0.75,43,0.5606401497340009,0.5349504111408873,0.5802469135802469,0.6478174603174603,0.5349504111408873
lbp,1.0,canonical,0.5924013467096828,0.5727455965551204,0.6111111111111112,0.6703856328856329,0.5727455965551204
resnet18,0.25,17,0.7589681552570009,0.751672049291097,0.7777777777777778,0.7899479601782233,0.751672049291097
resnet18,0.25,29,0.748161860597134,0.7557273414416271,0.7407407407407407,0.7480482015118238,0.7557273414416271
resnet18,0.25,43,0.7181377959939107,0.7160161707780756,0.7469135802469136,0.728958818958819,0.7160161707780756
resnet18,0.5,17,0.8643041502707391,0.8726917703108179,0.845679012345679,0.8691358024691359,0.8726917703108179
resnet18,0.5,29,0.8212477410289751,0.799138780091161,0.8209876543209876,0.8557815109539247,0.799138780091161
resnet18,0.5,43,0.8799022503956091,0.8780217137359995,0.8641975308641975,0.8857259479026721,0.8780217137359995
resnet18,0.75,17,0.8827790803172806,0.9052806981378408,0.8765432098765432,0.8672630964297632,0.9052806981378408
resnet18,0.75,29,0.8933584985985736,0.8895084633179872,0.8765432098765432,0.9068220560844785,0.8895084633179872
resnet18,0.75,43,0.8952729988590645,0.8973854188139901,0.8827160493827161,0.8937996653942859,0.8973854188139901
resnet18,1.0,17,0.9110678124826398,0.9193694312741932,0.9012345679012346,0.9065218772694262,0.9193694312741932
resnet18,1.0,29,0.8838071459576273,0.8844785725738107,0.8641975308641975,0.8921182266009854,0.8844785725738107
resnet18,1.0,43,0.8910683060029441,0.9035800178657322,0.9012345679012346,0.8856000986961715,0.9035800178657322
mobilenet_v3_small,0.25,17,0.7344315591288275,0.7549222382555715,0.7407407407407407,0.7475989633076724,0.7549222382555715
mobilenet_v3_small,0.25,29,0.7036734464366043,0.7107721202959297,0.7222222222222222,0.7143658810325477,0.7107721202959297
mobilenet_v3_small,0.25,43,0.7318969610636278,0.7232575184956137,0.7469135802469136,0.7475012487428198,0.7232575184956137
mobilenet_v3_small,0.5,17,0.8223755103835004,0.8364163173686983,0.8209876543209876,0.8216927407163582,0.8364163173686983
mobilenet_v3_small,0.5,29,0.8244960339437518,0.8396161158065919,0.808641975308642,0.814417109070242,0.8396161158065919
mobilenet_v3_small,0.5,43,0.793009768009768,0.794771982867221,0.7962962962962963,0.8025512477718361,0.794771982867221
mobilenet_v3_small,0.75,17,0.8519404135556585,0.8580567580567581,0.845679012345679,0.8468389542602436,0.8580567580567581
mobilenet_v3_small,0.75,29,0.8512714859998733,0.8700519938615177,0.8395061728395061,0.8392244136086502,0.8700519938615177
mobilenet_v3_small,0.75,43,0.8596044028374855,0.8594562404086213,0.8518518518518519,0.863346732632447,0.8594562404086213
mobilenet_v3_small,1.0,17,0.9017400792264274,0.9082583201630822,0.8888888888888888,0.8985269512981778,0.9082583201630822
mobilenet_v3_small,1.0,29,0.8943066199902563,0.9031047435809341,0.8765432098765432,0.8887518944716017,0.9031047435809341
mobilenet_v3_small,1.0,43,0.8899154675481808,0.8999312856455713,0.8827160493827161,0.883268292628366,0.8999312856455713
