method,training_fraction,full_data_macro_f1,macro_f1_mean,performance_retention,performance_retention_percent
hog,0.25,0.47798778741419395,0.3349612244870484,0.7007736040686584,70.07736040686584
hog,0.5,0.47798778741419395,0.41071160105390714,0.8592512442122511,85.92512442122512
hog,0.75,0.47798778741419395,0.45052308235691685,0.9425409899992321,94.2540989999232
lbp,0.25,0.5924013467096828,0.39624797473754864,0.6688843246869546,66.88843246869546
lbp,0.5,0.5924013467096828,0.5225888089236682,0.8821533101270489,88.21533101270488
lbp,0.75,0.5924013467096828,0.5484154869070726,0.9257498990390273,92.57498990390272
resnet18,0.25,0.8953144214810704,0.741755937282682,0.8284865288505406,82.84865288505407
resnet18,0.5,0.8953144214810704,0.8551513805651078,0.9551408533668841,95.51408533668841
resnet18,0.75,0.8953144214810704,0.8904701925916396,0.9945893545628168,99.45893545628168
mobilenet_v3_small,0.25,0.8953207222549548,0.7233339888763531,0.8079048891603493,80.79048891603492
mobilenet_v3_small,0.5,0.8953207222549548,0.8132937707790067,0.9083826058785336,90.83826058785336
mobilenet_v3_small,0.75,0.8953207222549548,0.8542721007976725,0.9541520480460931,95.41520480460932
