method,training_fraction,class,training_class_count,f1_mean,f1_sample_sd,precision_mean,precision_sample_sd,recall_mean,recall_sample_sd
hog,0.25,thunderstrike,12,0.20000000000000004,3.3993498887762956e-17,1.0,0.0,0.1111111111111111,0.0
hog,0.5,thunderstrike,22,0.2545454545454546,0.09447549859466603,1.0,0.0,0.14814814814814814,0.06415002990995841
hog,0.75,thunderstrike,32,0.20000000000000004,3.3993498887762956e-17,1.0,0.0,0.1111111111111111,0.0
hog,1.0,thunderstrike,42,0.36363636363636365,,1.0,,0.2222222222222222,
lbp,0.25,thunderstrike,12,0.20000000000000004,3.3993498887762956e-17,1.0,0.0,0.1111111111111111,0.0
lbp,0.5,thunderstrike,22,0.30909090909090914,0.09447549859466603,1.0,0.0,0.1851851851851852,0.06415002990995841
lbp,0.75,thunderstrike,32,0.44172494172494176,0.07030783744454859,0.9166666666666666,0.14433756729740646,0.2962962962962963,0.06415002990995841
lbp,1.0,thunderstrike,42,0.5,,1.0,,0.3333333333333333,
resnet18,0.25,thunderstrike,12,0.69281045751634,0.022641187027044193,0.7777777777777778,0.048112522432468836,0.6296296296296297,0.06415002990995838
resnet18,0.5,thunderstrike,22,0.8961816305469558,0.08335325190801902,0.9666666666666667,0.05773502691896256,0.8518518518518517,0.1697250257391052
resnet18,0.75,thunderstrike,32,0.9666666666666667,0.05773502691896256,0.9393939393939394,0.10497277621629557,1.0,0.0
resnet18,1.0,thunderstrike,42,0.9473684210526315,0.09116056881941462,0.9333333333333332,0.11547005383792512,0.9629629629629629,0.06415002990995845
mobilenet_v3_small,0.25,thunderstrike,12,0.7268518518518517,0.08820629112619283,0.7566137566137566,0.036657159948547666,0.7037037037037037,0.12830005981991682
mobilenet_v3_small,0.5,thunderstrike,22,0.9120857699805067,0.03105661439273191,0.869023569023569,0.04437935239525094,0.9629629629629629,0.06415002990995845
mobilenet_v3_small,0.75,thunderstrike,32,0.9278752436647172,0.033763173636820215,0.8962962962962963,0.006415002990995883,0.9629629629629629,0.06415002990995845
mobilenet_v3_small,1.0,thunderstrike,42,0.9649122807017543,0.030386856273138228,0.9333333333333332,0.05773502691896257,1.0,0.0
