method,condition_id,corruption_family,severity,correct_to_correct_mean,correct_to_correct_sample_sd,correct_to_incorrect_mean,correct_to_incorrect_sample_sd,incorrect_to_correct_mean,incorrect_to_correct_sample_sd,incorrect_to_incorrect_mean,incorrect_to_incorrect_sample_sd
hog,clean,clean,clean,86.0,,0.0,,0.0,,76.0,
hog,gaussian_blur_mild,gaussian_blur,mild,84.0,,2.0,,3.0,,73.0,
hog,gaussian_blur_moderate,gaussian_blur,moderate,73.0,,13.0,,14.0,,62.0,
hog,gaussian_blur_severe,gaussian_blur,severe,62.0,,24.0,,18.0,,58.0,
hog,resolution_mild,resolution,mild,82.0,,4.0,,10.0,,66.0,
hog,resolution_moderate,resolution,moderate,76.0,,10.0,,16.0,,60.0,
hog,resolution_severe,resolution,severe,70.0,,16.0,,16.0,,60.0,
hog,brightness_mild,brightness,mild,80.0,,6.0,,6.0,,70.0,
hog,brightness_moderate,brightness,moderate,74.0,,12.0,,8.0,,68.0,
hog,brightness_severe,brightness,severe,64.0,,22.0,,12.0,,64.0,
hog,jpeg_mild,jpeg,mild,79.0,,7.0,,7.0,,69.0,
hog,jpeg_moderate,jpeg,moderate,74.0,,12.0,,13.0,,63.0,
hog,jpeg_severe,jpeg,severe,58.0,,28.0,,10.0,,66.0,
lbp,clean,clean,clean,99.0,,0.0,,0.0,,63.0,
lbp,gaussian_blur_mild,gaussian_blur,mild,90.0,,9.0,,4.0,,59.0,
lbp,gaussian_blur_moderate,gaussian_blur,moderate,60.0,,39.0,,10.0,,53.0,
lbp,gaussian_blur_severe,gaussian_blur,severe,41.0,,58.0,,10.0,,53.0,
lbp,resolution_mild,resolution,mild,82.0,,17.0,,8.0,,55.0,
lbp,resolution_moderate,resolution,moderate,58.0,,41.0,,11.0,,52.0,
lbp,resolution_severe,resolution,severe,35.0,,64.0,,13.0,,50.0,
lbp,brightness_mild,brightness,mild,91.0,,8.0,,3.0,,60.0,
lbp,brightness_moderate,brightness,moderate,74.0,,25.0,,12.0,,51.0,
lbp,brightness_severe,brightness,severe,55.0,,44.0,,10.0,,53.0,
lbp,jpeg_mild,jpeg,mild,81.0,,18.0,,6.0,,57.0,
lbp,jpeg_moderate,jpeg,moderate,64.0,,35.0,,12.0,,51.0,
lbp,jpeg_severe,jpeg,severe,51.0,,48.0,,12.0,,51.0,
resnet18,clean,clean,clean,144.0,3.4641016151377544,0.0,0.0,0.0,0.0,18.0,3.4641016151377544
resnet18,gaussian_blur_mild,gaussian_blur,mild,140.33333333333334,1.5275252316519465,3.6666666666666665,2.5166114784235836,3.3333333333333335,3.2145502536643185,14.666666666666666,0.5773502691896257
resnet18,gaussian_blur_moderate,gaussian_blur,moderate,127.0,2.0,17.0,2.0,6.0,3.4641016151377544,12.0,0.0
resnet18,gaussian_blur_severe,gaussian_blur,severe,101.66666666666667,3.7859388972001824,42.333333333333336,4.041451884327381,8.0,4.358898943540674,10.0,1.0
resnet18,resolution_mild,resolution,mild,138.0,2.0,6.0,4.0,4.0,2.6457513110645907,14.0,1.0
resnet18,resolution_moderate,resolution,moderate,132.0,3.0,12.0,4.58257569495584,5.333333333333333,3.214550253664318,12.666666666666666,0.5773502691896257
resnet18,resolution_severe,resolution,severe,113.0,1.0,31.0,4.358898943540674,5.666666666666667,2.516611478423583,12.333333333333334,2.081665999466133
resnet18,brightness_mild,brightness,mild,137.66666666666666,4.932882862316247,6.333333333333333,1.5275252316519465,3.6666666666666665,1.5275252316519465,14.333333333333334,3.511884584284246
resnet18,brightness_moderate,brightness,moderate,125.0,2.0,19.0,2.0,6.333333333333333,3.5118845842842465,11.666666666666666,1.5275252316519468
resnet18,brightness_severe,brightness,severe,90.66666666666667,8.504900548115383,53.333333333333336,9.29157324317757,7.666666666666667,4.618802153517007,10.333333333333334,1.1547005383792517
resnet18,jpeg_mild,jpeg,mild,140.0,3.4641016151377544,4.0,0.0,2.6666666666666665,1.1547005383792515,15.333333333333334,4.163331998932265
