method,seed,condition_id,corruption_family,severity,prediction_flip_count,prediction_flip_rate,harmful_flip_count,beneficial_flip_count,correct_to_correct,correct_to_incorrect,incorrect_to_correct,incorrect_to_incorrect
hog,,clean,clean,clean,0,0.0,0,0,86,0,0,76
hog,,gaussian_blur_mild,gaussian_blur,mild,8,0.04938271604938271,2,3,84,2,3,73
hog,,gaussian_blur_moderate,gaussian_blur,moderate,37,0.22839506172839505,13,14,73,13,14,62
hog,,gaussian_blur_severe,gaussian_blur,severe,67,0.41358024691358025,24,18,62,24,18,58
hog,,resolution_mild,resolution,mild,21,0.12962962962962962,4,10,82,4,10,66
hog,,resolution_moderate,resolution,moderate,35,0.21604938271604937,10,16,76,10,16,60
hog,,resolution_severe,resolution,severe,47,0.29012345679012347,16,16,70,16,16,60
hog,,brightness_mild,brightness,mild,17,0.10493827160493827,6,6,80,6,6,70
hog,,brightness_moderate,brightness,moderate,31,0.19135802469135801,12,8,74,12,8,68
hog,,brightness_severe,brightness,severe,47,0.29012345679012347,22,12,64,22,12,64
hog,,jpeg_mild,jpeg,mild,22,0.13580246913580246,7,7,79,7,7,69
hog,,jpeg_moderate,jpeg,moderate,35,0.21604938271604937,12,13,74,12,13,63
hog,,jpeg_severe,jpeg,severe,54,0.3333333333333333,28,10,58,28,10,66
lbp,,clean,clean,clean,0,0.0,0,0,99,0,0,63
lbp,,gaussian_blur_mild,gaussian_blur,mild,19,0.11728395061728394,9,4,90,9,4,59
lbp,,gaussian_blur_moderate,gaussian_blur,moderate,70,0.43209876543209874,39,10,60,39,10,53
lbp,,gaussian_blur_severe,gaussian_blur,severe,93,0.5740740740740741,58,10,41,58,10,53
lbp,,resolution_mild,resolution,mild,43,0.2654320987654321,17,8,82,17,8,55
lbp,,resolution_moderate,resolution,moderate,70,0.43209876543209874,41,11,58,41,11,52
lbp,,resolution_severe,resolution,severe,100,0.6172839506172839,64,13,35,64,13,50
lbp,,brightness_mild,brightness,mild,21,0.12962962962962962,8,3,91,8,3,60
lbp,,brightness_moderate,brightness,moderate,53,0.3271604938271605,25,12,74,25,12,51
lbp,,brightness_severe,brightness,severe,83,0.5123456790123457,44,10,55,44,10,53
lbp,,jpeg_mild,jpeg,mild,39,0.24074074074074073,18,6,81,18,6,57
lbp,,jpeg_moderate,jpeg,moderate,64,0.3950617283950617,35,12,64,35,12,51
lbp,,jpeg_severe,jpeg,severe,82,0.5061728395061729,48,12,51,48,12,51
resnet18,17,clean,clean,clean,0,0.0,0,0,146,0,0,16
resnet18,17,gaussian_blur_mild,gaussian_blur,mild,8,0.04938271604938271,6,2,140,6,2,14
resnet18,17,gaussian_blur_moderate,gaussian_blur,moderate,23,0.1419753086419753,19,4,127,19,4,12
resnet18,17,gaussian_blur_severe,gaussian_blur,severe,54,0.3333333333333333,47,5,99,47,5,11
resnet18,17,resolution_mild,resolution,mild,13,0.08024691358024691,10,3,136,10,3,13
resnet18,17,resolution_moderate,resolution,moderate,21,0.12962962962962962,17,4,129,17,4,12
