method,seed,instance_id,source_image_id,true_label,corruption_family,severity,clean_prediction,corrupted_prediction,clean_correct,corrupted_correct,prediction_changed,harmful_flip,beneficial_flip,logit_craze,logit_corrosion,logit_surface_injure,logit_thunderstrike,logit_crack,logit_hide_craze
hog,,13_0,13,hide_craze,gaussian_blur,mild,hide_craze,hide_craze,True,True,False,False,False,,,,,,
hog,,13_1,13,hide_craze,gaussian_blur,mild,hide_craze,hide_craze,True,True,False,False,False,,,,,,
hog,,32_0,32,thunderstrike,gaussian_blur,mild,surface_injure,surface_injure,False,False,False,False,False,,,,,,
hog,,32_1,32,thunderstrike,gaussian_blur,mild,surface_injure,surface_injure,False,False,False,False,False,,,,,,
hog,,46_0,46,corrosion,gaussian_blur,mild,craze,craze,False,False,False,False,False,,,,,,
hog,,46_1,46,corrosion,gaussian_blur,mild,corrosion,corrosion,True,True,False,False,False,,,,,,
hog,,48_0,48,surface_injure,gaussian_blur,mild,craze,craze,False,False,False,False,False,,,,,,
hog,,51_0,51,craze,gaussian_blur,mild,corrosion,corrosion,False,False,False,False,False,,,,,,
hog,,51_1,51,craze,gaussian_blur,mild,corrosion,corrosion,False,False,False,False,False,,,,,,
hog,,54_0,54,hide_craze,gaussian_blur,mild,hide_craze,hide_craze,True,True,False,False,False,,,,,,
hog,,54_1,54,hide_craze,gaussian_blur,mild,hide_craze,hide_craze,True,True,False,False,False,,,,,,
hog,,57_0,57,craze,gaussian_blur,mild,corrosion,corrosion,False,False,False,False,False,,,,,,
hog,,57_1,57,surface_injure,gaussian_blur,mild,surface_injure,surface_injure,True,True,False,False,False,,,,,,
hog,,61_0,61,craze,gaussian_blur,mild,craze,craze,True,True,False,False,False,,,,,,
hog,,61_1,61,craze,gaussian_blur,mild,craze,craze,True,True,False,False,False,,,,,,
hog,,61_2,61,craze,gaussian_blur,mild,craze,craze,True,True,False,False,False,,,,,,
hog,,65_0,65,corrosion,gaussian_blur,mild,hide_craze,hide_craze,False,False,False,False,False,,,,,,
hog,,67_0,67,hide_craze,gaussian_blur,mild,hide_craze,hide_craze,True,True,False,False,False,,,,,,
hog,,71_0,71,craze,gaussian_blur,mild,craze,craze,True,True,False,False,False,,,,,,
hog,,73_0,73,craze,gaussian_blur,mild,craze,craze,True,True,False,False,False,,,,,,
hog,,81_0,81,craze,gaussian_blur,mild,craze,craze,True,True,False,False,False,,,,,,
hog,,81_1,81,craze,gaussian_blur,mild,craze,craze,True,True,False,False,False,,,,,,
hog,,81_2,81,craze,gaussian_blur,mild,craze,craze,True,True,False,False,False,,,,,,
hog,,88_0,88,crack,gaussian_blur,mild,hide_craze,hide_craze,False,False,False,False,False,,,,,,
hog,,93_0,93,craze,gaussian_blur,mild,craze,craze,True,True,False,False,False,,,,,,
hog,,103_0,103,craze,gaussian_blur,mild,craze,craze,True,True,False,False,False,,,,,,
hog,,112_0,112,thunderstrike,gaussian_blur,mild,thunderstrike,thunderstrike,True,True,False,False,False,,,,,,
hog,,112_1,112,surface_injure,gaussian_blur,mild,surface_injure,surface_injure,True,True,False,False,False,,,,,,
hog,,142_0,142,surface_injure,gaussian_blur,mild,hide_craze,hide_craze,False,False,False,False,False,,,,,,
hog,,146_0,146,hide_craze,gaussian_blur,mild,hide_craze,hide_craze,True,True,False,False,False,,,,,,
hog,,156_0,156,craze,gaussian_blur,mild,craze,craze,True,True,False,False,False,,,,,,
hog,,161_0,161,corrosion,gaussian_blur,mild,craze,craze,False,False,False,False,False,,,,,,
hog,,163_0,163,hide_craze,gaussian_blur,mild,craze,craze,False,False,False,False,False,,,,,,
hog,,166_0,166,craze,gaussian_blur,mild,hide_craze,craze,False,True,True,False,True,,,,,,
hog,,167_0,167,craze,gaussian_blur,mild,craze,craze,True,True,False,False,False,,,,,,
hog,,167_1,167,craze,gaussian_blur,mild,hide_craze,hide_craze,False,False,False,False,False,,,,,,
hog,,178_0,178,surface_injure,gaussian_blur,mild,surface_injure,surface_injure,True,True,False,False,False,,,,,,
hog,,178_1,178,surface_injure,gaussian_blur,mild,corrosion,corrosion,False,False,False,False,False,,,,,,
hog,,178_2,178,surface_injure,gaussian_blur,mild,crack,crack,False,False,False,False,False,,,,,,
hog,,198_0,198,craze,gaussian_blur,mild,hide_craze,hide_craze,False,False,False,False,False,,,,,,
hog,,198_1,198,hide_craze,gaussian_blur,mild,hide_craze,hide_craze,True,True,False,False,False,,,,,,
hog,,209_0,209,hide_craze,gaussian_blur,mild,hide_craze,hide_craze,True,True,False,False,False,,,,,,
hog,,214_0,214,craze,gaussian_blur,mild,craze,craze,True,True,False,False,False,,,,,,
hog,,216_0,216,crack,gaussian_blur,mild,crack,crack,True,True,False,False,False,,,,,,
hog,,217_0,217,surface_injure,gaussian_blur,mild,hide_craze,hide_craze,False,False,False,False,False,,,,,,
