method,condition_id,corruption_family,severity,class,support,f1_mean,f1_sample_sd,clean_f1_mean,class_f1_drop
hog,clean,clean,clean,craze,27,0.5964912280701754,,0.5964912280701754,0.0
hog,clean,clean,clean,corrosion,30,0.4528301886792453,,0.4528301886792453,0.0
hog,clean,clean,clean,surface_injure,33,0.5,,0.5,0.0
hog,clean,clean,clean,thunderstrike,9,0.36363636363636365,,0.36363636363636365,0.0
hog,clean,clean,clean,crack,14,0.34782608695652173,,0.34782608695652173,0.0
hog,clean,clean,clean,hide_craze,49,0.6071428571428571,,0.6071428571428571,0.0
hog,gaussian_blur_mild,gaussian_blur,mild,craze,27,0.6333333333333333,,0.5964912280701754,0.0368421052631579
hog,gaussian_blur_mild,gaussian_blur,mild,corrosion,30,0.4230769230769231,,0.4528301886792453,-0.02975326560232222
hog,gaussian_blur_mild,gaussian_blur,mild,surface_injure,33,0.5,,0.5,0.0
hog,gaussian_blur_mild,gaussian_blur,mild,thunderstrike,9,0.2,,0.36363636363636365,-0.16363636363636364
hog,gaussian_blur_mild,gaussian_blur,mild,crack,14,0.3333333333333333,,0.34782608695652173,-0.014492753623188415
hog,gaussian_blur_mild,gaussian_blur,mild,hide_craze,49,0.6363636363636364,,0.6071428571428571,0.02922077922077926
hog,gaussian_blur_moderate,gaussian_blur,moderate,craze,27,0.6388888888888888,,0.5964912280701754,0.042397660818713434
hog,gaussian_blur_moderate,gaussian_blur,moderate,corrosion,30,0.3157894736842105,,0.4528301886792453,-0.13704071499503478
hog,gaussian_blur_moderate,gaussian_blur,moderate,surface_injure,33,0.5,,0.5,0.0
hog,gaussian_blur_moderate,gaussian_blur,moderate,thunderstrike,9,0.2,,0.36363636363636365,-0.16363636363636364
hog,gaussian_blur_moderate,gaussian_blur,moderate,crack,14,0.41379310344827586,,0.34782608695652173,0.06596701649175413
hog,gaussian_blur_moderate,gaussian_blur,moderate,hide_craze,49,0.6355140186915887,,0.6071428571428571,0.02837116154873165
hog,gaussian_blur_severe,gaussian_blur,severe,craze,27,0.5853658536585366,,0.5964912280701754,-0.011125374411638855
hog,gaussian_blur_severe,gaussian_blur,severe,corrosion,30,0.06451612903225806,,0.4528301886792453,-0.38831405964698723
hog,gaussian_blur_severe,gaussian_blur,severe,surface_injure,33,0.5142857142857142,,0.5,0.014285714285714235
hog,gaussian_blur_severe,gaussian_blur,severe,thunderstrike,9,0.0,,0.36363636363636365,-0.36363636363636365
hog,gaussian_blur_severe,gaussian_blur,severe,crack,14,0.2777777777777778,,0.34782608695652173,-0.07004830917874394
hog,gaussian_blur_severe,gaussian_blur,severe,hide_craze,49,0.6666666666666666,,0.6071428571428571,0.059523809523809534
