method,seed,condition_id,corruption_family,severity,parameter,macro_f1,balanced_accuracy,accuracy,macro_precision,macro_recall,absolute_drop,retention,retention_percent,relative_loss,relative_loss_percent,prediction_flip_count,prediction_flip_rate,harmful_flip_count,beneficial_flip_count,correct_to_correct,correct_to_incorrect,incorrect_to_correct,incorrect_to_incorrect
hog,,clean,clean,clean,original_phase3_png,0.47798778741419395,0.4577658672896768,0.5308641975308642,0.5930411778237864,0.4577658672896768,0.0,1.0,100.0,0.0,0.0,0,0.0,0,0,86,0,0,76
hog,,gaussian_blur_mild,gaussian_blur,mild,0.75,0.45435120435120435,0.4494388327721661,0.5370370370370371,0.58920705887919,0.4494388327721661,-0.023636583062989602,0.9505498180385357,95.05498180385356,0.049450181961464335,4.9450181961464335,8,0.04938271604938271,2,3,84,2,3,73
hog,,gaussian_blur_moderate,gaussian_blur,moderate,1.5,0.4506642474521607,0.4667605762843858,0.5370370370370371,0.6221720488961868,0.4667605762843858,-0.02732353996203324,0.9428363220118082,94.28363220118082,0.057163677988191774,5.716367798819178,37,0.22839506172839505,13,14,73,13,14,62
hog,,gaussian_blur_severe,gaussian_blur,severe,3.0,0.3514353569034922,0.4129801415515701,0.49382716049382713,0.4718289856587729,0.4129801415515701,-0.12655243051070175,0.7352391968101908,73.52391968101908,0.2647608031898092,26.47608031898092,67,0.41358024691358025,24,18,62,24,18,58
hog,,resolution_mild,resolution,mild,168,0.467346191828921,0.47097849240706385,0.5679012345679012,0.6168916523755233,0.47097849240706385,-0.010641595585272945,0.9777366789163348,97.77366789163348,0.022263321083665244,2.2263321083665244,21,0.12962962962962962,4,10,82,4,10,66
hog,,resolution_moderate,resolution,moderate,112,0.46516418026855466,0.4813337456194599,0.5679012345679012,0.6532560032560032,0.4813337456194599,-0.012823607145639293,0.9731716845423769,97.31716845423769,0.026828315457623098,2.6828315457623098,35,0.21604938271604937,10,16,76,10,16,60
hog,,resolution_severe,resolution,severe,56,0.3958850931677018,0.42876497400306923,0.5308641975308642,0.4544283253842078,0.42876497400306923,-0.08210269424649214,0.8282326527825131,82.82326527825131,0.17176734721748688,17.176734721748687,47,0.29012345679012347,16,16,70,16,16,60
hog,,brightness_mild,brightness,mild,0.75,0.4259212836423297,0.42082846606656127,0.5308641975308642,0.5878968253968254,0.42082846606656127,-0.05206650377186428,0.8910714768393303,89.10714768393304,0.1089285231606697,10.89285231606697,17,0.10493827160493827,6,6,80,6,6,70
hog,,brightness_moderate,brightness,moderate,0.5,0.39917409917409913,0.3979889598937218,0.5061728395061729,0.5861577446943301,0.3979889598937218,-0.07881368824009483,0.8351135942898058,83.51135942898058,0.1648864057101942,16.48864057101942,31,0.19135802469135801,12,8,74,12,8,68
hog,,brightness_severe,brightness,severe,0.25,0.31818616409133654,0.35109713919237723,0.4691358024691358,0.4070658970658971,0.35109713919237723,-0.1598016233228574,0.6656784387999783,66.56784387999784,0.33432156120002166,33.43215612000216,47,0.29012345679012347,22,12,64,22,12,64
hog,,jpeg_mild,jpeg,mild,75,0.43993944556380055,0.432012872489063,0.5308641975308642,0.5889832246421394,0.432012872489063,-0.03804834185039341,0.9203989247168294,92.03989247168293,0.07960107528317062,7.960107528317062,22,0.13580246913580246,7,7,79,7,7,69
hog,,jpeg_moderate,jpeg,moderate,50,0.4544844047620853,0.4391809248952106,0.5370370370370371,0.6291767310789048,0.4391809248952106,-0.023503382652108662,0.9508284871057969,95.0828487105797,0.04917151289420307,4.917151289420307,35,0.21604938271604937,12,13,74,12,13,63
