method,corruption_family,macro_f1,macro_f1_sample_sd,retention,retention_percent,prediction_flip_rate,harmful_flip_count,beneficial_flip_count
hog,gaussian_blur,0.3514353569034922,,0.7352391968101908,73.52391968101908,0.41358024691358025,24.0,18.0
hog,resolution,0.3958850931677018,,0.8282326527825131,82.82326527825131,0.29012345679012347,16.0,16.0
hog,brightness,0.31818616409133654,,0.6656784387999783,66.56784387999784,0.29012345679012347,22.0,12.0
hog,jpeg,0.2983252726410621,,0.6241273950845785,62.41273950845785,0.3333333333333333,28.0,10.0
lbp,gaussian_blur,0.20307877536979704,,0.34280606635642835,34.28060663564283,0.5740740740740741,58.0,10.0
lbp,resolution,0.17510002500625155,,0.2955766829005244,29.55766829005244,0.6172839506172839,64.0,13.0
lbp,brightness,0.26204716336295286,,0.44234734579591345,44.23473457959135,0.5123456790123457,44.0,10.0
lbp,jpeg,0.21838624338624343,,0.36864575781132997,36.864575781133,0.5061728395061729,48.0,12.0
resnet18,gaussian_blur,0.633787728991378,0.032867828989711585,0.7083347409312107,70.83347409312107,0.33127572016460904,42.333333333333336,8.0
resnet18,resolution,0.723203040187239,0.025957434841193068,0.8081673965047439,80.81673965047439,0.24485596707818927,31.0,5.666666666666667
resnet18,brightness,0.5263030419939386,0.0727308710039368,0.5872195520380098,58.721955203800974,0.4012345679012346,53.333333333333336,7.666666666666667
resnet18,jpeg,0.822440377679944,0.02061051550020614,0.9189853536192597,91.898535361926,0.1522633744855967,17.333333333333332,4.666666666666667
mobilenet_v3_small,gaussian_blur,0.6543449631523638,0.04187119572649648,0.7307516280849052,73.07516280849052,0.2757201646090535,36.0,5.0
mobilenet_v3_small,resolution,0.733371848857737,0.016644992377922448,0.8190998438467004,81.90998438467004,0.2222222222222222,26.666666666666668,5.666666666666667
mobilenet_v3_small,brightness,0.6590879971600262,0.048045142200881026,0.7359880167697931,73.5988016769793,0.3148148148148148,37.666666666666664,8.666666666666666
mobilenet_v3_small,jpeg,0.803678227039661,0.030335066765890737,0.8976235126315935,89.76235126315935,0.14609053497942384,17.0,3.6666666666666665
