instance_id,source_image_id,true_class_id,true_label,crop_identifier,crop_path,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,crop_xmin,crop_ymin,crop_xmax,crop_ymax,crop_side,defect_occupancy,occupancy_bin,boundary_shifted,max_side_clipped,method,seed,corruption_family,severity,condition_id,corruption_parameter,predicted_class_id,predicted_label,correct,clean_predicted_class_id,clean_predicted_label,clean_correct,prediction_changed_from_clean,event_category,score_type,predicted_softmax,logit_craze,logit_corrosion,logit_surface_injure,logit_thunderstrike,logit_crack,logit_hide_craze
13_0,13,5,hide_craze,75ffa698553117d6c1d7545e46eecc14f27973492c50c4f371adb05498db9e55,data/processed/wtbd_crops_v1/images/13_0.png,11,649,162,808,0,608,240,848,240,0.422222222222,0.25_to_lt_0.50,True,False,hog,not_applicable,clean,clean,clean,original_phase3_png,5,hide_craze,True,5,hide_craze,True,False,clean_only,not_recorded_for_svm,,,,,,,
13_1,13,5,hide_craze,3974d799bc5ef8ecee9810b72bfda62fd275c2906a1a5c0466eaa11f86a6ad9e,data/processed/wtbd_crops_v1/images/13_1.png,483,611,514,775,374,568,622,816,248,0.085848074922,lt_0.10,False,False,hog,not_applicable,clean,clean,clean,original_phase3_png,5,hide_craze,True,5,hide_craze,True,False,clean_only,not_recorded_for_svm,,,,,,,
32_0,32,3,thunderstrike,0bc0583e8b3c9710ceed3500adafd5c933696ea8109628c6eaab66efbc59e4af,data/processed/wtbd_crops_v1/images/32_0.png,58,558,527,849,0,319,705,1024,705,0.276122931442,0.25_to_lt_0.50,True,False,hog,not_applicable,clean,clean,clean,original_phase3_png,2,surface_injure,False,2,surface_injure,False,False,clean_only,not_recorded_for_svm,,,,,,,
32_1,32,3,thunderstrike,53fb39b9c5d3431069e0854bb8ca569f80ad3c92388a224217d5570f15cc6e94,data/processed/wtbd_crops_v1/images/32_1.png,739,692,987,975,598,598,1024,1024,426,0.389671361502,0.25_to_lt_0.50,True,False,hog,not_applicable,clean,clean,clean,original_phase3_png,2,surface_injure,False,2,surface_injure,False,False,clean_only,not_recorded_for_svm,,,,,,,
46_0,46,1,corrosion,f65ac02a526333ce383658ce815b62642d262130a494de32c9c34a96ba75834e,data/processed/wtbd_crops_v1/images/46_0.png,20,563,548,680,0,224,794,1018,794,0.0990140156971,lt_0.10,True,False,hog,not_applicable,clean,clean,clean,original_phase3_png,0,craze,False,0,craze,False,False,clean_only,not_recorded_for_svm,,,,,,,
46_1,46,1,corrosion,0eeaa75b156b85c32b527d508919fddcd1973e974e778ed122a901dbf0621ee6,data/processed/wtbd_crops_v1/images/46_1.png,569,491,814,578,506,349,875,718,369,0.158988256549,0.10_to_lt_0.25,False,False,hog,not_applicable,clean,clean,clean,original_phase3_png,1,corrosion,True,1,corrosion,True,False,clean_only,not_recorded_for_svm,,,,,,,
48_0,48,2,surface_injure,969c030dff9b66e68d64e8220b40ad4725ffa92f639b85953aa6038919570c06,data/processed/wtbd_crops_v1/images/48_0.png,394,473,553,794,231,391,714,874,483,0.220841959972,0.10_to_lt_0.25,False,False,hog,not_applicable,clean,clean,clean,original_phase3_png,0,craze,False,0,craze,False,False,clean_only,not_recorded_for_svm,,,,,,,
51_0,51,0,craze,83b08a010200a9c6d0fb6df61ae5401828e488f968819f16be1b2f71046b88d7,data/processed/wtbd_crops_v1/images/51_0.png,447,894,547,1019,402,835,591,1024,189,0.356261022928,0.25_to_lt_0.50,True,False,hog,not_applicable,clean,clean,clean,original_phase3_png,1,corrosion,False,1,corrosion,False,False,clean_only,not_recorded_for_svm,,,,,,,
51_1,51,0,craze,f8fe18ea3a307cb9d833707f8ce5c6c567055f938a78520183085c5dec311bc9,data/processed/wtbd_crops_v1/images/51_1.png,473,20,658,850,0,0,1024,1024,1024,0.14740562439,0.10_to_lt_0.25,True,True,hog,not_applicable,clean,clean,clean,original_phase3_png,1,corrosion,False,1,corrosion,False,False,clean_only,not_recorded_for_svm,,,,,,,
54_0,54,5,hide_craze,b337e845e695e1467157239eda945d53c66a45cd7dfdfa655fdf0424d39ebc7b,data/processed/wtbd_crops_v1/images/54_0.png,478,272,503,631,220,181,760,721,540,0.0320987654321,lt_0.10,False,False,hog,not_applicable,clean,clean,clean,original_phase3_png,5,hide_craze,True,5,hide_craze,True,False,clean_only,not_recorded_for_svm,,,,,,,
