review_id,instance_id,method,seed,condition_id,input_state,input_condition_id,target_role,target_class_id,target_label,predicted_label,true_label,target_module_path,activation_shape,checkpoint_sha256,checkpoint_fingerprint,preprocessing,normalization,array_sha256,finite,minimum,maximum,input_path,annotation_path,heatmap_path,overlay_path
P9A-001,48_0,resnet18,17,clean,clean,clean,true_class,2,surface_injure,craze,surface_injure,layer4.1,1x512x7x7,423044a36d0fe953eb20744fc6af7b5c725582d275a06c768e7a70401248b998,e87ca88dad134833a54171674332ea76920f957e7d7e1df10b9ec308ebeff8d8,frozen_imagenet_normalization_on_224x224_phase3_pixels,independent_per_map_minmax_after_relu,4c4b3d90316a654fd8be7fc5c031e7a1efd1d4d6b987bdb4323cf8c9d757eff8,True,0.0,1.0,figures/phase9/gradcam/P9A-001/resnet18/seed_17/clean/input_rgb.png,figures/phase9/gradcam/P9A-001/resnet18/seed_17/clean/annotation_overlay.png,figures/phase9/gradcam/P9A-001/resnet18/seed_17/clean/true_class_surface_injure_heatmap.png,figures/phase9/gradcam/P9A-001/resnet18/seed_17/clean/true_class_surface_injure_overlay.png
P9A-001,48_0,resnet18,17,clean,clean,clean,predicted_class,0,craze,craze,surface_injure,layer4.1,1x512x7x7,423044a36d0fe953eb20744fc6af7b5c725582d275a06c768e7a70401248b998,e87ca88dad134833a54171674332ea76920f957e7d7e1df10b9ec308ebeff8d8,frozen_imagenet_normalization_on_224x224_phase3_pixels,independent_per_map_minmax_after_relu,be6606aeca5fbb1cf6c8ff5d66d33f3e543a35d524e298ccf68ad63aac92d0dd,True,0.0,1.0,figures/phase9/gradcam/P9A-001/resnet18/seed_17/clean/input_rgb.png,figures/phase9/gradcam/P9A-001/resnet18/seed_17/clean/annotation_overlay.png,figures/phase9/gradcam/P9A-001/resnet18/seed_17/clean/predicted_class_craze_heatmap.png,figures/phase9/gradcam/P9A-001/resnet18/seed_17/clean/predicted_class_craze_overlay.png
P9A-004,142_0,resnet18,17,clean,clean,clean,true_class,2,surface_injure,corrosion,surface_injure,layer4.1,1x512x7x7,423044a36d0fe953eb20744fc6af7b5c725582d275a06c768e7a70401248b998,e87ca88dad134833a54171674332ea76920f957e7d7e1df10b9ec308ebeff8d8,frozen_imagenet_normalization_on_224x224_phase3_pixels,independent_per_map_minmax_after_relu,dbd440746bb68d21a038dd2fa4074c45202716ca1dbc397df30ea8df0ea0b621,True,0.0,1.0,figures/phase9/gradcam/P9A-004/resnet18/seed_17/clean/input_rgb.png,figures/phase9/gradcam/P9A-004/resnet18/seed_17/clean/annotation_overlay.png,figures/phase9/gradcam/P9A-004/resnet18/seed_17/clean/true_class_surface_injure_heatmap.png,figures/phase9/gradcam/P9A-004/resnet18/seed_17/clean/true_class_surface_injure_overlay.png
P9A-004,142_0,resnet18,17,clean,clean,clean,predicted_class,1,corrosion,corrosion,surface_injure,layer4.1,1x512x7x7,423044a36d0fe953eb20744fc6af7b5c725582d275a06c768e7a70401248b998,e87ca88dad134833a54171674332ea76920f957e7d7e1df10b9ec308ebeff8d8,frozen_imagenet_normalization_on_224x224_phase3_pixels,independent_per_map_minmax_after_relu,b0ec8667b3833ae1bcbbaeb2fa35ccdb19a089512b740dd89d2d758c589287c4,True,0.0,1.0,figures/phase9/gradcam/P9A-004/resnet18/seed_17/clean/input_rgb.png,figures/phase9/gradcam/P9A-004/resnet18/seed_17/clean/annotation_overlay.png,figures/phase9/gradcam/P9A-004/resnet18/seed_17/clean/predicted_class_corrosion_heatmap.png,figures/phase9/gradcam/P9A-004/resnet18/seed_17/clean/predicted_class_corrosion_overlay.png
P9A-005,228_1,resnet18,17,clean,clean,clean,true_class,5,hide_craze,craze,hide_craze,layer4.1,1x512x7x7,423044a36d0fe953eb20744fc6af7b5c725582d275a06c768e7a70401248b998,e87ca88dad134833a54171674332ea76920f957e7d7e1df10b9ec308ebeff8d8,frozen_imagenet_normalization_on_224x224_phase3_pixels,independent_per_map_minmax_after_relu,3e095dd93c830e3cbdf3084400be872d4aaca2e9a8d72d53aa5402b78b257d38,True,0.0,1.0,figures/phase9/gradcam/P9A-005/resnet18/seed_17/clean/input_rgb.png,figures/phase9/gradcam/P9A-005/resnet18/seed_17/clean/annotation_overlay.png,figures/phase9/gradcam/P9A-005/resnet18/seed_17/clean/true_class_hide_craze_heatmap.png,figures/phase9/gradcam/P9A-005/resnet18/seed_17/clean/true_class_hide_craze_overlay.png
P9A-005,228_1,resnet18,17,clean,clean,clean,predicted_class,0,craze,craze,hide_craze,layer4.1,1x512x7x7,423044a36d0fe953eb20744fc6af7b5c725582d275a06c768e7a70401248b998,e87ca88dad134833a54171674332ea76920f957e7d7e1df10b9ec308ebeff8d8,frozen_imagenet_normalization_on_224x224_phase3_pixels,independent_per_map_minmax_after_relu,1b2047501f257df3eaff6afba0fb31e395b0e2191fb8106900e77d6a3cb53d19,True,0.0,1.0,figures/phase9/gradcam/P9A-005/resnet18/seed_17/clean/input_rgb.png,figures/phase9/gradcam/P9A-005/resnet18/seed_17/clean/annotation_overlay.png,figures/phase9/gradcam/P9A-005/resnet18/seed_17/clean/predicted_class_craze_heatmap.png,figures/phase9/gradcam/P9A-005/resnet18/seed_17/clean/predicted_class_craze_overlay.png
P9A-007,323_0,resnet18,17,clean,clean,clean,true_class,1,corrosion,surface_injure,corrosion,layer4.1,1x512x7x7,423044a36d0fe953eb20744fc6af7b5c725582d275a06c768e7a70401248b998,e87ca88dad134833a54171674332ea76920f957e7d7e1df10b9ec308ebeff8d8,frozen_imagenet_normalization_on_224x224_phase3_pixels,independent_per_map_minmax_after_relu,c118138a7a34ea7cf63e0c8e72d2fbaee6d378fe6d2adfb2366494fc4c4dd45e,True,0.0,1.0,figures/phase9/gradcam/P9A-007/resnet18/seed_17/clean/input_rgb.png,figures/phase9/gradcam/P9A-007/resnet18/seed_17/clean/annotation_overlay.png,figures/phase9/gradcam/P9A-007/resnet18/seed_17/clean/true_class_corrosion_heatmap.png,figures/phase9/gradcam/P9A-007/resnet18/seed_17/clean/true_class_corrosion_overlay.png
P9A-007,323_0,resnet18,17,clean,clean,clean,predicted_class,2,surface_injure,surface_injure,corrosion,layer4.1,1x512x7x7,423044a36d0fe953eb20744fc6af7b5c725582d275a06c768e7a70401248b998,e87ca88dad134833a54171674332ea76920f957e7d7e1df10b9ec308ebeff8d8,frozen_imagenet_normalization_on_224x224_phase3_pixels,independent_per_map_minmax_after_relu,ac197f1fa59733d1b45017377f09e3768c5d6a461710a17972652f1a5c7fc264,True,0.0,1.0,figures/phase9/gradcam/P9A-007/resnet18/seed_17/clean/input_rgb.png,figures/phase9/gradcam/P9A-007/resnet18/seed_17/clean/annotation_overlay.png,figures/phase9/gradcam/P9A-007/resnet18/seed_17/clean/predicted_class_surface_injure_heatmap.png,figures/phase9/gradcam/P9A-007/resnet18/seed_17/clean/predicted_class_surface_injure_overlay.png
P9A-009,521_0,resnet18,17,clean,clean,clean,true_class,1,corrosion,surface_injure,corrosion,layer4.1,1x512x7x7,423044a36d0fe953eb20744fc6af7b5c725582d275a06c768e7a70401248b998,e87ca88dad134833a54171674332ea76920f957e7d7e1df10b9ec308ebeff8d8,frozen_imagenet_normalization_on_224x224_phase3_pixels,independent_per_map_minmax_after_relu,782a1de756703813213e309957de484920c10a0376d68f62f12115ef72d7bb3d,True,0.0,1.0,figures/phase9/gradcam/P9A-009/resnet18/seed_17/clean/input_rgb.png,figures/phase9/gradcam/P9A-009/resnet18/seed_17/clean/annotation_overlay.png,figures/phase9/gradcam/P9A-009/resnet18/seed_17/clean/true_class_corrosion_heatmap.png,figures/phase9/gradcam/P9A-009/resnet18/seed_17/clean/true_class_corrosion_overlay.png
P9A-009,521_0,resnet18,17,clean,clean,clean,predicted_class,2,surface_injure,surface_injure,corrosion,layer4.1,1x512x7x7,423044a36d0fe953eb20744fc6af7b5c725582d275a06c768e7a70401248b998,e87ca88dad134833a54171674332ea76920f957e7d7e1df10b9ec308ebeff8d8,frozen_imagenet_normalization_on_224x224_phase3_pixels,independent_per_map_minmax_after_relu,00f186562716daf26b6bf3dd0ccbeeba7c5f08013a6798cf62b35ad535b9ca12,True,0.0,1.0,figures/phase9/gradcam/P9A-009/resnet18/seed_17/clean/input_rgb.png,figures/phase9/gradcam/P9A-009/resnet18/seed_17/clean/annotation_overlay.png,figures/phase9/gradcam/P9A-009/resnet18/seed_17/clean/predicted_class_surface_injure_heatmap.png,figures/phase9/gradcam/P9A-009/resnet18/seed_17/clean/predicted_class_surface_injure_overlay.png
P9A-010,521_1,resnet18,17,clean,clean,clean,true_class,1,corrosion,hide_craze,corrosion,layer4.1,1x512x7x7,423044a36d0fe953eb20744fc6af7b5c725582d275a06c768e7a70401248b998,e87ca88dad134833a54171674332ea76920f957e7d7e1df10b9ec308ebeff8d8,frozen_imagenet_normalization_on_224x224_phase3_pixels,independent_per_map_minmax_after_relu,950ef8d72ed7cf09b3fc4fe04f07a4b016676cd0b976717258aad0d6cd0badc5,True,0.0,1.0,figures/phase9/gradcam/P9A-010/resnet18/seed_17/clean/input_rgb.png,figures/phase9/gradcam/P9A-010/resnet18/seed_17/clean/annotation_overlay.png,figures/phase9/gradcam/P9A-010/resnet18/seed_17/clean/true_class_corrosion_heatmap.png,figures/phase9/gradcam/P9A-010/resnet18/seed_17/clean/true_class_corrosion_overlay.png
P9A-010,521_1,resnet18,17,clean,clean,clean,predicted_class,5,hide_craze,hide_craze,corrosion,layer4.1,1x512x7x7,423044a36d0fe953eb20744fc6af7b5c725582d275a06c768e7a70401248b998,e87ca88dad134833a54171674332ea76920f957e7d7e1df10b9ec308ebeff8d8,frozen_imagenet_normalization_on_224x224_phase3_pixels,independent_per_map_minmax_after_relu,cb3d207822fc13b85dfd4c1c2a083684378f7493f626cf66b1f9d75c8788dbce,True,0.0,1.0,figures/phase9/gradcam/P9A-010/resnet18/seed_17/clean/input_rgb.png,figures/phase9/gradcam/P9A-010/resnet18/seed_17/clean/annotation_overlay.png,figures/phase9/gradcam/P9A-010/resnet18/seed_17/clean/predicted_class_hide_craze_heatmap.png,figures/phase9/gradcam/P9A-010/resnet18/seed_17/clean/predicted_class_hide_craze_overlay.png
