review_id,instance_id,source_image_id,method,condition_id,selection_event,eligibility_rule,true_label,clean_asset,degraded_asset
P9A-001,48_0,48,resnet18,clean,clean_consensus_error,consensus,surface_injure,pass_a/assets/P9A-001/clean.png,
P9A-002,51_0,51,mobilenet_v3_small,clean,clean_consensus_error,consensus,craze,pass_a/assets/P9A-002/clean.png,
P9A-003,57_0,57,mobilenet_v3_small,clean,clean_consensus_error,consensus,craze,pass_a/assets/P9A-003/clean.png,
P9A-004,142_0,142,resnet18,clean,clean_consensus_error,consensus,surface_injure,pass_a/assets/P9A-004/clean.png,
P9A-005,228_1,228,resnet18,clean,clean_consensus_error,consensus,hide_craze,pass_a/assets/P9A-005/clean.png,
P9A-006,255_0,255,mobilenet_v3_small,clean,clean_consensus_error,consensus,surface_injure,pass_a/assets/P9A-006/clean.png,
P9A-007,323_0,323,resnet18,clean,clean_consensus_error,consensus,corrosion,pass_a/assets/P9A-007/clean.png,
P9A-008,464_1,464,mobilenet_v3_small,clean,clean_consensus_error,consensus,hide_craze,pass_a/assets/P9A-008/clean.png,
P9A-009,521_0,521,resnet18,clean,clean_consensus_error,consensus,corrosion,pass_a/assets/P9A-009/clean.png,
P9A-010,521_1,521,resnet18,clean,clean_consensus_error,consensus,corrosion,pass_a/assets/P9A-010/clean.png,
P9A-011,32_0,32,resnet18,brightness_severe,severe_harmful_flip,consensus,thunderstrike,pass_a/assets/P9A-011/clean.png,pass_a/assets/P9A-011/degraded.png
P9A-012,32_1,32,resnet18,brightness_severe,severe_harmful_flip,consensus,thunderstrike,pass_a/assets/P9A-012/clean.png,pass_a/assets/P9A-012/degraded.png
P9A-013,46_0,46,resnet18,gaussian_blur_severe,severe_harmful_flip,consensus,corrosion,pass_a/assets/P9A-013/clean.png,pass_a/assets/P9A-013/degraded.png
P9A-014,46_1,46,resnet18,gaussian_blur_severe,severe_harmful_flip,consensus,corrosion,pass_a/assets/P9A-014/clean.png,pass_a/assets/P9A-014/degraded.png
P9A-015,51_1,51,resnet18,gaussian_blur_severe,severe_harmful_flip,consensus,craze,pass_a/assets/P9A-015/clean.png,pass_a/assets/P9A-015/degraded.png
P9A-016,57_0,57,resnet18,gaussian_blur_severe,severe_harmful_flip,consensus,craze,pass_a/assets/P9A-016/clean.png,pass_a/assets/P9A-016/degraded.png
P9A-017,112_0,112,resnet18,brightness_severe,severe_harmful_flip,consensus,thunderstrike,pass_a/assets/P9A-017/clean.png,pass_a/assets/P9A-017/degraded.png
P9A-018,161_0,161,resnet18,gaussian_blur_severe,severe_harmful_flip,consensus,corrosion,pass_a/assets/P9A-018/clean.png,pass_a/assets/P9A-018/degraded.png
P9A-019,209_0,209,resnet18,brightness_severe,severe_harmful_flip,consensus,hide_craze,pass_a/assets/P9A-019/clean.png,pass_a/assets/P9A-019/degraded.png
P9A-020,209_0,209,mobilenet_v3_small,gaussian_blur_severe,severe_harmful_flip,consensus,hide_craze,pass_a/assets/P9A-020/clean.png,pass_a/assets/P9A-020/degraded.png
P9A-021,238_0,238,resnet18,brightness_severe,severe_harmful_flip,consensus,crack,pass_a/assets/P9A-021/clean.png,pass_a/assets/P9A-021/degraded.png
P9A-022,238_1,238,resnet18,brightness_severe,severe_harmful_flip,consensus,crack,pass_a/assets/P9A-022/clean.png,pass_a/assets/P9A-022/degraded.png
P9A-023,252_0,252,resnet18,brightness_severe,severe_harmful_flip,consensus,crack,pass_a/assets/P9A-023/clean.png,pass_a/assets/P9A-023/degraded.png
P9A-024,255_1,255,resnet18,brightness_severe,severe_harmful_flip,consensus,surface_injure,pass_a/assets/P9A-024/clean.png,pass_a/assets/P9A-024/degraded.png
P9A-025,326_0,326,resnet18,brightness_severe,severe_harmful_flip,consensus,surface_injure,pass_a/assets/P9A-025/clean.png,pass_a/assets/P9A-025/degraded.png
P9A-026,326_1,326,resnet18,brightness_severe,severe_harmful_flip,consensus,craze,pass_a/assets/P9A-026/clean.png,pass_a/assets/P9A-026/degraded.png
P9A-027,370_1,370,resnet18,gaussian_blur_severe,severe_harmful_flip,consensus,corrosion,pass_a/assets/P9A-027/clean.png,pass_a/assets/P9A-027/degraded.png
P9A-028,464_0,464,resnet18,brightness_severe,severe_harmful_flip,consensus,craze,pass_a/assets/P9A-028/clean.png,pass_a/assets/P9A-028/degraded.png
P9A-029,597_0,597,resnet18,gaussian_blur_severe,severe_harmful_flip,consensus,hide_craze,pass_a/assets/P9A-029/clean.png,pass_a/assets/P9A-029/degraded.png
