method,class,support,clean_f1_mean,clean_f1_sample_sd,clean_recall_mean,clean_recall_sample_sd,mean_degraded_f1,mean_degraded_recall,mean_severe_f1,mean_severe_recall,harmful_flip_count,harmful_flip_denominator,harmful_flip_frequency,dominant_degraded_confusion_destinations,seed_prediction_unanimity_rate
hog,craze,27,0.5964912280701754,,0.6296296296296297,,0.5821401400515916,0.654320987654321,0.5161542164510714,0.5925925925925926,25,324,0.07716049382716049,hide_craze,not_applicable
hog,corrosion,30,0.4528301886792453,,0.4,,0.29164912661404163,0.20833333333333334,0.1294374299414622,0.075,69,360,0.19166666666666668,hide_craze,not_applicable
hog,surface_injure,33,0.5,,0.5151515151515151,,0.5033844756099004,0.5631313131313131,0.479695866352538,0.5681818181818181,7,396,0.017676767676767676,hide_craze,not_applicable
hog,thunderstrike,9,0.36363636363636365,,0.2222222222222222,,0.13333333333333333,0.07407407407407407,0.0,0.0,16,108,0.14814814814814814,surface_injure,not_applicable
hog,crack,14,0.34782608695652173,,0.2857142857142857,,0.30562645925714393,0.27976190476190477,0.28833333333333333,0.2857142857142857,10,168,0.05952380952380952,hide_craze,not_applicable
hog,hide_craze,49,0.6071428571428571,,0.6938775510204082,,0.6443049370573631,0.7551020408163265,0.6321269841269841,0.7448979591836734,29,588,0.04931972789115646,craze,not_applicable
lbp,craze,27,0.6779661016949152,,0.7407407407407407,,0.38351594559911045,0.35185185185185186,0.15833333333333333,0.14814814814814814,129,324,0.39814814814814814,surface_injure,not_applicable
lbp,corrosion,30,0.5263157894736842,,0.5,,0.300970439742151,0.24722222222222223,0.07569444444444445,0.05,98,360,0.2722222222222222,hide_craze,not_applicable
lbp,surface_injure,33,0.47058823529411764,,0.48484848484848486,,0.41215432963268117,0.5757575757575758,0.34954802803973883,0.5984848484848485,34,396,0.08585858585858586,hide_craze,not_applicable
lbp,thunderstrike,9,0.5,,0.3333333333333333,,0.19505772005772007,0.12962962962962962,0.0,0.0,23,108,0.21296296296296297,surface_injure,not_applicable
lbp,crack,14,0.6666666666666666,,0.6428571428571429,,0.41404501122454646,0.36904761904761907,0.1840277777777778,0.125,51,168,0.30357142857142855,hide_craze,not_applicable
lbp,hide_craze,49,0.7128712871287128,,0.7346938775510204,,0.5860083072238202,0.6564625850340136,0.5203147270925729,0.6071428571428572,71,588,0.12074829931972789,surface_injure,not_applicable
resnet18,craze,27,0.9285106124186584,0.0025548213600066713,0.9629629629629629,0.037037037037037035,0.7916894854905511,0.7376543209876543,0.6412318817179269,0.5401234567901234,222,972,0.22839506172839505,surface_injure,0.6153846153846154
resnet18,corrosion,30,0.8475347187806301,0.032035744304593224,0.8,0.033333333333333326,0.7403359992460312,0.6546296296296297,0.5899817864159185,0.49444444444444446,175,1080,0.16203703703703703,hide_craze,0.6230769230769231
resnet18,surface_injure,33,0.8454458330888537,0.047498766168946376,0.8181818181818182,0.12121212121212122,0.7752460169994194,0.8282828282828283,0.6903422967908405,0.7954545454545454,76,1188,0.06397306397306397,hide_craze,0.7132867132867133
resnet18,thunderstrike,9,0.9473684210526315,0.09116056881941462,0.9629629629629629,0.06415002990995845,0.8089646247476485,0.7716049382716049,0.6257300168871376,0.5462962962962963,62,324,0.19135802469135801,surface_injure,0.7692307692307693
resnet18,crack,14,0.8987764182424917,0.0038532832203979238,0.9523809523809524,0.041239304942116105,0.8307174250953734,0.8571428571428571,0.7363385499745732,0.7321428571428571,54,504,0.10714285714285714,hide_craze,0.7967032967032966
resnet18,hide_craze,49,0.9042505253031569,0.040823585584824906,0.9183673469387755,0.020408163265306145,0.8480903488768408,0.9155328798185941,0.774976751492353,0.891156462585034,70,1764,0.03968253968253968,surface_injure,0.8226059654631083
mobilenet_v3_small,craze,27,0.9146451033243486,0.049798405967838376,0.9135802469135802,0.021383343303319504,0.7824192399963399,0.7098765432098765,0.6534841533681067,0.5493827160493827,199,972,0.20473251028806586,surface_injure,0.7321937321937322
mobilenet_v3_small,corrosion,30,0.7912698412698412,0.027800444266884078,0.7555555555555555,0.019245008972987584,0.7385134946529232,0.6851851851851852,0.6631633971467714,0.5944444444444444,121,1080,0.11203703703703703,hide_craze,0.7051282051282052
mobilenet_v3_small,surface_injure,33,0.8498397435897436,0.022735522193871135,0.8282828282828283,0.017495462702715917,0.7845125238896669,0.8392255892255892,0.7064996333248826,0.8181818181818181,44,1188,0.037037037037037035,hide_craze,0.8135198135198135
mobilenet_v3_small,thunderstrike,9,0.9649122807017544,0.030386856273138228,1.0,0.0,0.8373655877719345,0.8055555555555556,0.6294707743237156,0.4907407407407407,63,324,0.19444444444444445,surface_injure,0.8461538461538461
mobilenet_v3_small,crack,14,0.9447534297367446,0.035963976723714215,1.0,0.0,0.8846572187067715,0.9265873015873016,0.808434840661036,0.8452380952380952,37,504,0.07341269841269842,surface_injure,0.9010989010989011
mobilenet_v3_small,hide_craze,49,0.9065039349072962,0.031471398539027556,0.9251700680272109,0.042482979580941486,0.8619472505523399,0.9058956916099773,0.8146717554901697,0.8877551020408163,75,1764,0.04251700680272109,surface_injure,0.8791208791208791
