agreement_rule,scope,condition_id,instance_id,true_label,category,hog_meets_correct_rule,lbp_meets_correct_rule,resnet18_meets_correct_rule,mobilenet_v3_small_meets_correct_rule
strict,clean,clean,32_0,thunderstrike,both_cnns_correct_both_handcrafted_wrong,False,False,True,True
strict,clean,clean,32_1,thunderstrike,both_cnns_correct_both_handcrafted_wrong,False,False,True,True
strict,clean,clean,46_0,corrosion,model_specific_failure,False,True,True,True
strict,clean,clean,48_0,surface_injure,misclassified_by_all_four,False,False,False,False
strict,clean,clean,48_0,surface_injure,missed_by_both_cnns,False,False,False,False
strict,clean,clean,51_0,craze,misclassified_by_all_four,False,False,False,False
strict,clean,clean,51_0,craze,missed_by_both_cnns,False,False,False,False
strict,clean,clean,51_1,craze,model_specific_failure,False,True,True,True
strict,clean,clean,57_1,surface_injure,missed_by_both_cnns,True,True,False,False
strict,clean,clean,81_1,craze,model_specific_failure,True,False,True,True
strict,clean,clean,142_0,surface_injure,misclassified_by_all_four,False,False,False,False
strict,clean,clean,142_0,surface_injure,missed_by_both_cnns,False,False,False,False
strict,clean,clean,161_0,corrosion,model_specific_failure,False,True,True,True
strict,clean,clean,163_0,hide_craze,model_specific_failure,False,True,True,True
strict,clean,clean,166_0,craze,model_specific_failure,False,True,True,True
strict,clean,clean,167_0,craze,model_specific_failure,True,False,True,True
strict,clean,clean,178_0,surface_injure,model_specific_failure,True,False,True,True
strict,clean,clean,178_1,surface_injure,model_specific_failure,False,True,True,True
strict,clean,clean,178_2,surface_injure,both_cnns_correct_both_handcrafted_wrong,False,False,True,True
strict,clean,clean,198_0,craze,model_specific_failure,False,True,True,True
strict,clean,clean,209_0,hide_craze,model_specific_failure,True,False,True,True
strict,clean,clean,217_0,surface_injure,both_cnns_correct_both_handcrafted_wrong,False,False,True,True
strict,clean,clean,228_0,hide_craze,missed_by_both_cnns,False,True,False,False
strict,clean,clean,234_0,surface_injure,model_specific_failure,True,True,False,True
strict,clean,clean,234_2,hide_craze,model_specific_failure,False,True,True,True
strict,clean,clean,238_0,crack,both_cnns_correct_both_handcrafted_wrong,False,False,True,True
strict,clean,clean,238_1,crack,both_cnns_correct_both_handcrafted_wrong,False,False,True,True
strict,clean,clean,252_0,crack,model_specific_failure,False,True,True,True
strict,clean,clean,255_0,surface_injure,misclassified_by_all_four,False,False,False,False
strict,clean,clean,255_0,surface_injure,missed_by_both_cnns,False,False,False,False
strict,clean,clean,257_1,surface_injure,model_specific_failure,True,False,True,True
strict,clean,clean,269_0,crack,model_specific_failure,True,False,True,True
strict,clean,clean,273_0,thunderstrike,both_cnns_correct_both_handcrafted_wrong,False,False,True,True
strict,clean,clean,285_0,surface_injure,both_cnns_correct_both_handcrafted_wrong,False,False,True,True
strict,clean,clean,285_1,surface_injure,both_cnns_correct_both_handcrafted_wrong,False,False,True,True
strict,clean,clean,318_0,crack,model_specific_failure,False,True,True,True
strict,clean,clean,323_0,corrosion,misclassified_by_all_four,False,False,False,False
strict,clean,clean,323_0,corrosion,missed_by_both_cnns,False,False,False,False
