method,condition_id,measure,value,count,denominator
resnet18,clean,correct_seed_count,0,7,162
resnet18,clean,correct_seed_count,1,9,162
resnet18,clean,correct_seed_count,2,15,162
resnet18,clean,correct_seed_count,3,131,162
resnet18,clean,unanimous_failure,True,7,162
resnet18,clean,majority_only_failure,True,9,162
resnet18,clean,seed_disagreement,True,26,162
resnet18,gaussian_blur_mild,correct_seed_count,0,4,162
resnet18,gaussian_blur_mild,correct_seed_count,1,10,162
resnet18,gaussian_blur_mild,correct_seed_count,2,23,162
resnet18,gaussian_blur_mild,correct_seed_count,3,125,162
resnet18,gaussian_blur_mild,unanimous_failure,True,4,162
resnet18,gaussian_blur_mild,majority_only_failure,True,10,162
resnet18,gaussian_blur_mild,seed_disagreement,True,35,162
resnet18,gaussian_blur_moderate,correct_seed_count,0,14,162
resnet18,gaussian_blur_moderate,correct_seed_count,1,11,162
resnet18,gaussian_blur_moderate,correct_seed_count,2,23,162
resnet18,gaussian_blur_moderate,correct_seed_count,3,114,162
resnet18,gaussian_blur_moderate,unanimous_failure,True,14,162
resnet18,gaussian_blur_moderate,majority_only_failure,True,11,162
resnet18,gaussian_blur_moderate,seed_disagreement,True,39,162
resnet18,gaussian_blur_severe,correct_seed_count,0,35,162
resnet18,gaussian_blur_severe,correct_seed_count,1,12,162
resnet18,gaussian_blur_severe,correct_seed_count,2,28,162
resnet18,gaussian_blur_severe,correct_seed_count,3,87,162
resnet18,gaussian_blur_severe,unanimous_failure,True,35,162
resnet18,gaussian_blur_severe,majority_only_failure,True,12,162
resnet18,gaussian_blur_severe,seed_disagreement,True,54,162
resnet18,resolution_mild,correct_seed_count,0,5,162
resnet18,resolution_mild,correct_seed_count,1,10,162
resnet18,resolution_mild,correct_seed_count,2,25,162
resnet18,resolution_mild,correct_seed_count,3,122,162
resnet18,resolution_mild,unanimous_failure,True,5,162
resnet18,resolution_mild,majority_only_failure,True,10,162
resnet18,resolution_mild,seed_disagreement,True,37,162
resnet18,resolution_moderate,correct_seed_count,0,11,162
resnet18,resolution_moderate,correct_seed_count,1,7,162
resnet18,resolution_moderate,correct_seed_count,2,27,162
resnet18,resolution_moderate,correct_seed_count,3,117,162
resnet18,resolution_moderate,unanimous_failure,True,11,162
resnet18,resolution_moderate,majority_only_failure,True,7,162
resnet18,resolution_moderate,seed_disagreement,True,38,162
resnet18,resolution_severe,correct_seed_count,0,25,162
resnet18,resolution_severe,correct_seed_count,1,12,162
resnet18,resolution_severe,correct_seed_count,2,31,162
resnet18,resolution_severe,correct_seed_count,3,94,162
resnet18,resolution_severe,unanimous_failure,True,25,162
resnet18,resolution_severe,majority_only_failure,True,12,162
resnet18,resolution_severe,seed_disagreement,True,53,162
resnet18,brightness_mild,correct_seed_count,0,7,162
resnet18,brightness_mild,correct_seed_count,1,10,162
resnet18,brightness_mild,correct_seed_count,2,21,162
resnet18,brightness_mild,correct_seed_count,3,124,162
resnet18,brightness_mild,unanimous_failure,True,7,162
resnet18,brightness_mild,majority_only_failure,True,10,162
resnet18,brightness_mild,seed_disagreement,True,34,162
resnet18,brightness_moderate,correct_seed_count,0,12,162
resnet18,brightness_moderate,correct_seed_count,1,13,162
resnet18,brightness_moderate,correct_seed_count,2,30,162
resnet18,brightness_moderate,correct_seed_count,3,107,162
resnet18,brightness_moderate,unanimous_failure,True,12,162
resnet18,brightness_moderate,majority_only_failure,True,13,162
resnet18,brightness_moderate,seed_disagreement,True,51,162
resnet18,brightness_severe,correct_seed_count,0,26,162
resnet18,brightness_severe,correct_seed_count,1,37,162
resnet18,brightness_severe,correct_seed_count,2,39,162
resnet18,brightness_severe,correct_seed_count,3,60,162
resnet18,brightness_severe,unanimous_failure,True,26,162
resnet18,brightness_severe,majority_only_failure,True,37,162
resnet18,brightness_severe,seed_disagreement,True,99,162
resnet18,jpeg_mild,correct_seed_count,0,5,162
resnet18,jpeg_mild,correct_seed_count,1,12,162
resnet18,jpeg_mild,correct_seed_count,2,19,162
