method,condition_id,instance_id,source_image_id,true_label,correct_seed_count,harmful_flip_seed_count,all_seeds_same_label,distinct_predicted_labels,unanimous_failure,majority_only_failure,seed_predictions
resnet18,clean,13_0,13,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,13_1,13,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,32_0,32,thunderstrike,3,0,True,1,False,False,17:thunderstrike|29:thunderstrike|43:thunderstrike
resnet18,clean,32_1,32,thunderstrike,3,0,True,1,False,False,17:thunderstrike|29:thunderstrike|43:thunderstrike
resnet18,clean,46_0,46,corrosion,3,0,True,1,False,False,17:corrosion|29:corrosion|43:corrosion
resnet18,clean,46_1,46,corrosion,3,0,True,1,False,False,17:corrosion|29:corrosion|43:corrosion
resnet18,clean,48_0,48,surface_injure,0,0,True,1,True,False,17:craze|29:craze|43:craze
resnet18,clean,51_0,51,craze,1,0,False,2,False,True,17:corrosion|29:corrosion|43:craze
resnet18,clean,51_1,51,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,54_0,54,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,54_1,54,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,57_0,57,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,57_1,57,surface_injure,2,0,False,2,False,False,17:surface_injure|29:corrosion|43:surface_injure
resnet18,clean,61_0,61,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,61_1,61,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,61_2,61,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,65_0,65,corrosion,2,0,False,2,False,False,17:corrosion|29:hide_craze|43:corrosion
resnet18,clean,67_0,67,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,71_0,71,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,73_0,73,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,81_0,81,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,81_1,81,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,81_2,81,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,88_0,88,crack,1,0,False,2,False,True,17:crack|29:hide_craze|43:hide_craze
resnet18,clean,93_0,93,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,103_0,103,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,112_0,112,thunderstrike,3,0,True,1,False,False,17:thunderstrike|29:thunderstrike|43:thunderstrike
resnet18,clean,112_1,112,surface_injure,3,0,True,1,False,False,17:surface_injure|29:surface_injure|43:surface_injure
resnet18,clean,142_0,142,surface_injure,0,0,True,1,True,False,17:corrosion|29:corrosion|43:corrosion
resnet18,clean,146_0,146,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,156_0,156,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,161_0,161,corrosion,3,0,True,1,False,False,17:corrosion|29:corrosion|43:corrosion
resnet18,clean,163_0,163,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,166_0,166,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,167_0,167,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,167_1,167,craze,2,0,False,2,False,False,17:hide_craze|29:craze|43:craze
resnet18,clean,178_0,178,surface_injure,3,0,True,1,False,False,17:surface_injure|29:surface_injure|43:surface_injure
resnet18,clean,178_1,178,surface_injure,3,0,True,1,False,False,17:surface_injure|29:surface_injure|43:surface_injure
resnet18,clean,178_2,178,surface_injure,3,0,True,1,False,False,17:surface_injure|29:surface_injure|43:surface_injure
resnet18,clean,198_0,198,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,198_1,198,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,209_0,209,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,214_0,214,craze,3,0,True,1,False,False,17:craze|29:craze|43:craze
resnet18,clean,216_0,216,crack,3,0,True,1,False,False,17:crack|29:crack|43:crack
resnet18,clean,217_0,217,surface_injure,3,0,True,1,False,False,17:surface_injure|29:surface_injure|43:surface_injure
resnet18,clean,224_0,224,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,228_0,228,hide_craze,1,0,False,2,False,True,17:hide_craze|29:crack|43:crack
resnet18,clean,228_1,228,hide_craze,0,0,True,1,True,False,17:craze|29:craze|43:craze
resnet18,clean,234_0,234,surface_injure,2,0,False,2,False,False,17:surface_injure|29:hide_craze|43:surface_injure
resnet18,clean,234_1,234,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,234_2,234,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,234_3,234,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,234_4,234,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,238_0,238,crack,3,0,True,1,False,False,17:crack|29:crack|43:crack
resnet18,clean,238_1,238,crack,3,0,True,1,False,False,17:crack|29:crack|43:crack
resnet18,clean,250_0,250,crack,3,0,True,1,False,False,17:crack|29:crack|43:crack
resnet18,clean,252_0,252,crack,3,0,True,1,False,False,17:crack|29:crack|43:crack
resnet18,clean,255_0,255,surface_injure,1,0,False,2,False,True,17:hide_craze|29:hide_craze|43:surface_injure
resnet18,clean,255_1,255,surface_injure,3,0,True,1,False,False,17:surface_injure|29:surface_injure|43:surface_injure
resnet18,clean,257_0,257,surface_injure,2,0,False,2,False,False,17:surface_injure|29:corrosion|43:surface_injure
resnet18,clean,257_1,257,surface_injure,3,0,True,1,False,False,17:surface_injure|29:surface_injure|43:surface_injure
resnet18,clean,269_0,269,crack,3,0,True,1,False,False,17:crack|29:crack|43:crack
resnet18,clean,273_0,273,thunderstrike,3,0,True,1,False,False,17:thunderstrike|29:thunderstrike|43:thunderstrike
resnet18,clean,273_1,273,surface_injure,3,0,True,1,False,False,17:surface_injure|29:surface_injure|43:surface_injure
resnet18,clean,276_0,276,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,276_1,276,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,284_0,284,hide_craze,3,0,True,1,False,False,17:hide_craze|29:hide_craze|43:hide_craze
resnet18,clean,285_0,285,surface_injure,3,0,True,1,False,False,17:surface_injure|29:surface_injure|43:surface_injure
resnet18,clean,285_1,285,surface_injure,3,0,True,1,False,False,17:surface_injure|29:surface_injure|43:surface_injure
resnet18,clean,318_0,318,crack,3,0,True,1,False,False,17:crack|29:crack|43:crack
resnet18,clean,322_0,322,corrosion,3,0,True,1,False,False,17:corrosion|29:corrosion|43:corrosion
resnet18,clean,323_0,323,corrosion,0,0,False,2,True,False,17:surface_injure|29:hide_craze|43:surface_injure
