method,seed,condition_id,true_label,support,dominant_incorrect_destination,dominant_incorrect_count
hog,not_applicable,clean,craze,27,corrosion|hide_craze,4
hog,not_applicable,clean,corrosion,30,hide_craze,9
hog,not_applicable,clean,surface_injure,33,hide_craze,10
hog,not_applicable,clean,thunderstrike,9,surface_injure,3
hog,not_applicable,clean,crack,14,hide_craze,4
hog,not_applicable,clean,hide_craze,49,craze,5
hog,not_applicable,gaussian_blur_mild,craze,27,corrosion,4
hog,not_applicable,gaussian_blur_mild,corrosion,30,hide_craze,9
hog,not_applicable,gaussian_blur_mild,surface_injure,33,hide_craze,9
hog,not_applicable,gaussian_blur_mild,thunderstrike,9,surface_injure,4
hog,not_applicable,gaussian_blur_mild,crack,14,hide_craze,4
hog,not_applicable,gaussian_blur_mild,hide_craze,49,craze,6
hog,not_applicable,gaussian_blur_moderate,craze,27,corrosion|surface_injure|crack|hide_craze,1
hog,not_applicable,gaussian_blur_moderate,corrosion,30,hide_craze,9
hog,not_applicable,gaussian_blur_moderate,surface_injure,33,hide_craze,9
hog,not_applicable,gaussian_blur_moderate,thunderstrike,9,surface_injure,4
hog,not_applicable,gaussian_blur_moderate,crack,14,craze|hide_craze,3
hog,not_applicable,gaussian_blur_moderate,hide_craze,49,craze,9
hog,not_applicable,gaussian_blur_severe,craze,27,surface_injure|crack|hide_craze,1
hog,not_applicable,gaussian_blur_severe,corrosion,30,surface_injure|crack,8
hog,not_applicable,gaussian_blur_severe,surface_injure,33,crack,6
hog,not_applicable,gaussian_blur_severe,thunderstrike,9,craze,5
hog,not_applicable,gaussian_blur_severe,crack,14,craze,4
hog,not_applicable,gaussian_blur_severe,hide_craze,49,craze,11
hog,not_applicable,resolution_mild,craze,27,corrosion,3
hog,not_applicable,resolution_mild,corrosion,30,hide_craze,8
hog,not_applicable,resolution_mild,surface_injure,33,hide_craze,9
hog,not_applicable,resolution_mild,thunderstrike,9,surface_injure,3
hog,not_applicable,resolution_mild,crack,14,hide_craze,4
hog,not_applicable,resolution_mild,hide_craze,49,craze,5
hog,not_applicable,resolution_moderate,craze,27,corrosion|surface_injure|crack,1
hog,not_applicable,resolution_moderate,corrosion,30,hide_craze,9
hog,not_applicable,resolution_moderate,surface_injure,33,hide_craze,9
hog,not_applicable,resolution_moderate,thunderstrike,9,craze|surface_injure,3
hog,not_applicable,resolution_moderate,crack,14,craze,4
hog,not_applicable,resolution_moderate,hide_craze,49,craze,7
hog,not_applicable,resolution_severe,craze,27,hide_craze,4
hog,not_applicable,resolution_severe,corrosion,30,hide_craze,10
hog,not_applicable,resolution_severe,surface_injure,33,hide_craze,9
hog,not_applicable,resolution_severe,thunderstrike,9,surface_injure,5
hog,not_applicable,resolution_severe,crack,14,hide_craze,5
hog,not_applicable,resolution_severe,hide_craze,49,craze,6
hog,not_applicable,brightness_mild,craze,27,corrosion|hide_craze,4
hog,not_applicable,brightness_mild,corrosion,30,hide_craze,11
hog,not_applicable,brightness_mild,surface_injure,33,hide_craze,10
hog,not_applicable,brightness_mild,thunderstrike,9,surface_injure,5
hog,not_applicable,brightness_mild,crack,14,surface_injure,6
hog,not_applicable,brightness_mild,hide_craze,49,craze,5
hog,not_applicable,brightness_moderate,craze,27,hide_craze,7
hog,not_applicable,brightness_moderate,corrosion,30,hide_craze,12
hog,not_applicable,brightness_moderate,surface_injure,33,hide_craze,10
hog,not_applicable,brightness_moderate,thunderstrike,9,surface_injure,5
hog,not_applicable,brightness_moderate,crack,14,hide_craze,6
hog,not_applicable,brightness_moderate,hide_craze,49,craze,5
hog,not_applicable,brightness_severe,craze,27,hide_craze,8
hog,not_applicable,brightness_severe,corrosion,30,hide_craze,14
hog,not_applicable,brightness_severe,surface_injure,33,hide_craze,10
hog,not_applicable,brightness_severe,thunderstrike,9,surface_injure,6
hog,not_applicable,brightness_severe,crack,14,surface_injure,7
hog,not_applicable,brightness_severe,hide_craze,49,craze|surface_injure,5
hog,not_applicable,jpeg_mild,craze,27,corrosion|hide_craze,4
hog,not_applicable,jpeg_mild,corrosion,30,surface_injure|hide_craze,7
hog,not_applicable,jpeg_mild,surface_injure,33,hide_craze,8
hog,not_applicable,jpeg_mild,thunderstrike,9,surface_injure,4
hog,not_applicable,jpeg_mild,crack,14,hide_craze,5
hog,not_applicable,jpeg_mild,hide_craze,49,surface_injure,5
hog,not_applicable,jpeg_moderate,craze,27,surface_injure,6
hog,not_applicable,jpeg_moderate,corrosion,30,hide_craze,11
hog,not_applicable,jpeg_moderate,surface_injure,33,hide_craze,10
hog,not_applicable,jpeg_moderate,thunderstrike,9,surface_injure,4
hog,not_applicable,jpeg_moderate,crack,14,surface_injure|hide_craze,4
hog,not_applicable,jpeg_moderate,hide_craze,49,surface_injure,4
hog,not_applicable,jpeg_severe,craze,27,surface_injure,12
hog,not_applicable,jpeg_severe,corrosion,30,hide_craze,14
hog,not_applicable,jpeg_severe,surface_injure,33,hide_craze,11
hog,not_applicable,jpeg_severe,thunderstrike,9,surface_injure,5
hog,not_applicable,jpeg_severe,crack,14,hide_craze,6
hog,not_applicable,jpeg_severe,hide_craze,49,surface_injure,7
lbp,not_applicable,clean,craze,27,corrosion,4
lbp,not_applicable,clean,corrosion,30,hide_craze,6
lbp,not_applicable,clean,surface_injure,33,hide_craze,6
lbp,not_applicable,clean,thunderstrike,9,craze|surface_injure,2
lbp,not_applicable,clean,crack,14,hide_craze,3
lbp,not_applicable,clean,hide_craze,49,surface_injure,8
lbp,not_applicable,gaussian_blur_mild,craze,27,corrosion|surface_injure,3
lbp,not_applicable,gaussian_blur_mild,corrosion,30,craze|surface_injure|crack|hide_craze,4
lbp,not_applicable,gaussian_blur_mild,surface_injure,33,hide_craze,8
lbp,not_applicable,gaussian_blur_mild,thunderstrike,9,corrosion,3
lbp,not_applicable,gaussian_blur_mild,crack,14,surface_injure|hide_craze,2
lbp,not_applicable,gaussian_blur_mild,hide_craze,49,surface_injure,11
lbp,not_applicable,gaussian_blur_moderate,craze,27,surface_injure,19
lbp,not_applicable,gaussian_blur_moderate,corrosion,30,surface_injure,10
lbp,not_applicable,gaussian_blur_moderate,surface_injure,33,hide_craze,7
lbp,not_applicable,gaussian_blur_moderate,thunderstrike,9,surface_injure,4
lbp,not_applicable,gaussian_blur_moderate,crack,14,surface_injure,4
lbp,not_applicable,gaussian_blur_moderate,hide_craze,49,surface_injure,16
lbp,not_applicable,gaussian_blur_severe,craze,27,surface_injure,23
lbp,not_applicable,gaussian_blur_severe,corrosion,30,surface_injure,20
