method,condition_id,corruption_family,severity,replicate_count,denominator_per_replicate,stable_correct_mean,stable_correct_sample_sd,harmful_flip_mean,harmful_flip_sample_sd,beneficial_flip_mean,beneficial_flip_sample_sd,changed_wrong_mean,changed_wrong_sample_sd,stable_wrong_mean,stable_wrong_sample_sd,total_prediction_flips_mean,total_prediction_flips_sample_sd,prediction_flip_rate_mean,prediction_flip_rate_sample_sd
hog,gaussian_blur_mild,gaussian_blur,mild,1,162,84.0,,2.0,,3.0,,3.0,,70.0,,8.0,,0.04938271604938271,
hog,gaussian_blur_moderate,gaussian_blur,moderate,1,162,73.0,,13.0,,14.0,,10.0,,52.0,,37.0,,0.22839506172839505,
hog,gaussian_blur_severe,gaussian_blur,severe,1,162,62.0,,24.0,,18.0,,25.0,,33.0,,67.0,,0.41358024691358025,
hog,resolution_mild,resolution,mild,1,162,82.0,,4.0,,10.0,,7.0,,59.0,,21.0,,0.12962962962962962,
hog,resolution_moderate,resolution,moderate,1,162,76.0,,10.0,,16.0,,9.0,,51.0,,35.0,,0.21604938271604937,
hog,resolution_severe,resolution,severe,1,162,70.0,,16.0,,16.0,,15.0,,45.0,,47.0,,0.29012345679012347,
hog,brightness_mild,brightness,mild,1,162,80.0,,6.0,,6.0,,5.0,,65.0,,17.0,,0.10493827160493827,
hog,brightness_moderate,brightness,moderate,1,162,74.0,,12.0,,8.0,,11.0,,57.0,,31.0,,0.19135802469135801,
hog,brightness_severe,brightness,severe,1,162,64.0,,22.0,,12.0,,13.0,,51.0,,47.0,,0.29012345679012347,
hog,jpeg_mild,jpeg,mild,1,162,79.0,,7.0,,7.0,,8.0,,61.0,,22.0,,0.13580246913580246,
hog,jpeg_moderate,jpeg,moderate,1,162,74.0,,12.0,,13.0,,10.0,,53.0,,35.0,,0.21604938271604937,
hog,jpeg_severe,jpeg,severe,1,162,58.0,,28.0,,10.0,,16.0,,50.0,,54.0,,0.3333333333333333,
lbp,gaussian_blur_mild,gaussian_blur,mild,1,162,90.0,,9.0,,4.0,,6.0,,53.0,,19.0,,0.11728395061728394,
lbp,gaussian_blur_moderate,gaussian_blur,moderate,1,162,60.0,,39.0,,10.0,,21.0,,32.0,,70.0,,0.43209876543209874,
lbp,gaussian_blur_severe,gaussian_blur,severe,1,162,41.0,,58.0,,10.0,,25.0,,28.0,,93.0,,0.5740740740740741,
lbp,resolution_mild,resolution,mild,1,162,82.0,,17.0,,8.0,,18.0,,37.0,,43.0,,0.2654320987654321,
lbp,resolution_moderate,resolution,moderate,1,162,58.0,,41.0,,11.0,,18.0,,34.0,,70.0,,0.43209876543209874,
lbp,resolution_severe,resolution,severe,1,162,35.0,,64.0,,13.0,,23.0,,27.0,,100.0,,0.6172839506172839,
lbp,brightness_mild,brightness,mild,1,162,91.0,,8.0,,3.0,,10.0,,50.0,,21.0,,0.12962962962962962,
lbp,brightness_moderate,brightness,moderate,1,162,74.0,,25.0,,12.0,,16.0,,35.0,,53.0,,0.3271604938271605,
lbp,brightness_severe,brightness,severe,1,162,55.0,,44.0,,10.0,,29.0,,24.0,,83.0,,0.5123456790123457,
lbp,jpeg_mild,jpeg,mild,1,162,81.0,,18.0,,6.0,,15.0,,42.0,,39.0,,0.24074074074074073,
lbp,jpeg_moderate,jpeg,moderate,1,162,64.0,,35.0,,12.0,,17.0,,34.0,,64.0,,0.3950617283950617,
lbp,jpeg_severe,jpeg,severe,1,162,51.0,,48.0,,12.0,,22.0,,29.0,,82.0,,0.5061728395061729,
resnet18,gaussian_blur_mild,gaussian_blur,mild,3,162,140.33333333333334,1.5275252316519468,3.6666666666666665,2.516611478423583,3.3333333333333335,3.2145502536643185,1.0,1.0,13.666666666666666,0.5773502691896257,8.0,1.0,0.04938271604938271,0.006172839506172839
resnet18,gaussian_blur_moderate,gaussian_blur,moderate,3,162,127.0,2.0,17.0,2.0,6.0,3.4641016151377544,1.3333333333333333,1.5275252316519468,10.666666666666666,1.5275252316519468,24.333333333333332,1.5275252316519468,0.1502057613168724,0.009429168096616954
resnet18,gaussian_blur_severe,gaussian_blur,severe,3,162,101.66666666666667,3.7859388972001824,42.333333333333336,4.041451884327381,8.0,4.358898943540674,3.3333333333333335,1.5275252316519468,6.666666666666667,2.0816659994661326,53.666666666666664,2.516611478423583,0.33127572016460904,0.015534638755701116
resnet18,resolution_mild,resolution,mild,3,162,138.0,2.0,6.0,4.0,4.0,2.6457513110645907,0.6666666666666666,1.1547005383792515,13.333333333333334,1.5275252316519468,10.666666666666666,2.0816659994661326,0.06584362139917695,0.012849790120161313
resnet18,resolution_moderate,resolution,moderate,3,162,132.0,3.0,12.0,4.58257569495584,5.333333333333333,3.2145502536643185,1.0,1.7320508075688772,11.666666666666666,1.5275252316519468,18.333333333333332,2.309401076758503,0.11316872427983539,0.014255562202212982
resnet18,resolution_severe,resolution,severe,3,162,113.0,1.0,31.0,4.358898943540674,5.666666666666667,2.516611478423583,3.0,1.0,9.333333333333334,3.0550504633038935,39.666666666666664,4.041451884327381,0.2448559670781893,0.02494723385387272
resnet18,brightness_mild,brightness,mild,3,162,137.66666666666666,4.932882862316247,6.333333333333333,1.5275252316519468,3.6666666666666665,1.5275252316519468,2.3333333333333335,0.5773502691896257,12.0,3.0,12.333333333333334,2.516611478423583,0.07613168724279835,0.01553463875570113
resnet18,brightness_moderate,brightness,moderate,3,162,125.0,2.0,19.0,2.0,6.333333333333333,3.511884584284246,3.0,1.0,8.666666666666666,2.516611478423583,28.333333333333332,3.7859388972001824,0.17489711934156377,0.023369993192593717
resnet18,brightness_severe,brightness,severe,3,162,90.66666666666667,8.504900548115382,53.333333333333336,9.29157324317757,7.666666666666667,4.618802153517006,4.0,3.0,6.333333333333333,2.0816659994661326,65.0,10.14889156509222,0.4012345679012346,0.06264747879686555
resnet18,jpeg_mild,jpeg,mild,3,162,140.0,3.4641016151377544,4.0,0.0,2.6666666666666665,1.1547005383792515,1.0,1.0,14.333333333333334,4.509249752822894,7.666666666666667,2.0816659994661326,0.047325102880658436,0.012849790120161313
resnet18,jpeg_moderate,jpeg,moderate,3,162,136.33333333333334,2.516611478423583,7.666666666666667,2.0816659994661326,2.6666666666666665,0.5773502691896257,1.3333333333333333,1.5275252316519468,14.0,4.0,11.666666666666666,1.5275252316519468,0.07201646090534979,0.009429168096616954
resnet18,jpeg_severe,jpeg,severe,3,162,126.66666666666667,1.5275252316519468,17.333333333333332,4.725815626252609,4.666666666666667,1.5275252316519468,2.6666666666666665,1.5275252316519468,10.666666666666666,4.041451884327381,24.666666666666668,4.932882862316247,0.1522633744855967,0.030449894211828685
mobilenet_v3_small,gaussian_blur_mild,gaussian_blur,mild,3,162,139.0,4.0,4.0,3.0,2.0,1.7320508075688772,1.3333333333333333,1.1547005383792515,15.666666666666666,2.309401076758503,7.333333333333333,4.618802153517006,0.04526748971193415,0.028511124404425964
mobilenet_v3_small,gaussian_blur_moderate,gaussian_blur,moderate,3,162,131.0,2.6457513110645907,12.0,2.0,4.666666666666667,2.516611478423583,1.6666666666666667,1.5275252316519468,12.666666666666666,3.511884584284246,18.333333333333332,3.7859388972001824,0.11316872427983539,0.023369993192593717
mobilenet_v3_small,gaussian_blur_severe,gaussian_blur,severe,3,162,107.0,4.358898943540674,36.0,4.358898943540674,5.0,2.0,3.6666666666666665,1.5275252316519468,10.333333333333334,3.0550504633038935,44.666666666666664,7.371114795831994,0.27572016460905346,0.04550070861624689
mobilenet_v3_small,resolution_mild,resolution,mild,3,162,137.33333333333334,3.511884584284246,5.666666666666667,2.516611478423583,3.0,2.6457513110645907,1.3333333333333333,1.1547005383792515,14.666666666666666,3.2145502536643185,10.0,5.291502622129181,0.06172839506172839,0.03266359643289618
mobilenet_v3_small,resolution_moderate,resolution,moderate,3,162,133.33333333333334,2.516611478423583,9.666666666666666,1.5275252316519468,4.333333333333333,2.516611478423583,2.0,2.0,12.666666666666666,3.0550504633038935,16.0,5.196152422706632,0.09876543209876543,0.032075014954979206
mobilenet_v3_small,resolution_severe,resolution,severe,3,162,116.33333333333333,0.5773502691896257,26.666666666666668,0.5773502691896257,5.666666666666667,0.5773502691896257,3.6666666666666665,3.2145502536643185,9.666666666666666,2.0816659994661326,36.0,2.6457513110645907,0.2222222222222222,0.01633179821644809
mobilenet_v3_small,brightness_mild,brightness,mild,3,162,139.0,2.0,4.0,1.7320508075688772,1.6666666666666667,2.0816659994661326,2.0,1.0,15.333333333333334,0.5773502691896257,7.666666666666667,2.516611478423583,0.047325102880658436,0.01553463875570113
mobilenet_v3_small,brightness_moderate,brightness,moderate,3,162,132.66666666666666,2.516611478423583,10.333333333333334,1.5275252316519468,4.0,1.7320508075688772,2.0,1.0,13.0,0.0,16.333333333333332,2.516611478423583,0.10082304526748971,0.01553463875570113
mobilenet_v3_small,brightness_severe,brightness,severe,3,162,105.33333333333333,4.932882862316247,37.666666666666664,4.041451884327381,8.666666666666666,4.041451884327381,4.666666666666667,0.5773502691896257,5.666666666666667,2.516611478423583,51.0,7.211102550927978,0.3148148148148148,0.044512978709431966
mobilenet_v3_small,jpeg_mild,jpeg,mild,3,162,136.33333333333334,2.516611478423583,6.666666666666667,2.0816659994661326,2.3333333333333335,2.0816659994661326,1.6666666666666667,2.0816659994661326,15.0,2.0,10.666666666666666,4.041451884327381,0.06584362139917695,0.02494723385387272
mobilenet_v3_small,jpeg_moderate,jpeg,moderate,3,162,133.0,3.0,10.0,2.0,3.0,1.0,2.0,2.0,14.0,2.0,15.0,4.358898943540674,0.09259259259259259,0.026906783602102923
mobilenet_v3_small,jpeg_severe,jpeg,severe,3,162,126.0,3.605551275463989,17.0,2.6457513110645907,3.6666666666666665,0.5773502691896257,3.0,1.7320508075688772,12.333333333333334,2.0816659994661326,23.666666666666668,3.0550504633038935,0.14609053497942387,0.018858336193233908
