method,seed,condition_id,corruption_family,severity,stable_correct,harmful_flip,beneficial_flip,changed_wrong,stable_wrong,total_prediction_flips,denominator,prediction_flip_rate
hog,not_applicable,gaussian_blur_mild,gaussian_blur,mild,84,2,3,3,70,8,162,0.04938271604938271
hog,not_applicable,gaussian_blur_moderate,gaussian_blur,moderate,73,13,14,10,52,37,162,0.22839506172839505
hog,not_applicable,gaussian_blur_severe,gaussian_blur,severe,62,24,18,25,33,67,162,0.41358024691358025
hog,not_applicable,resolution_mild,resolution,mild,82,4,10,7,59,21,162,0.12962962962962962
hog,not_applicable,resolution_moderate,resolution,moderate,76,10,16,9,51,35,162,0.21604938271604937
hog,not_applicable,resolution_severe,resolution,severe,70,16,16,15,45,47,162,0.29012345679012347
hog,not_applicable,brightness_mild,brightness,mild,80,6,6,5,65,17,162,0.10493827160493827
hog,not_applicable,brightness_moderate,brightness,moderate,74,12,8,11,57,31,162,0.19135802469135801
hog,not_applicable,brightness_severe,brightness,severe,64,22,12,13,51,47,162,0.29012345679012347
hog,not_applicable,jpeg_mild,jpeg,mild,79,7,7,8,61,22,162,0.13580246913580246
hog,not_applicable,jpeg_moderate,jpeg,moderate,74,12,13,10,53,35,162,0.21604938271604937
hog,not_applicable,jpeg_severe,jpeg,severe,58,28,10,16,50,54,162,0.3333333333333333
lbp,not_applicable,gaussian_blur_mild,gaussian_blur,mild,90,9,4,6,53,19,162,0.11728395061728394
lbp,not_applicable,gaussian_blur_moderate,gaussian_blur,moderate,60,39,10,21,32,70,162,0.43209876543209874
lbp,not_applicable,gaussian_blur_severe,gaussian_blur,severe,41,58,10,25,28,93,162,0.5740740740740741
lbp,not_applicable,resolution_mild,resolution,mild,82,17,8,18,37,43,162,0.2654320987654321
lbp,not_applicable,resolution_moderate,resolution,moderate,58,41,11,18,34,70,162,0.43209876543209874
lbp,not_applicable,resolution_severe,resolution,severe,35,64,13,23,27,100,162,0.6172839506172839
lbp,not_applicable,brightness_mild,brightness,mild,91,8,3,10,50,21,162,0.12962962962962962
lbp,not_applicable,brightness_moderate,brightness,moderate,74,25,12,16,35,53,162,0.3271604938271605
lbp,not_applicable,brightness_severe,brightness,severe,55,44,10,29,24,83,162,0.5123456790123457
lbp,not_applicable,jpeg_mild,jpeg,mild,81,18,6,15,42,39,162,0.24074074074074073
lbp,not_applicable,jpeg_moderate,jpeg,moderate,64,35,12,17,34,64,162,0.3950617283950617
lbp,not_applicable,jpeg_severe,jpeg,severe,51,48,12,22,29,82,162,0.5061728395061729
resnet18,17,gaussian_blur_mild,gaussian_blur,mild,140,6,2,0,14,8,162,0.04938271604938271
resnet18,17,gaussian_blur_moderate,gaussian_blur,moderate,127,19,4,0,12,23,162,0.1419753086419753
resnet18,17,gaussian_blur_severe,gaussian_blur,severe,99,47,5,2,9,54,162,0.3333333333333333
resnet18,17,resolution_mild,resolution,mild,136,10,3,0,13,13,162,0.08024691358024691
resnet18,17,resolution_moderate,resolution,moderate,129,17,4,0,12,21,162,0.12962962962962962
resnet18,17,resolution_severe,resolution,severe,113,33,3,3,10,39,162,0.24074074074074073
resnet18,17,brightness_mild,brightness,mild,140,6,2,2,12,10,162,0.06172839506172839
resnet18,17,brightness_moderate,brightness,moderate,127,19,3,2,11,24,162,0.14814814814814814
resnet18,17,brightness_severe,brightness,severe,99,47,5,4,7,56,162,0.345679012345679
resnet18,17,jpeg_mild,jpeg,mild,142,4,2,0,14,6,162,0.037037037037037035
resnet18,17,jpeg_moderate,jpeg,moderate,136,10,2,0,14,12,162,0.07407407407407407
resnet18,17,jpeg_severe,jpeg,severe,125,21,3,3,10,27,162,0.16666666666666666
resnet18,29,gaussian_blur_mild,gaussian_blur,mild,139,1,7,1,14,9,162,0.05555555555555555
resnet18,29,gaussian_blur_moderate,gaussian_blur,moderate,125,15,10,1,11,26,162,0.16049382716049382
resnet18,29,gaussian_blur_severe,gaussian_blur,severe,100,40,13,3,6,56,162,0.345679012345679
resnet18,29,resolution_mild,resolution,mild,138,2,7,0,15,9,162,0.05555555555555555
resnet18,29,resolution_moderate,resolution,moderate,132,8,9,0,13,17,162,0.10493827160493827
resnet18,29,resolution_severe,resolution,severe,114,26,8,2,12,36,162,0.2222222222222222
resnet18,29,brightness_mild,brightness,mild,132,8,4,3,15,15,162,0.09259259259259259
resnet18,29,brightness_moderate,brightness,moderate,123,17,10,3,9,30,162,0.18518518518518517
resnet18,29,brightness_severe,brightness,severe,91,49,13,1,8,63,162,0.3888888888888889
resnet18,29,jpeg_mild,jpeg,mild,136,4,2,1,19,7,162,0.043209876543209874
resnet18,29,jpeg_moderate,jpeg,moderate,134,6,3,1,18,10,162,0.06172839506172839
resnet18,29,jpeg_severe,jpeg,severe,128,12,6,1,15,19,162,0.11728395061728394
resnet18,43,gaussian_blur_mild,gaussian_blur,mild,142,4,1,2,13,7,162,0.043209876543209874
resnet18,43,gaussian_blur_moderate,gaussian_blur,moderate,129,17,4,3,9,24,162,0.14814814814814814
resnet18,43,gaussian_blur_severe,gaussian_blur,severe,106,40,6,5,5,51,162,0.3148148148148148
resnet18,43,resolution_mild,resolution,mild,140,6,2,2,12,10,162,0.06172839506172839
resnet18,43,resolution_moderate,resolution,moderate,135,11,3,3,10,17,162,0.10493827160493827
resnet18,43,resolution_severe,resolution,severe,112,34,6,4,6,44,162,0.2716049382716049
resnet18,43,brightness_mild,brightness,mild,141,5,5,2,9,12,162,0.07407407407407407
resnet18,43,brightness_moderate,brightness,moderate,125,21,6,4,6,31,162,0.19135802469135801
resnet18,43,brightness_severe,brightness,severe,82,64,5,7,4,76,162,0.4691358024691358
resnet18,43,jpeg_mild,jpeg,mild,142,4,4,2,10,10,162,0.06172839506172839
resnet18,43,jpeg_moderate,jpeg,moderate,139,7,3,3,10,13,162,0.08024691358024691
resnet18,43,jpeg_severe,jpeg,severe,127,19,5,4,7,28,162,0.1728395061728395
mobilenet_v3_small,17,gaussian_blur_mild,gaussian_blur,mild,143,1,1,0,17,2,162,0.012345679012345678
mobilenet_v3_small,17,gaussian_blur_moderate,gaussian_blur,moderate,132,12,2,0,16,14,162,0.08641975308641975
mobilenet_v3_small,17,gaussian_blur_severe,gaussian_blur,severe,110,34,3,2,13,39,162,0.24074074074074073
mobilenet_v3_small,17,resolution_mild,resolution,mild,141,3,1,0,17,4,162,0.024691358024691357
mobilenet_v3_small,17,resolution_moderate,resolution,moderate,136,8,2,0,16,10,162,0.06172839506172839
mobilenet_v3_small,17,resolution_severe,resolution,severe,117,27,6,0,12,33,162,0.2037037037037037
mobilenet_v3_small,17,brightness_mild,brightness,mild,141,3,0,2,16,5,162,0.030864197530864196
mobilenet_v3_small,17,brightness_moderate,brightness,moderate,135,9,3,2,13,14,162,0.08641975308641975
mobilenet_v3_small,17,brightness_severe,brightness,severe,111,33,5,5,8,43,162,0.2654320987654321
mobilenet_v3_small,17,jpeg_mild,jpeg,mild,139,5,0,1,17,6,162,0.037037037037037035
mobilenet_v3_small,17,jpeg_moderate,jpeg,moderate,136,8,2,2,14,12,162,0.07407407407407407
mobilenet_v3_small,17,jpeg_severe,jpeg,severe,129,15,4,4,10,23,162,0.1419753086419753
mobilenet_v3_small,29,gaussian_blur_mild,gaussian_blur,mild,135,7,1,2,17,10,162,0.06172839506172839
mobilenet_v3_small,29,gaussian_blur_moderate,gaussian_blur,moderate,128,14,5,2,13,21,162,0.12962962962962962
mobilenet_v3_small,29,gaussian_blur_severe,gaussian_blur,severe,109,33,5,4,11,42,162,0.25925925925925924
mobilenet_v3_small,29,resolution_mild,resolution,mild,134,8,2,2,16,12,162,0.07407407407407407
mobilenet_v3_small,29,resolution_moderate,resolution,moderate,131,11,4,4,12,19,162,0.11728395061728394
mobilenet_v3_small,29,resolution_severe,resolution,severe,116,26,6,5,9,37,162,0.22839506172839505
mobilenet_v3_small,29,brightness_mild,brightness,mild,139,3,4,1,15,8,162,0.04938271604938271
mobilenet_v3_small,29,brightness_moderate,brightness,moderate,130,12,6,1,13,19,162,0.11728395061728394
mobilenet_v3_small,29,brightness_severe,brightness,severe,102,40,13,4,3,57,162,0.35185185185185186
mobilenet_v3_small,29,jpeg_mild,jpeg,mild,136,6,3,4,13,13,162,0.08024691358024691
mobilenet_v3_small,29,jpeg_moderate,jpeg,moderate,130,12,4,4,12,20,162,0.12345679012345678
mobilenet_v3_small,29,jpeg_severe,jpeg,severe,122,20,3,4,13,27,162,0.16666666666666666
mobilenet_v3_small,43,gaussian_blur_mild,gaussian_blur,mild,139,4,4,2,13,10,162,0.06172839506172839
mobilenet_v3_small,43,gaussian_blur_moderate,gaussian_blur,moderate,133,10,7,3,9,20,162,0.12345679012345678
mobilenet_v3_small,43,gaussian_blur_severe,gaussian_blur,severe,102,41,7,5,7,53,162,0.3271604938271605
mobilenet_v3_small,43,resolution_mild,resolution,mild,137,6,6,2,11,14,162,0.08641975308641975
