selection_event,method,condition_id,corruption_family,severity,instance_id,source_image_id,true_label,eligibility_rule,satisfying_seed_count,seed_predictions,review_id
clean_consensus_error,resnet18,clean,clean,clean,48_0,48,surface_injure,consensus,3,17:craze:clean_only|29:craze:clean_only|43:craze:clean_only,P9A-001
clean_consensus_error,mobilenet_v3_small,clean,clean,clean,51_0,51,craze,consensus,3,17:surface_injure:clean_only|29:corrosion:clean_only|43:corrosion:clean_only,P9A-002
clean_consensus_error,mobilenet_v3_small,clean,clean,clean,57_0,57,craze,consensus,3,17:corrosion:clean_only|29:corrosion:clean_only|43:corrosion:clean_only,P9A-003
clean_consensus_error,resnet18,clean,clean,clean,142_0,142,surface_injure,consensus,3,17:corrosion:clean_only|29:corrosion:clean_only|43:corrosion:clean_only,P9A-004
clean_consensus_error,resnet18,clean,clean,clean,228_1,228,hide_craze,consensus,3,17:craze:clean_only|29:craze:clean_only|43:craze:clean_only,P9A-005
clean_consensus_error,mobilenet_v3_small,clean,clean,clean,255_0,255,surface_injure,consensus,3,17:corrosion:clean_only|29:corrosion:clean_only|43:corrosion:clean_only,P9A-006
clean_consensus_error,resnet18,clean,clean,clean,323_0,323,corrosion,consensus,3,17:surface_injure:clean_only|29:hide_craze:clean_only|43:surface_injure:clean_only,P9A-007
clean_consensus_error,mobilenet_v3_small,clean,clean,clean,464_1,464,hide_craze,consensus,3,17:surface_injure:clean_only|29:surface_injure:clean_only|43:surface_injure:clean_only,P9A-008
clean_consensus_error,resnet18,clean,clean,clean,521_0,521,corrosion,consensus,3,17:surface_injure:clean_only|29:hide_craze:clean_only|43:surface_injure:clean_only,P9A-009
clean_consensus_error,resnet18,clean,clean,clean,521_1,521,corrosion,consensus,3,17:hide_craze:clean_only|29:hide_craze:clean_only|43:hide_craze:clean_only,P9A-010
severe_harmful_flip,resnet18,brightness_severe,brightness,severe,32_0,32,thunderstrike,consensus,3,17:craze:harmful_flip|29:surface_injure:harmful_flip|43:hide_craze:harmful_flip,P9A-011
severe_harmful_flip,resnet18,brightness_severe,brightness,severe,32_1,32,thunderstrike,consensus,3,17:craze:harmful_flip|29:surface_injure:harmful_flip|43:hide_craze:harmful_flip,P9A-012
severe_harmful_flip,resnet18,gaussian_blur_severe,gaussian_blur,severe,46_0,46,corrosion,consensus,3,17:hide_craze:harmful_flip|29:hide_craze:harmful_flip|43:hide_craze:harmful_flip,P9A-013
severe_harmful_flip,resnet18,gaussian_blur_severe,gaussian_blur,severe,46_1,46,corrosion,consensus,3,17:hide_craze:harmful_flip|29:surface_injure:harmful_flip|43:hide_craze:harmful_flip,P9A-014
severe_harmful_flip,resnet18,gaussian_blur_severe,gaussian_blur,severe,51_1,51,craze,consensus,3,17:hide_craze:harmful_flip|29:surface_injure:harmful_flip|43:hide_craze:harmful_flip,P9A-015
severe_harmful_flip,resnet18,gaussian_blur_severe,gaussian_blur,severe,57_0,57,craze,consensus,3,17:hide_craze:harmful_flip|29:hide_craze:harmful_flip|43:hide_craze:harmful_flip,P9A-016
