sample_id,sheet,tile_row,tile_column,xml_named_image,embedded_filename_image,recommended_identity_status,recommendation_confidence,review_required
743,identity_review_001.jpg,1,1,743.jpg,10.jpg,ambiguous,low,True
744,identity_review_001.jpg,1,2,744.jpg,100.jpg,xml_name_correct,high,True
745,identity_review_001.jpg,2,1,745.jpg,101.jpg,xml_name_correct,high,True
746,identity_review_001.jpg,2,2,746.jpg,105.jpg,ambiguous,low,True
747,identity_review_001.jpg,3,1,747.jpg,106.jpg,ambiguous,low,True
748,identity_review_001.jpg,3,2,748.jpg,108.jpg,ambiguous,low,True
749,identity_review_002.jpg,1,1,749.jpg,11.jpg,ambiguous,low,True
750,identity_review_002.jpg,1,2,750.jpg,110.jpg,ambiguous,low,True
751,identity_review_002.jpg,2,1,751.jpg,111.jpg,xml_name_correct,high,True
752,identity_review_002.jpg,2,2,752.jpg,115.jpg,ambiguous,low,True
753,identity_review_002.jpg,3,1,753.jpg,116.jpg,ambiguous,low,True
755,identity_review_002.jpg,3,2,755.jpg,120.jpg,ambiguous,low,True
758,identity_review_003.jpg,1,1,758.jpg,123.jpg,ambiguous,low,True
759,identity_review_003.jpg,1,2,759.jpg,126.jpg,xml_name_correct,high,True
761,identity_review_003.jpg,2,1,761.jpg,13.jpg,ambiguous,low,True
762,identity_review_003.jpg,2,2,762.jpg,130.jpg,xml_name_correct,high,True
763,identity_review_003.jpg,3,1,763.jpg,137.jpg,xml_name_correct,high,True
764,identity_review_003.jpg,3,2,764.jpg,14.jpg,ambiguous,low,True
766,identity_review_004.jpg,1,1,766.jpg,144.jpg,ambiguous,low,True
767,identity_review_004.jpg,1,2,767.jpg,145.jpg,xml_name_correct,high,True
768,identity_review_004.jpg,2,1,768.jpg,146.jpg,ambiguous,low,True
769,identity_review_004.jpg,2,2,769.jpg,147.jpg,ambiguous,low,True
770,identity_review_004.jpg,3,1,770.jpg,149.jpg,ambiguous,low,True
771,identity_review_004.jpg,3,2,771.jpg,15.jpg,xml_name_correct,high,True
772,identity_review_005.jpg,1,1,772.jpg,150.jpg,ambiguous,low,True
773,identity_review_005.jpg,1,2,773.jpg,152.jpg,ambiguous,low,True
774,identity_review_005.jpg,2,1,774.jpg,157.jpg,xml_name_correct,high,True
775,identity_review_005.jpg,2,2,775.jpg,158.jpg,ambiguous,low,True
776,identity_review_005.jpg,3,1,776.jpg,159.jpg,ambiguous,low,True
777,identity_review_005.jpg,3,2,777.jpg,160.jpg,xml_name_correct,high,True
778,identity_review_006.jpg,1,1,778.jpg,161.jpg,ambiguous,low,True
779,identity_review_006.jpg,1,2,779.jpg,166.jpg,xml_name_correct,high,True
780,identity_review_006.jpg,2,1,780.jpg,168.jpg,xml_name_correct,high,True
781,identity_review_006.jpg,2,2,781.jpg,17.jpg,ambiguous,low,True
782,identity_review_006.jpg,3,1,782.jpg,170.jpg,ambiguous,low,True
783,identity_review_006.jpg,3,2,783.jpg,172.jpg,ambiguous,low,True
784,identity_review_007.jpg,1,1,784.jpg,173.jpg,ambiguous,low,True
785,identity_review_007.jpg,1,2,785.jpg,175.jpg,ambiguous,low,True
786,identity_review_007.jpg,2,1,786.jpg,177.jpg,ambiguous,low,True
788,identity_review_007.jpg,2,2,788.jpg,180.jpg,ambiguous,low,True
789,identity_review_007.jpg,3,1,789.jpg,182.jpg,xml_name_correct,high,True
790,identity_review_007.jpg,3,2,790.jpg,183.jpg,xml_name_correct,high,True
791,identity_review_008.jpg,1,1,791.jpg,186.jpg,ambiguous,low,True
792,identity_review_008.jpg,1,2,792.jpg,187.jpg,ambiguous,low,True
793,identity_review_008.jpg,2,1,793.jpg,189.jpg,ambiguous,low,True
794,identity_review_008.jpg,2,2,794.jpg,191.jpg,xml_name_correct,high,True
795,identity_review_008.jpg,3,1,795.jpg,195.jpg,xml_name_correct,high,True
796,identity_review_008.jpg,3,2,796.jpg,196.jpg,xml_name_correct,high,True
798,identity_review_009.jpg,1,1,798.jpg,199.jpg,xml_name_correct,high,True
799,identity_review_009.jpg,1,2,799.jpg,2.jpg,xml_name_correct,high,True
800,identity_review_009.jpg,2,1,800.jpg,20.jpg,ambiguous,low,True
801,identity_review_009.jpg,2,2,801.jpg,205.jpg,ambiguous,low,True
802,identity_review_009.jpg,3,1,802.jpg,208.jpg,ambiguous,low,True
